"scenario_id","scenario_name","carbon_tax","_objective_renovation","sub_heat","learning_rate_heat","_success_objective_renovation","_realization_rate_renovation","_remove_barriers_renovation"
"1","S1","","","","constant","1","0.75","FALSE"
"2","S2","EUETS","","","constant","1","0.75","FALSE"
"3","S3","social","","","constant","1","0.75","FALSE"
"4","S4","","renovation","","constant","1","0.75","FALSE"
"5","S5","EUETS","renovation","","constant","1","0.75","FALSE"
"6","S6","social","renovation","","constant","1","0.75","FALSE"
"7","S7","","deep_renovation","","constant","1","0.75","FALSE"
"8","S8","EUETS","deep_renovation","","constant","1","0.75","FALSE"
"9","S9","social","deep_renovation","","constant","1","0.75","FALSE"
"10","S10","","","half_carbon","constant","1","0.75","FALSE"
"11","S11","EUETS","","half_carbon","constant","1","0.75","FALSE"
"12","S12","social","","half_carbon","constant","1","0.75","FALSE"
"13","S13","","renovation","half_carbon","constant","1","0.75","FALSE"
"14","S14","EUETS","renovation","half_carbon","constant","1","0.75","FALSE"
"15","S15","social","renovation","half_carbon","constant","1","0.75","FALSE"
"16","S16","","deep_renovation","half_carbon","constant","1","0.75","FALSE"
"17","S17","EUETS","deep_renovation","half_carbon","constant","1","0.75","FALSE"
"18","S18","social","deep_renovation","half_carbon","constant","1","0.75","FALSE"
"19","S19","","","carbon","constant","1","0.75","FALSE"
"20","S20","EUETS","","carbon","constant","1","0.75","FALSE"
"21","S21","social","","carbon","constant","1","0.75","FALSE"
"22","S22","","renovation","carbon","constant","1","0.75","FALSE"
"23","S23","EUETS","renovation","carbon","constant","1","0.75","FALSE"
"24","S24","social","renovation","carbon","constant","1","0.75","FALSE"
"25","S25","","deep_renovation","carbon","constant","1","0.75","FALSE"
"26","S26","EUETS","deep_renovation","carbon","constant","1","0.75","FALSE"
"27","S27","social","deep_renovation","carbon","constant","1","0.75","FALSE"
"28","S28","","","","","1","0.75","FALSE"
"29","S29","EUETS","","","","1","0.75","FALSE"
"30","S30","social","","","","1","0.75","FALSE"
"31","S31","","renovation","","","1","0.75","FALSE"
"32","S32","EUETS","renovation","","","1","0.75","FALSE"
"33","S33","social","renovation","","","1","0.75","FALSE"
"34","S34","","deep_renovation","","","1","0.75","FALSE"
"35","S35","EUETS","deep_renovation","","","1","0.75","FALSE"
"36","S36","social","deep_renovation","","","1","0.75","FALSE"
"37","S37","","","half_carbon","","1","0.75","FALSE"
"38","S38","EUETS","","half_carbon","","1","0.75","FALSE"
"39","S39","social","","half_carbon","","1","0.75","FALSE"
"40","S40","","renovation","half_carbon","","1","0.75","FALSE"
"41","S41","EUETS","renovation","half_carbon","","1","0.75","FALSE"
"42","S42","social","renovation","half_carbon","","1","0.75","FALSE"
"43","S43","","deep_renovation","half_carbon","","1","0.75","FALSE"
"44","S44","EUETS","deep_renovation","half_carbon","","1","0.75","FALSE"
"45","S45","social","deep_renovation","half_carbon","","1","0.75","FALSE"
"46","S46","","","carbon","","1","0.75","FALSE"
"47","S47","EUETS","","carbon","","1","0.75","FALSE"
"48","S48","social","","carbon","","1","0.75","FALSE"
"49","S49","","renovation","carbon","","1","0.75","FALSE"
"50","S50","EUETS","renovation","carbon","","1","0.75","FALSE"
"51","S51","social","renovation","carbon","","1","0.75","FALSE"
"52","S52","","deep_renovation","carbon","","1","0.75","FALSE"
"53","S53","EUETS","deep_renovation","carbon","","1","0.75","FALSE"
"54","S54","social","deep_renovation","carbon","","1","0.75","FALSE"
"55","S55","","renovation","","constant","0.75","0.75","FALSE"
"56","S56","EUETS","renovation","","constant","0.75","0.75","FALSE"
"57","S57","social","renovation","","constant","0.75","0.75","FALSE"
"58","S58","","deep_renovation","","constant","0.75","0.75","FALSE"
"59","S59","EUETS","deep_renovation","","constant","0.75","0.75","FALSE"
"60","S60","social","deep_renovation","","constant","0.75","0.75","FALSE"
"61","S61","","renovation","half_carbon","constant","0.75","0.75","FALSE"
"62","S62","EUETS","renovation","half_carbon","constant","0.75","0.75","FALSE"
"63","S63","social","renovation","half_carbon","constant","0.75","0.75","FALSE"
