"region_bld","scenario_name"
"C-WEU-AUT","S179"
"C-WEU-BEL","S143"
"C-EEU-BGR","S142"
"C-WEU-HRV","S143"
"C-WEU-CYP","S137"
"C-EEU-CZE","S143"
"C-WEU-DNK","S143"
"C-EEU-EST","S143"
"C-WEU-FIN","S179"
"C-WEU-FRA","S137"
"C-WEU-DEU","S179"
"C-WEU-GRC","S179"
"C-EEU-HUN","S143"
"C-WEU-IRL","S179"
"C-WEU-ITA","S140"
"C-EEU-LVA","S140"
"C-EEU-LTU","S143"
"C-WEU-LUX","S137"
"C-WEU-MLT","S137"
"C-WEU-NLD","S179"
"C-EEU-POL","S143"
"C-WEU-PRT","S137"
"C-EEU-ROU","S143"
"C-EEU-SVK","S143"
"C-EEU-SVN","S143"
"C-WEU-ESP","S140"
"C-WEU-SWE","S178"
