mat,eneff_f,fuel_heat_f,fuel_cool,fuel_excluded
perm,sr11_std,coal,electricity,1
perm,sr11_std,biomass_solid,electricity,1
perm,sr12_low,coal,electricity,1
perm,sr12_low,oil,electricity,1
perm,sr12_low,biomass_solid,electricity,1
perm,sr21_std,coal,electricity,1
perm,sr21_std,biomass_solid,electricity,1
perm,sr22_low,coal,electricity,1
perm,sr22_low,oil,electricity,1
perm,sr22_low,biomass_solid,electricity,1
perm,sr31_std,coal,electricity,1
perm,sr31_std,biomass_solid,electricity,1
perm,sr32_low,coal,electricity,1
perm,sr32_low,oil,electricity,1
perm,sr32_low,biomass_solid,electricity,1
