urt,mat,arch,year,value
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
rur,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
urb,perm,comm,NA,1
