urt,mat,year,value
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
rur,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
urb,perm,NA,1
