region_bld,urt,year,value
C-EEU-BGR,rur,2015,2.014501636
C-EEU-BGR,rur,2020,1.911564797
C-EEU-BGR,rur,2025,1.823194442
C-EEU-BGR,rur,2030,1.74609059
C-EEU-BGR,rur,2035,1.678947169
C-EEU-BGR,rur,2040,1.623799192
C-EEU-BGR,rur,2045,1.57998078
C-EEU-BGR,rur,2050,1.5454209270000001
C-EEU-BGR,rur,2055,1.516804099
C-EEU-BGR,rur,2060,1.494181097
C-EEU-BGR,rur,2065,1.476221573
C-EEU-BGR,rur,2070,1.464938334
C-EEU-BGR,rur,2075,1.461157711
C-EEU-BGR,rur,2080,1.463542598
C-EEU-BGR,rur,2085,1.470207567
C-EEU-BGR,rur,2090,1.479212253
C-EEU-BGR,rur,2095,1.489014827
C-EEU-BGR,rur,2100,1.498640135
C-EEU-BGR,urb,2015,5.266662481
C-EEU-BGR,urb,2020,5.18827473
C-EEU-BGR,urb,2025,5.111857011
C-EEU-BGR,urb,2030,5.035993339
C-EEU-BGR,urb,2035,4.963082548
C-EEU-BGR,urb,2040,4.904405122
C-EEU-BGR,urb,2045,4.862664345
C-EEU-BGR,urb,2050,4.83530452
C-EEU-BGR,urb,2055,4.814830086
C-EEU-BGR,urb,2060,4.803562128
C-EEU-BGR,urb,2065,4.799023511
C-EEU-BGR,urb,2070,4.809266421
C-EEU-BGR,urb,2075,4.838433763
C-EEU-BGR,urb,2080,4.883313506
C-EEU-BGR,urb,2085,4.938529878
C-EEU-BGR,urb,2090,4.998220241
C-EEU-BGR,urb,2095,5.057635541
C-EEU-BGR,urb,2100,5.113798877
C-EEU-CZE,rur,2015,2.747833827
C-EEU-CZE,rur,2020,2.693250124
C-EEU-CZE,rur,2025,2.616917326
C-EEU-CZE,rur,2030,2.525841722
C-EEU-CZE,rur,2035,2.427137534
C-EEU-CZE,rur,2040,2.329623182
C-EEU-CZE,rur,2045,2.237369301
C-EEU-CZE,rur,2050,2.145773034
C-EEU-CZE,rur,2055,2.049534435
C-EEU-CZE,rur,2060,1.945282397
C-EEU-CZE,rur,2065,1.832102736
C-EEU-CZE,rur,2070,1.717250311
C-EEU-CZE,rur,2075,1.607848404
C-EEU-CZE,rur,2080,1.508049692
C-EEU-CZE,rur,2085,1.416782665
C-EEU-CZE,rur,2090,1.330973204
C-EEU-CZE,rur,2095,1.247527507
C-EEU-CZE,rur,2100,1.1646784
C-EEU-CZE,urb,2015,7.926029451
C-EEU-CZE,urb,2020,8.040523209
C-EEU-CZE,urb,2025,8.06633801
C-EEU-CZE,urb,2030,8.020466373
C-EEU-CZE,urb,2035,7.923286603
C-EEU-CZE,urb,2040,7.803656781
C-EEU-CZE,urb,2045,7.677181196
C-EEU-CZE,urb,2050,7.530247011
C-EEU-CZE,urb,2055,7.345230705
C-EEU-CZE,urb,2060,7.110002995
C-EEU-CZE,urb,2065,6.820718393
C-EEU-CZE,urb,2070,6.504343369
C-EEU-CZE,urb,2075,6.189241943
C-EEU-CZE,urb,2080,5.893819448
C-EEU-CZE,urb,2085,5.61655538
C-EEU-CZE,urb,2090,5.347447576
C-EEU-CZE,urb,2095,5.075609463
C-EEU-CZE,urb,2100,4.794893334
C-EEU-EST,rur,2015,0.399545114
C-EEU-EST,rur,2020,0.388411033
C-EEU-EST,rur,2025,0.375779231
C-EEU-EST,rur,2030,0.361555701
C-EEU-EST,rur,2035,0.347592411
C-EEU-EST,rur,2040,0.33461557
C-EEU-EST,rur,2045,0.322116769
C-EEU-EST,rur,2050,0.309440909
C-EEU-EST,rur,2055,0.296247878
C-EEU-EST,rur,2060,0.282625929
C-EEU-EST,rur,2065,0.268692643
C-EEU-EST,rur,2070,0.254907
C-EEU-EST,rur,2075,0.241600975
C-EEU-EST,rur,2080,0.228926401
C-EEU-EST,rur,2085,0.21685066
C-EEU-EST,rur,2090,0.205207281
C-EEU-EST,rur,2095,0.193733564
C-EEU-EST,rur,2100,0.182340654
C-EEU-EST,urb,2015,0.928816752
C-EEU-EST,urb,2020,0.919116695
C-EEU-EST,urb,2025,0.902970274
C-EEU-EST,urb,2030,0.880387907
C-EEU-EST,urb,2035,0.856152262
C-EEU-EST,urb,2040,0.83241625
C-EEU-EST,urb,2045,0.808249531
C-EEU-EST,urb,2050,0.782258855
C-EEU-EST,urb,2055,0.75377052
C-EEU-EST,urb,2060,0.723161996
C-EEU-EST,urb,2065,0.690871914
C-EEU-EST,urb,2070,0.658208051
C-EEU-EST,urb,2075,0.62614998
C-EEU-EST,urb,2080,0.595202124
C-EEU-EST,urb,2085,0.565374978
C-EEU-EST,urb,2090,0.53631279
C-EEU-EST,urb,2095,0.50739114
C-EEU-EST,urb,2100,0.478426461
C-EEU-HUN,rur,2015,3.053639555
C-EEU-HUN,rur,2020,2.929429593
C-EEU-HUN,rur,2025,2.806656786
C-EEU-HUN,rur,2030,2.684350372
C-EEU-HUN,rur,2035,2.562959401
C-EEU-HUN,rur,2040,2.443668187
C-EEU-HUN,rur,2045,2.32635541
C-EEU-HUN,rur,2050,2.209138033
C-EEU-HUN,rur,2055,2.090710725
C-EEU-HUN,rur,2060,1.970135265
C-EEU-HUN,rur,2065,1.847321052
C-EEU-HUN,rur,2070,1.727063657
C-EEU-HUN,rur,2075,1.613178797
C-EEU-HUN,rur,2080,1.507360609
C-EEU-HUN,rur,2085,1.408920619
C-EEU-HUN,rur,2090,1.316339411
C-EEU-HUN,rur,2095,1.228761121
C-EEU-HUN,rur,2100,1.145943157
C-EEU-HUN,urb,2015,6.746649973
C-EEU-HUN,urb,2020,6.648646257
C-EEU-HUN,urb,2025,6.5051192350000004
