region_bld,ssp,urt,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-WEU-AUT,SSP2,urb,5.926992438,6.167439014,6.401656492,6.618810802,6.814294243,6.992409789,7.157346332,7.30257246,7.420339392,7.508994792,7.558401079,7.579888319,7.579740211,7.556262081,7.507919449,7.434576555,7.33283582,7.197986645
C-WEU-BEL,SSP2,rur,0.269879784,0.261787851,0.253644999,0.245329108,0.236859599,0.22834484,0.21970201,0.210963022,0.202169993,0.193440986,0.184599875,0.175819321,0.167159144,0.158596042,0.150113751,0.141719088,0.133418825,0.125030096
C-WEU-BEL,SSP2,urb,10.73485955,11.00843451,11.2759318,11.52989305,11.76839535,11.99409613,12.20001642,12.38462282,12.54709554,12.69185401,12.80436466,12.8926826,12.95856449,12.99777936,13.00610802,12.9809145,12.91945266,12.79945943
C-WEU-CHE,SSP2,rur,1.927559535,1.828444581,1.735449498,1.645456367,1.556370004,1.468352521,1.382674899,1.299705007,1.219006909,1.140633446,1.06319202,0.988133071,0.916268014,0.847855076,0.782738482,0.719575094,0.658769071,0.60106032
C-WEU-CHE,SSP2,urb,5.972054919,6.272530682,6.576809496,6.873921783,7.153014225,7.410939198,7.65066474,7.872013916,8.070250026,8.243135565,8.377096445,8.47897496,8.553515656,8.602417818,8.623958526,8.602023789,8.538126905,8.440096957
C-WEU-CYP,SSP2,rur,0.325401779,0.322287966,0.318068376,0.312245097,0.305195627,0.297691364,0.290075227,0.282184177,0.27370809,0.264557756,0.253988599,0.242305751,0.229910627,0.217142078,0.204314197,0.191765956,0.17967508,0.168092731
C-WEU-CYP,SSP2,urb,0.851121988,0.925486446,0.997762824,1.065159869,1.127517801,1.186622822,1.243305122,1.29648517,1.344161599,1.385083984,1.414214467,1.431677907,1.438564717,1.436074961,1.425698798,1.409561051,1.389053671,1.364830607
C-WEU-DEU,SSP2,rur,19.857067,18.30841297,16.87563493,15.53520943,14.28052387,13.11084004,12.02178226,11.00565763,10.05927016,9.189830128,8.384290854,7.646850186,6.970344923,6.345264637,5.765524732,5.230108037,4.737361863,4.273472928
C-WEU-DEU,SSP2,urb,62.26649092,63.60178987,64.80786128,65.82217919,66.63314155,67.2560873,67.69320523,67.92658756,67.96082479,67.8786984,67.62899799,67.28753,66.84540003,66.25893119,65.50174856,64.59716077,63.5656711,62.25413212
C-WEU-DNK,SSP2,rur,0.681406469,0.644459561,0.616631203,0.594617678,0.576137719,0.560276351,0.547104106,0.536612948,0.528506541,0.522151546,0.516490047,0.511225233,0.506247022,0.501487782,0.496793143,0.49199425,0.48695646,0.481591138
C-WEU-DNK,SSP2,urb,4.997110934,5.161742371,5.329643526,5.492321903,5.641648902,5.777373889,5.907192577,6.037360237,6.170102222,6.302508845,6.424952124,6.535711931,6.634947882,6.723123582,6.799329688,6.862198832,6.91061289,6.943944255
C-WEU-ESP,SSP2,rur,10.00048291,9.424608277,8.831128558,8.247016079,7.696600274,7.177876321,6.672753451,6.170194679,5.670480614,5.18341311,4.712784546,4.270777973,3.86140688,3.484232478,3.138997905,2.820606167,2.526004068,2.254535622
C-WEU-ESP,SSP2,urb,37.81104091,39.34441282,40.70222314,41.9607635,43.22697916,44.49676359,45.65447252,46.59017543,47.2504608,47.66154492,47.81600098,47.81069238,47.694315,47.48028953,47.19174686,46.78118525,46.21710629,45.50436821
C-WEU-FIN,SSP2,rur,0.756174331,0.714378719,0.674563437,0.635520064,0.597082186,0.560098035,0.525586692,0.493932183,0.464881593,0.437888975,0.412163528,0.387574538,0.364106237,0.341623607,0.320123237,0.299543988,0.279751546,0.260468184
