region_bld,value
C-EEU-BGR,2.5
C-EEU-CZE,2.4
C-EEU-EST,2.2
C-EEU-HUN,2.3
C-EEU-LTU,2.3
C-EEU-LVA,2.4
C-EEU-POL,2.8
C-EEU-ROU,2.7
C-EEU-SVK,2.8
C-EEU-SVN,2.5
C-WEU-AUT,2.2
C-WEU-BEL,2.3
C-WEU-CYP,2.7
C-WEU-DEU,2
C-WEU-DNK,2
C-WEU-ESP,2.5
C-WEU-FIN,2
C-WEU-FRA,2.2
C-WEU-GBR,2.3
C-WEU-GRC,2.6
C-WEU-IRL,2.7
C-WEU-ITA,2.4
C-WEU-LUX,2.4
C-WEU-MLT,2.6
C-WEU-NLD,2.2
C-WEU-PRT,2.5
C-WEU-SWE,2
C-WEU-HRV,2.8
