region_gea,hh_group,year,beh_I_diff,mod_I,beh_A
AFR,g1,2050,1.5983047715855696,-3.775664513565489,0.11748188605852883
AFR,g2,2050,0.9497475045018189,-2.52975851416124,0.09927853098590463
AFR,g3,2050,-0.5473848284017108,9.588521515575689,0.10501364752425087
AFR,g4,2050,0.11085572410971477,-0.3384823364063998,0.06489625827760248
CPA,g1,2050,1.6877141455071976,-3.916769004487883,0.12152451492735673
CPA,g2,2050,1.0108971126967632,-2.66391774788894,0.102392187117245
CPA,g3,2050,-0.5455145096374927,9.508029446175145,0.1054475901045891
CPA,g4,2050,0.12869285991293916,-0.39187902733630897,0.06593830482504809
EEU,g1,2050,1.6787002630536718,-3.902880117448236,0.12111695384255611
EEU,g2,2050,1.0016173961242927,-2.643782134642015,0.10191967638077616
EEU,g3,2050,-0.545285509283058,9.498199392625715,0.10550072169189006
EEU,g4,2050,0.12931392797774058,-0.3937329111785378,0.06597458765878297
FSU,g1,2050,1.6304726899285795,-3.8272869069551323,0.11893635273959004
FSU,g2,2050,0.9654994018043348,-2.564649636435342,0.10008059649480967
FSU,g3,2050,-0.5460771121913012,9.532203152209272,0.10531705770092868
FSU,g4,2050,0.12235546138615033,-0.3729414488177258,0.06556807362159257
LAC,g1,2050,1.6377702975531034,-3.8388641469023495,0.11926631276461089
LAC,g2,2050,0.9680320214869655,-2.570237982236487,0.10020955409627193
LAC,g3,2050,-0.5469450361560273,9.569561222982331,0.10511568605669556
LAC,g4,2050,0.11565251639765849,-0.35287092497578293,0.06517648717183794
MEA,g1,2050,1.623379482856954,-3.815986512086674,0.11861563464905221
MEA,g2,2050,0.9563067901392276,-2.5443156245918606,0.09961252102353531
MEA,g3,2050,-0.5473225997038436,9.585837478257389,0.10502808553462653
MEA,g4,2050,0.11564024995940915,-0.3528341575009281,0.06517577056577696
NAM,g1,2050,1.7416448913814628,-3.9982901263565,0.1239629839673014
NAM,g2,2050,1.0510802304228637,-2.750185752001999,0.10443825764128462
NAM,g3,2050,-0.5451815061674478,9.493736786941446,0.10552485200658004
NAM,g4,2050,0.13523342599844987,-0.4113845837080608,0.06632040508951512
PAO,g1,2050,1.7261091200198382,-3.975083556022635,0.12326053684066045
PAO,g2,2050,1.037867619511971,-2.721985529519438,0.10376548919373275
PAO,g3,2050,-0.5446916831006118,9.472734597239878,0.1056384984553023
PAO,g4,2050,0.1349338394274347,-0.41049201246727446,0.06630290322400087
PAS,g1,2050,1.713631361490739,-3.9562824962779297,0.12269635721792631
PAS,g2,2050,1.0241116560523569,-2.6924532512096575,0.10306505396229228
PAS,g3,2050,-0.5453229716842213,9.499807122997371,0.10549202984142189
PAS,g4,2050,0.13293033959252123,-0.40452075490949846,0.06618585864303164
SAS,g1,2050,1.6495574503372907,-3.857459281566031,0.11979926677196596
SAS,g2,2050,0.9713242968933788,-2.5774936348570177,0.1003771923495304
SAS,g3,2050,-0.5467314898875955,9.560362182805076,0.10516523205950416
SAS,g4,2050,0.12205033776104113,-0.3720287288506901,0.0655502482810448
WEU,g1,2050,1.7232441232909423,-3.9707794722266656,0.12313099652539682
WEU,g2,2050,1.040995471201823,-2.728676087986464,0.10392475521161114
WEU,g3,2050,-0.5446639589155214,9.471546620819758,0.10564493089058874
WEU,g4,2050,0.13635607463034524,-0.41472859756905556,0.0663859902901755
