region_gea,hh_group,year,beh_I_diff,mod_I,beh_A
AFR,g1,2035,0.7924184620506632,-2.1686166851952406,0.08104388054498272
AFR,g2,2035,0.35170804855753357,-1.0345350173512609,0.06882716304176226
AFR,g3,2035,-0.6085053648313464,12.421808980846427,0.09083274756358511
AFR,g4,2035,-0.10862399440293202,0.43810867944362974,0.0520742399090988
CPA,g1,2035,0.8691441275328448,-2.3476102782618087,0.0845130178026732
CPA,g2,2035,0.4365434602814184,-1.2668688703041595,0.07314686855854591
CPA,g3,2035,-0.60699800208809,12.347199136678315,0.09118247879166692
CPA,g4,2035,-0.09465715106600492,0.37047728326599316,0.05289018373766615
EEU,g1,2035,0.9304971765730868,-2.4868051711393275,0.08728708495426857
EEU,g2,2035,0.4901631310308601,-1.4102648356611094,0.07587711036250329
EEU,g3,2035,-0.6058259462565296,12.289351437773227,0.09145441368403825
EEU,g4,2035,-0.08437343232714346,0.3228120876018789,0.0534909592054851
FSU,g1,2035,0.8590960646980781,-2.3244803864873913,0.0840586964366917
FSU,g2,2035,0.43422991556321816,-1.260621598857884,0.07302906596079271
FSU,g3,2035,-0.6068612033470759,12.340439869216423,0.09121421819341936
FSU,g4,2035,-0.0937463712869964,0.36618284286844843,0.05294339154718608
LAC,g1,2035,0.7989447078332566,-2.184054638809684,0.08133896358212495
LAC,g2,2035,0.3430040293337283,-1.010319560200463,0.06838396604306511
LAC,g3,2035,-0.6087606117032225,12.434466626770144,0.09077352638250935
LAC,g4,2035,-0.11090732537184737,0.4494823401912496,0.051940847576434954
MEA,g1,2035,0.7881241377783503,-2.1584367941900946,0.08084971344019372
MEA,g2,2035,0.33550410258926766,-0.9893975476054473,0.06800207982037589
MEA,g3,2035,-0.6092302104481326,12.457771879100495,0.09066457228602673
MEA,g4,2035,-0.11483097786941666,0.4692348731887676,0.05171162756131743
NAM,g1,2035,1.0023617034795052,-2.6454001231567084,0.09053642669970126
NAM,g2,2035,0.5465396488624779,-1.5581524160853075,0.07874772712672568
NAM,g3,2035,-0.6053310484453831,12.264968853653269,0.09156923755111446
NAM,g4,2035,-0.07622537731411849,0.28632932346916706,0.053966969069870654
PAO,g1,2035,0.9682883306199797,-2.5708032084229195,0.0889958052330864
PAO,g2,2035,0.5195850768331208,-1.4878133008484906,0.0773752364281867
PAO,g3,2035,-0.6052020417460043,12.25861720349524,0.09159916907994277
PAO,g4,2035,-0.07916994208499034,0.2993826018081541,0.05379494741868928
PAS,g1,2035,0.9074691378332221,-2.434970278033881,0.08624587629661858
PAS,g2,2035,0.47190557667935557,-1.3617383149240228,0.07494746015332106
PAS,g3,2035,-0.606572840947786,12.326198255436049,0.09128112268372038
PAS,g4,2035,-0.08847030730276362,0.34158453114511633,0.0532516195227716
SAS,g1,2035,0.8065332997624446,-2.201955827734002,0.08168208041049665
SAS,g2,2035,0.38049951663331066,-1.1141342212410794,0.07029318602622099
SAS,g3,2035,-0.6083829635430442,12.415741558955155,0.09086114653594148
SAS,g4,2035,-0.10394866631438647,0.4150981376636155,0.052347372857493114
WEU,g1,2035,0.9858524290485898,-2.6093910498451383,0.08978996280569923
WEU,g2,2035,0.5376131987970804,-1.5349332270725589,0.07829320424755003
WEU,g3,2035,-0.6055981154870324,12.278123484236112,0.09150727390973215
WEU,g4,2035,-0.07611875015695331,0.28585942510055806,0.05397319823481135
