region_bld,arch,bld_age,yr_con,mat,year,value
C-WEU-AUT,sfh,p1,1945,perm,2015,744493.9962
C-WEU-AUT,sfh,p2,1960,perm,2015,957415.4613
C-WEU-AUT,sfh,p2,1975,perm,2015,596152.419
C-WEU-AUT,sfh,p2,1985,perm,2015,467351.9657
C-WEU-AUT,sfh,p3,1995,perm,2015,493287.4146
C-WEU-AUT,sfh,p3,2005,perm,2015,233176.0222
C-WEU-AUT,sfh,p3,2010,perm,2015,62626.25439
C-WEU-AUT,mfh,p1,1945,perm,2015,661157.5007
C-WEU-AUT,mfh,p2,1960,perm,2015,604249.192
C-WEU-AUT,mfh,p2,1975,perm,2015,271297.7008
C-WEU-AUT,mfh,p2,1985,perm,2015,164785.9248
C-WEU-AUT,mfh,p3,1995,perm,2015,246618.8995
C-WEU-AUT,mfh,p3,2005,perm,2015,178790.2783
C-WEU-AUT,mfh,p3,2010,perm,2015,68596.97061
C-WEU-BEL,sfh,p1,1945,perm,2015,183697.9611
C-WEU-BEL,sfh,p2,1960,perm,2015,89319.68562
C-WEU-BEL,sfh,p2,1975,perm,2015,36600.86561
C-WEU-BEL,sfh,p2,1985,perm,2015,27224.07807
C-WEU-BEL,sfh,p3,1995,perm,2015,65804.91761
C-WEU-BEL,sfh,p3,2005,perm,2015,216430.8024
C-WEU-BEL,sfh,p3,2010,perm,2015,115047.8033
C-WEU-BEL,mfh,p1,1945,perm,2015,493992.1575
C-WEU-BEL,mfh,p2,1960,perm,2015,882141.5619
C-WEU-BEL,mfh,p2,1975,perm,2015,1070607.278
C-WEU-BEL,mfh,p2,1985,perm,2015,933151.2044
C-WEU-BEL,mfh,p3,1995,perm,2015,865195.8227
C-WEU-BEL,mfh,p3,2005,perm,2015,790194.2314
C-WEU-BEL,mfh,p3,2010,perm,2015,623956.4426
C-EEU-BGR,sfh,p1,1945,perm,2015,901721.2779
C-EEU-BGR,sfh,p2,1960,perm,2015,940717.9924
C-EEU-BGR,sfh,p2,1975,perm,2015,561162.8382
C-EEU-BGR,sfh,p2,1985,perm,2015,491652.0081
C-EEU-BGR,sfh,p3,1995,perm,2015,397383.5223
C-EEU-BGR,sfh,p3,2005,perm,2015,444285.9741
C-EEU-BGR,sfh,p3,2010,perm,2015,218272.9904
C-EEU-BGR,mfh,p1,1945,perm,2015,185170.3027
C-EEU-BGR,mfh,p2,1960,perm,2015,269274.7062
C-EEU-BGR,mfh,p2,1975,perm,2015,234748.3116
C-EEU-BGR,mfh,p2,1985,perm,2015,266745.0694
C-EEU-BGR,mfh,p3,1995,perm,2015,195025.1025
C-EEU-BGR,mfh,p3,2005,perm,2015,178364.2159
C-EEU-BGR,mfh,p3,2010,perm,2015,139171.53
C-WEU-CYP,sfh,p1,1945,perm,2015,28009.64788
C-WEU-CYP,sfh,p2,1960,perm,2015,130102.6191
C-WEU-CYP,sfh,p2,1975,perm,2015,67289.46771
C-WEU-CYP,sfh,p2,1985,perm,2015,26411.05449
C-WEU-CYP,sfh,p3,1995,perm,2015,20209.75205
C-WEU-CYP,sfh,p3,2005,perm,2015,80175.15409
C-WEU-CYP,sfh,p3,2010,perm,2015,42436.93129
C-WEU-CYP,mfh,p1,1945,perm,2015,7406.37762
C-WEU-CYP,mfh,p2,1960,perm,2015,31119.8318
C-WEU-CYP,mfh,p2,1975,perm,2015,19619.28186
C-WEU-CYP,mfh,p2,1985,perm,2015,7462.620235
C-WEU-CYP,mfh,p3,1995,perm,2015,7425.520411
C-WEU-CYP,mfh,p3,2005,perm,2015,18803.34605
C-WEU-CYP,mfh,p3,2010,perm,2015,6689.849504
C-EEU-CZE,sfh,p1,1945,perm,2015,837952.8042
C-EEU-CZE,sfh,p2,1960,perm,2015,975470.066
C-EEU-CZE,sfh,p2,1975,perm,2015,945960.5436
C-EEU-CZE,sfh,p2,1985,perm,2015,476768.0203
C-EEU-CZE,sfh,p3,1995,perm,2015,196011.6598
C-EEU-CZE,sfh,p3,2005,perm,2015,381765.1126
C-EEU-CZE,sfh,p3,2010,perm,2015,158027.2615
C-EEU-CZE,mfh,p1,1945,perm,2015,212305.1674
C-EEU-CZE,mfh,p2,1960,perm,2015,320467.7297
C-EEU-CZE,mfh,p2,1975,perm,2015,282654.5544
C-EEU-CZE,mfh,p2,1985,perm,2015,248983.2695
C-EEU-CZE,mfh,p3,1995,perm,2015,249096.4426
C-EEU-CZE,mfh,p3,2005,perm,2015,254134.5234
C-EEU-CZE,mfh,p3,2010,perm,2015,227426.5186
C-WEU-DNK,sfh,p1,1945,perm,2015,398726.0553
C-WEU-DNK,sfh,p2,1960,perm,2015,307452.6982
C-WEU-DNK,sfh,p2,1975,perm,2015,363625.8827
C-WEU-DNK,sfh,p2,1985,perm,2015,41510.46492
C-WEU-DNK,sfh,p3,1995,perm,2015,39973.67743
C-WEU-DNK,sfh,p3,2005,perm,2015,59307.19777
C-WEU-DNK,sfh,p3,2010,perm,2015,53815.63715
C-WEU-DNK,mfh,p1,1945,perm,2015,313370.2307
C-WEU-DNK,mfh,p2,1960,perm,2015,304956.4571
C-WEU-DNK,mfh,p2,1975,perm,2015,304506.3364
C-WEU-DNK,mfh,p2,1985,perm,2015,284066.2157
C-WEU-DNK,mfh,p3,1995,perm,2015,284246.9236
C-WEU-DNK,mfh,p3,2005,perm,2015,286154.456
C-WEU-DNK,mfh,p3,2010,perm,2015,279462.0094
C-EEU-EST,sfh,p1,1945,perm,2015,198805.0244
C-EEU-EST,sfh,p2,1960,perm,2015,129371.228
C-EEU-EST,sfh,p2,1975,perm,2015,21942.61063
C-EEU-EST,sfh,p2,1985,perm,2015,13281.14489
C-EEU-EST,sfh,p3,1995,perm,2015,10684.89515
C-EEU-EST,sfh,p3,2005,perm,2015,8734.880197
C-EEU-EST,sfh,p3,2010,perm,2015,21282.48142
C-EEU-EST,mfh,p1,1945,perm,2015,57364.27397
C-EEU-EST,mfh,p2,1960,perm,2015,62753.10295
C-EEU-EST,mfh,p2,1975,perm,2015,57008.41836
C-EEU-EST,mfh,p2,1985,perm,2015,54895.31676
C-EEU-EST,mfh,p3,1995,perm,2015,86373.71399
C-EEU-EST,mfh,p3,2005,perm,2015,88999.60587
C-EEU-EST,mfh,p3,2010,perm,2015,27571.18321
C-WEU-FIN,sfh,p1,1945,perm,2015,423757.0452
C-WEU-FIN,sfh,p2,1960,perm,2015,630226.6459
C-WEU-FIN,sfh,p2,1975,perm,2015,434574.8891
C-WEU-FIN,sfh,p2,1985,perm,2015,517511.692
C-WEU-FIN,sfh,p3,1995,perm,2015,368620.9378
C-WEU-FIN,sfh,p3,2005,perm,2015,393280.9689
C-WEU-FIN,sfh,p3,2010,perm,2015,142027.8211
C-WEU-FIN,mfh,p1,1945,perm,2015,423757.0452
C-WEU-FIN,mfh,p2,1960,perm,2015,630226.6459
C-WEU-FIN,mfh,p2,1975,perm,2015,434574.8891
C-WEU-FIN,mfh,p2,1985,perm,2015,517511.692
C-WEU-FIN,mfh,p3,1995,perm,2015,368620.9378
C-WEU-FIN,mfh,p3,2005,perm,2015,393280.9689
C-WEU-FIN,mfh,p3,2010,perm,2015,142027.8211
C-WEU-FRA,sfh,p1,1945,perm,2015,4039747.476
C-WEU-FRA,sfh,p2,1960,perm,2015,1653376.226
C-WEU-FRA,sfh,p2,1975,perm,2015,2170087.932
C-WEU-FRA,sfh,p2,1985,perm,2015,1885561.321
C-WEU-FRA,sfh,p3,1995,perm,2015,146369.0481
C-WEU-FRA,sfh,p3,2005,perm,2015,1790192.175
C-WEU-FRA,sfh,p3,2010,perm,2015,856805.3437
C-WEU-FRA,mfh,p1,1945,perm,2015,2534465.21
C-WEU-FRA,mfh,p2,1960,perm,2015,4347290.502
C-WEU-FRA,mfh,p2,1975,perm,2015,4237387.109
C-WEU-FRA,mfh,p2,1985,perm,2015,4138471.261
C-WEU-FRA,mfh,p3,1995,perm,2015,3664531.73
C-WEU-FRA,mfh,p3,2005,perm,2015,4128272.121
C-WEU-FRA,mfh,p3,2010,perm,2015,3663704.863
C-WEU-DEU,sfh,p1,1945,perm,2015,6035125.833
C-WEU-DEU,sfh,p2,1960,perm,2015,7847243.384
C-WEU-DEU,sfh,p2,1975,perm,2015,4355451.9
C-WEU-DEU,sfh,p2,1985,perm,2015,3080646.535
C-WEU-DEU,sfh,p3,1995,perm,2015,3231829.604
C-WEU-DEU,sfh,p3,2005,perm,2015,2520498.009
C-WEU-DEU,sfh,p3,2010,perm,2015,1186184.967
C-WEU-DEU,mfh,p1,1945,perm,2015,3103284.904
C-WEU-DEU,mfh,p2,1960,perm,2015,7227652.899
C-WEU-DEU,mfh,p2,1975,perm,2015,4141089.76
C-WEU-DEU,mfh,p2,1985,perm,2015,2108472.792
C-WEU-DEU,mfh,p3,1995,perm,2015,1927774.977
C-WEU-DEU,mfh,p3,2005,perm,2015,1004825.203
C-WEU-DEU,mfh,p3,2010,perm,2015,769919.2347
C-WEU-GRC,sfh,p1,1945,perm,2015,361396.0628
C-WEU-GRC,sfh,p2,1960,perm,2015,1252014.021
C-WEU-GRC,sfh,p2,1975,perm,2015,999035.5625
C-WEU-GRC,sfh,p2,1985,perm,2015,1216990.745
C-WEU-GRC,sfh,p3,1995,perm,2015,941167.5212
C-WEU-GRC,sfh,p3,2005,perm,2015,190638.0634
C-WEU-GRC,sfh,p3,2010,perm,2015,119428.4752
C-WEU-GRC,mfh,p1,1945,perm,2015,273735.6808
C-WEU-GRC,mfh,p2,1960,perm,2015,729106.5512
C-WEU-GRC,mfh,p2,1975,perm,2015,644772.5322
C-WEU-GRC,mfh,p2,1985,perm,2015,781941.564
C-WEU-GRC,mfh,p3,1995,perm,2015,499414.6446
C-WEU-GRC,mfh,p3,2005,perm,2015,252011.6205
C-WEU-GRC,mfh,p3,2010,perm,2015,252321.2092
C-EEU-HUN,sfh,p1,1945,perm,2015,900335.531
C-EEU-HUN,sfh,p2,1960,perm,2015,878776.5307
C-EEU-HUN,sfh,p2,1975,perm,2015,453417.9364
C-EEU-HUN,sfh,p2,1985,perm,2015,828937.1008
C-EEU-HUN,sfh,p3,1995,perm,2015,251665.4392
C-EEU-HUN,sfh,p3,2005,perm,2015,377598.192
C-EEU-HUN,sfh,p3,2010,perm,2015,180593.7662
C-EEU-HUN,mfh,p1,1945,perm,2015,102850.6657
C-EEU-HUN,mfh,p2,1960,perm,2015,111371.7789
C-EEU-HUN,mfh,p2,1975,perm,2015,109616.7982
C-EEU-HUN,mfh,p2,1985,perm,2015,233058.2221
C-EEU-HUN,mfh,p3,1995,perm,2015,191177.2794
C-EEU-HUN,mfh,p3,2005,perm,2015,226848.5464
