region_bld,fuel_heat,value
C-WEU-AUT,heat_pump,0.054226892
C-WEU-AUT,biomass_solid,0.287639565
C-WEU-AUT,coal,0.00437262
C-WEU-AUT,district_heat,0.193386341
C-WEU-AUT,electricity,0.053872446
C-WEU-AUT,gas,0.217579802
C-WEU-AUT,oil,0.188922334
C-WEU-BEL,heat_pump,0.044999957
C-WEU-BEL,biomass_solid,0.069263564
C-WEU-BEL,coal,0.012784374
C-WEU-BEL,district_heat,0.00033289
C-WEU-BEL,electricity,0.017745214
C-WEU-BEL,gas,0.465597055
C-WEU-BEL,oil,0.389276945
C-EEU-BGR,heat_pump,0.033192518
C-EEU-BGR,biomass_solid,0.484904151
C-EEU-BGR,coal,0.084199973
C-EEU-BGR,district_heat,0.28425239
C-EEU-BGR,electricity,0.080813714
C-EEU-BGR,gas,0.027700012
C-EEU-BGR,oil,0.004937241
C-WEU-CYP,heat_pump,0.212475558
C-WEU-CYP,biomass_solid,0.04402855
C-WEU-CYP,coal,0
C-WEU-CYP,district_heat,0
C-WEU-CYP,electricity,0.074376238
C-WEU-CYP,gas,0
C-WEU-CYP,oil,0.669119654
C-EEU-CZE,heat_pump,0.019061396
C-EEU-CZE,biomass_solid,0.287239248
C-EEU-CZE,coal,0.13331639
C-EEU-CZE,district_heat,0.233353642
C-EEU-CZE,electricity,0.039487942
C-EEU-CZE,gas,0.287541382
C-EEU-CZE,oil,0
C-WEU-DEU,heat_pump,0.019303993
C-WEU-DEU,biomass_solid,0.106918487
C-WEU-DEU,coal,0.011743822
C-WEU-DEU,district_heat,0.124583521
C-WEU-DEU,electricity,0.044241607
C-WEU-DEU,gas,0.435773843
C-WEU-DEU,oil,0.257434728
C-WEU-DNK,heat_pump,0.036223512
C-WEU-DNK,biomass_solid,0.209819791
C-WEU-DNK,coal,0
C-WEU-DNK,district_heat,0.538702783
C-WEU-DNK,electricity,0.007835533
C-WEU-DNK,gas,0.149791565
C-WEU-DNK,oil,0.057626817
C-EEU-EST,heat_pump,0
C-EEU-EST,biomass_solid,0.412427952
C-EEU-EST,coal,0.006785444
C-EEU-EST,district_heat,0.498503983
C-EEU-EST,electricity,0.015071988
C-EEU-EST,gas,0.061775499
