region_bld,ssp,clim,urt,inc_cl,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q1,0.027602788,0.036238353,0.049139277,0.070724101,0.100999266,0.143201222,0.178276675,0.222816662,0.275860778,0.308675548,0.368158322,0.393787254,0.404981468,0.442303181,0.459503921,0.479626739,0.497099836,0.500669279
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q2,0.07319631,0.127447932,0.207059833,0.335248824,0.4392818,0.49151507,0.520193799,0.531667266,0.538519263,0.541349092,0.543210328,0.543698928,0.54391377,0.544179835,0.544328009,0.544407112,0.544436285,0.54443867
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,rur,q3,0.348182818,0.484940344,0.534469544,0.543541859,0.544381504,0.544456688,0.544465152,0.544466359,0.544466572,0.544466628,0.544466643,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q1,0.05439642,0.083448659,0.132190261,0.204444714,0.305719329,0.40038982,0.4585906,0.492594832,0.51215419,0.524284242,0.53390876,0.537781588,0.541059279,0.541806164,0.542914011,0.543527931,0.543806828,0.544131419
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q2,0.225760105,0.365432831,0.477751186,0.529066938,0.541946324,0.543859117,0.544330549,0.54443003,0.544456328,0.544463862,0.544465917,0.544466434,0.544466573,0.544466621,0.544466632,0.544466641,0.544466643,0.544466644
C-EEU-BGR,SSP1,Zone_4A Mixed Humid,urb,q3,0.535626733,0.543635358,0.544445937,0.54446628,0.54446664,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q1,0.013771278,0.018079638,0.024516024,0.035284886,0.050389436,0.07144437,0.088943826,0.111165224,0.137629408,0.154000989,0.183677477,0.19646398,0.202048874,0.22066901,0.229250613,0.239290066,0.248007551,0.249788378
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q2,0.036518293,0.063584912,0.103304001,0.167258634,0.219161616,0.245221261,0.259529335,0.26525355,0.268672073,0.2700839,0.271012487,0.271256254,0.271363441,0.271496183,0.271570108,0.271609574,0.271624128,0.271625318
C-EEU-BGR,SSP1,Zone_5A Cool Humid,rur,q3,0.17371152,0.241941071,0.266651632,0.271177891,0.271596797,0.271634307,0.27163853,0.271639132,0.271639239,0.271639266,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q1,0.02713886,0.041633282,0.065950902,0.101999295,0.152526105,0.199758059,0.228794948,0.245759964,0.255518302,0.261570094,0.266371852,0.26830404,0.26993931,0.270311937,0.270864652,0.271170942,0.271310086,0.271472027
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q2,0.112633734,0.182317705,0.238354336,0.263956224,0.270381864,0.271336174,0.271571375,0.271621007,0.271634127,0.271637887,0.271638912,0.27163917,0.271639239,0.271639263,0.271639268,0.271639273,0.271639274,0.271639274
C-EEU-BGR,SSP1,Zone_5A Cool Humid,urb,q3,0.267228964,0.271224538,0.271628943,0.271639093,0.271639272,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274
