region_bld,arch,bld_age,yr_con,mat,year,value
C-WEU-AUT,sfh,p1,1945,perm,2015,431942.3769
C-WEU-BEL,sfh,p1,1945,perm,2015,1318820.22
C-EEU-BGR,sfh,p1,1945,perm,2015,240001.1464
C-WEU-CYP,sfh,p1,1945,perm,2015,6511.728199
C-EEU-CZE,sfh,p1,1945,perm,2015,410043.4878
C-WEU-DEU,sfh,p1,1945,perm,2015,3908175.952
C-WEU-DNK,sfh,p1,1945,perm,2015,564689.418
C-EEU-EST,sfh,p1,1945,perm,2015,30654.80115
C-WEU-GRC,sfh,p1,1945,perm,2015,129569.3928
C-WEU-ESP,sfh,p1,1945,perm,2015,647706.6511
C-WEU-FIN,sfh,p1,1945,perm,2015,196038.4083
C-WEU-FRA,sfh,p1,1945,perm,2015,4059142.975
C-EEU-HUN,sfh,p1,1945,perm,2015,472973.3403
C-WEU-IRL,sfh,p1,1945,perm,2015,246539.9951
C-WEU-ITA,sfh,p1,1945,perm,2015,1662273.901
C-EEU-LTU,sfh,p1,1945,perm,2015,138823.535
C-WEU-LUX,sfh,p1,1945,perm,2015,33974.40511
C-EEU-LVA,sfh,p1,1945,perm,2015,63937.72741
C-WEU-MLT,sfh,p1,1945,perm,2015,23241.85054
C-WEU-NLD,sfh,p1,1945,perm,2015,1108741.613
C-EEU-POL,sfh,p1,1945,perm,2015,1110916.108
C-WEU-PRT,sfh,p1,1945,perm,2015,303411.3167
C-EEU-ROU,sfh,p1,1945,perm,2015,435025.3653
C-WEU-SWE,sfh,p1,1945,perm,2015,563296.8945
C-EEU-SVN,sfh,p1,1945,perm,2015,87747.1381
C-EEU-SVK,sfh,p1,1945,perm,2015,204751.7548
C-WEU-GBR,sfh,p1,1945,perm,2015,8427886.467
C-WEU-AUT,mfh,p1,1945,perm,2015,426880.5521
C-WEU-BEL,mfh,p1,1945,perm,2015,470894.0664
C-EEU-BGR,mfh,p1,1945,perm,2015,195867.1606
C-WEU-CYP,mfh,p1,1945,perm,2015,2542.674801
C-EEU-CZE,mfh,p1,1945,perm,2015,553470.6242
C-WEU-DEU,mfh,p1,1945,perm,2015,4572432.783
C-WEU-DNK,mfh,p1,1945,perm,2015,394102.431
C-EEU-EST,mfh,p1,1945,perm,2015,91537.88885
C-WEU-GRC,mfh,p1,1945,perm,2015,190689.0272
C-WEU-ESP,mfh,p1,1945,perm,2015,1538167.833
C-WEU-FIN,mfh,p1,1945,perm,2015,156197.8807
C-WEU-FRA,mfh,p1,1945,perm,2015,3136725.401
C-EEU-HUN,mfh,p1,1945,perm,2015,295536.7907
C-WEU-IRL,mfh,p1,1945,perm,2015,31327.02086
C-WEU-ITA,mfh,p1,1945,perm,2015,4829726.099
C-EEU-LTU,mfh,p1,1945,perm,2015,256670.241
C-WEU-LUX,mfh,p1,1945,perm,2015,19252.16289
C-EEU-LVA,mfh,p1,1945,perm,2015,142815.1206
C-WEU-MLT,mfh,p1,1945,perm,2015,7722.949455
C-WEU-NLD,mfh,p1,1945,perm,2015,479973.938
C-EEU-POL,mfh,p1,1945,perm,2015,1636083.892
C-WEU-PRT,mfh,p1,1945,perm,2015,210845.1523
C-EEU-ROU,mfh,p1,1945,perm,2015,329518.3347
C-WEU-SWE,mfh,p1,1945,perm,2015,783731.2085
C-EEU-SVN,mfh,p1,1945,perm,2015,155759.8079
C-EEU-SVK,mfh,p1,1945,perm,2015,212227.9672
C-WEU-GBR,mfh,p1,1945,perm,2015,1942677.211
C-WEU-AUT,sfh,p2,1960,perm,2015,521149.8459
C-WEU-BEL,sfh,p2,1960,perm,2015,732677.8995
C-EEU-BGR,sfh,p2,1960,perm,2015,496839.327
C-WEU-CYP,sfh,p2,1960,perm,2015,21696.05512
C-EEU-CZE,sfh,p2,1960,perm,2015,556902.4183
C-WEU-DEU,sfh,p2,1960,perm,2015,5932239.692
C-WEU-DNK,sfh,p2,1960,perm,2015,410045.2718
C-EEU-EST,sfh,p2,1960,perm,2015,45317.243
C-WEU-GRC,sfh,p2,1960,perm,2015,471549.6341
C-WEU-ESP,sfh,p2,1960,perm,2015,1151385.785
C-WEU-FIN,sfh,p2,1960,perm,2015,358557.743
C-WEU-FRA,sfh,p2,1960,perm,2015,2745414
C-EEU-HUN,sfh,p2,1960,perm,2015,637247.2799
C-WEU-IRL,sfh,p2,1960,perm,2015,223710.4978
C-WEU-ITA,sfh,p2,1960,perm,2015,2331680.624
C-EEU-LTU,sfh,p2,1960,perm,2015,148356.7182
C-WEU-LUX,sfh,p2,1960,perm,2015,31248.02106
C-EEU-LVA,sfh,p2,1960,perm,2015,77542.23222
C-WEU-MLT,sfh,p2,1960,perm,2015,24366.89398
C-WEU-NLD,sfh,p2,1960,perm,2015,1247891.108
C-EEU-POL,sfh,p2,1960,perm,2015,1232674.828
C-WEU-PRT,sfh,p2,1960,perm,2015,410439.4725
C-EEU-ROU,sfh,p2,1960,perm,2015,1260501.562
C-WEU-SWE,sfh,p2,1960,perm,2015,510865.7882
C-EEU-SVN,sfh,p2,1960,perm,2015,58652.82676
C-EEU-SVK,sfh,p2,1960,perm,2015,263074.5601
