region_gea,urt,mat,arch,scenario,ssp,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AFR,rur,perm,sfh,MFH,nsp,0.974920598,0.947065724,0.919210849,0.891355975,0.863501101,0.835646227,0.807791352,0.779936478,0.779936478,0.779936478,0.779936478,0.779936478,0.779936478,0.779936478,0.779936478,0.779936478,0.779936478,0.779936478
AFR,rur,perm,mfh,MFH,nsp,0.025079402,0.052934276,0.080789151,0.108644025,0.136498899,0.164353773,0.192208648,0.220063522,0.220063522,0.220063522,0.220063522,0.220063522,0.220063522,0.220063522,0.220063522,0.220063522,0.220063522,0.220063522
AFR,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFR,urb,perm,sfh,MFH,nsp,0.885241756,0.859949134,0.834656512,0.809363891,0.784071269,0.758778648,0.733486026,0.708193405,0.708193405,0.708193405,0.708193405,0.708193405,0.708193405,0.708193405,0.708193405,0.708193405,0.708193405,0.708193405
AFR,urb,perm,mfh,MFH,nsp,0.114758244,0.140050866,0.165343488,0.190636109,0.215928731,0.241221352,0.266513974,0.291806595,0.291806595,0.291806595,0.291806595,0.291806595,0.291806595,0.291806595,0.291806595,0.291806595,0.291806595,0.291806595
AFR,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPA,rur,perm,sfh,MFH,nsp,0.431964512,0.419622669,0.407280826,0.394938983,0.38259714,0.370255296,0.357913453,0.34557161,0.34557161,0.34557161,0.34557161,0.34557161,0.34557161,0.34557161,0.34557161,0.34557161,0.34557161,0.34557161
CPA,rur,perm,mfh,MFH,nsp,0.568035488,0.580377331,0.592719174,0.605061017,0.61740286,0.629744704,0.642086547,0.65442839,0.65442839,0.65442839,0.65442839,0.65442839,0.65442839,0.65442839,0.65442839,0.65442839,0.65442839,0.65442839
CPA,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPA,urb,perm,sfh,MFH,nsp,0.095,0.092285714,0.089571429,0.086857143,0.084142857,0.081428571,0.078714286,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076
CPA,urb,perm,mfh,MFH,nsp,0.905,0.907714286,0.910428571,0.913142857,0.915857143,0.918571429,0.921285714,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924
CPA,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
