region_gea,urt,mat,arch,year,value
AFR,rur,perm,sfh,2015,0.974920598
AFR,rur,perm,sfh,2020,0.974920598
AFR,rur,perm,sfh,2025,0.974920598
AFR,rur,perm,sfh,2030,0.974920598
AFR,rur,perm,sfh,2035,0.974920598
AFR,rur,perm,sfh,2040,0.974920598
AFR,rur,perm,sfh,2045,0.974920598
AFR,rur,perm,sfh,2050,0.974920598
AFR,rur,perm,sfh,2055,0.974920598
AFR,rur,perm,sfh,2060,0.974920598
AFR,rur,perm,sfh,2065,0.974920598
AFR,rur,perm,sfh,2070,0.974920598
AFR,rur,perm,sfh,2075,0.974920598
AFR,rur,perm,sfh,2080,0.974920598
AFR,rur,perm,sfh,2085,0.974920598
AFR,rur,perm,sfh,2090,0.974920598
AFR,rur,perm,sfh,2095,0.974920598
AFR,rur,perm,sfh,2100,0.974920598
AFR,rur,perm,mfh,2015,0.025079402
AFR,rur,perm,mfh,2020,0.025079402
AFR,rur,perm,mfh,2025,0.025079402
AFR,rur,perm,mfh,2030,0.025079402
AFR,rur,perm,mfh,2035,0.025079402
AFR,rur,perm,mfh,2040,0.025079402
AFR,rur,perm,mfh,2045,0.025079402
AFR,rur,perm,mfh,2050,0.025079402
AFR,rur,perm,mfh,2055,0.025079402
AFR,rur,perm,mfh,2060,0.025079402
AFR,rur,perm,mfh,2065,0.025079402
AFR,rur,perm,mfh,2070,0.025079402
AFR,rur,perm,mfh,2075,0.025079402
AFR,rur,perm,mfh,2080,0.025079402
AFR,rur,perm,mfh,2085,0.025079402
AFR,rur,perm,mfh,2090,0.025079402
AFR,rur,perm,mfh,2095,0.025079402
AFR,rur,perm,mfh,2100,0.025079402
AFR,rur,sub,inf,2015,1
AFR,rur,sub,inf,2020,1
AFR,rur,sub,inf,2025,1
AFR,rur,sub,inf,2030,1
AFR,rur,sub,inf,2035,1
AFR,rur,sub,inf,2040,1
AFR,rur,sub,inf,2045,1
AFR,rur,sub,inf,2050,1
AFR,rur,sub,inf,2055,1
AFR,rur,sub,inf,2060,1
AFR,rur,sub,inf,2065,1
AFR,rur,sub,inf,2070,1
AFR,rur,sub,inf,2075,1
AFR,rur,sub,inf,2080,1
AFR,rur,sub,inf,2085,1
AFR,rur,sub,inf,2090,1
AFR,rur,sub,inf,2095,1
AFR,rur,sub,inf,2100,1
AFR,urb,perm,sfh,2015,0.885241756
AFR,urb,perm,sfh,2020,0.885241756
AFR,urb,perm,sfh,2025,0.885241756
AFR,urb,perm,sfh,2030,0.885241756
AFR,urb,perm,sfh,2035,0.885241756
AFR,urb,perm,sfh,2040,0.885241756
AFR,urb,perm,sfh,2045,0.885241756
AFR,urb,perm,sfh,2050,0.885241756
AFR,urb,perm,sfh,2055,0.885241756
AFR,urb,perm,sfh,2060,0.885241756
AFR,urb,perm,sfh,2065,0.885241756
AFR,urb,perm,sfh,2070,0.885241756
AFR,urb,perm,sfh,2075,0.885241756
AFR,urb,perm,sfh,2080,0.885241756
AFR,urb,perm,sfh,2085,0.885241756
AFR,urb,perm,sfh,2090,0.885241756
AFR,urb,perm,sfh,2095,0.885241756
AFR,urb,perm,sfh,2100,0.885241756
AFR,urb,perm,mfh,2015,0.114758244
AFR,urb,perm,mfh,2020,0.114758244
AFR,urb,perm,mfh,2025,0.114758244
AFR,urb,perm,mfh,2030,0.114758244
AFR,urb,perm,mfh,2035,0.114758244
AFR,urb,perm,mfh,2040,0.114758244
AFR,urb,perm,mfh,2045,0.114758244
AFR,urb,perm,mfh,2050,0.114758244
AFR,urb,perm,mfh,2055,0.114758244
AFR,urb,perm,mfh,2060,0.114758244
AFR,urb,perm,mfh,2065,0.114758244
AFR,urb,perm,mfh,2070,0.114758244
AFR,urb,perm,mfh,2075,0.114758244
AFR,urb,perm,mfh,2080,0.114758244
AFR,urb,perm,mfh,2085,0.114758244
AFR,urb,perm,mfh,2090,0.114758244
AFR,urb,perm,mfh,2095,0.114758244
AFR,urb,perm,mfh,2100,0.114758244
AFR,urb,sub,inf,2015,1
AFR,urb,sub,inf,2020,1
AFR,urb,sub,inf,2025,1
AFR,urb,sub,inf,2030,1
AFR,urb,sub,inf,2035,1
AFR,urb,sub,inf,2040,1
AFR,urb,sub,inf,2045,1
AFR,urb,sub,inf,2050,1
AFR,urb,sub,inf,2055,1
AFR,urb,sub,inf,2060,1
AFR,urb,sub,inf,2065,1
AFR,urb,sub,inf,2070,1
AFR,urb,sub,inf,2075,1
AFR,urb,sub,inf,2080,1
AFR,urb,sub,inf,2085,1
AFR,urb,sub,inf,2090,1
AFR,urb,sub,inf,2095,1
AFR,urb,sub,inf,2100,1
CPA,rur,perm,sfh,2015,0.431964512
CPA,rur,perm,sfh,2020,0.431964512
CPA,rur,perm,sfh,2025,0.431964512
CPA,rur,perm,sfh,2030,0.431964512
CPA,rur,perm,sfh,2035,0.431964512
CPA,rur,perm,sfh,2040,0.431964512
CPA,rur,perm,sfh,2045,0.431964512
CPA,rur,perm,sfh,2050,0.431964512
CPA,rur,perm,sfh,2055,0.431964512
CPA,rur,perm,sfh,2060,0.431964512
CPA,rur,perm,sfh,2065,0.431964512
CPA,rur,perm,sfh,2070,0.431964512
CPA,rur,perm,sfh,2075,0.431964512
CPA,rur,perm,sfh,2080,0.431964512
CPA,rur,perm,sfh,2085,0.431964512
CPA,rur,perm,sfh,2090,0.431964512
CPA,rur,perm,sfh,2095,0.431964512
CPA,rur,perm,sfh,2100,0.431964512
CPA,rur,perm,mfh,2015,0.568035488
CPA,rur,perm,mfh,2020,0.568035488
CPA,rur,perm,mfh,2025,0.568035488
CPA,rur,perm,mfh,2030,0.568035488
CPA,rur,perm,mfh,2035,0.568035488
CPA,rur,perm,mfh,2040,0.568035488
CPA,rur,perm,mfh,2045,0.568035488
CPA,rur,perm,mfh,2050,0.568035488
CPA,rur,perm,mfh,2055,0.568035488
CPA,rur,perm,mfh,2060,0.568035488
CPA,rur,perm,mfh,2065,0.568035488
CPA,rur,perm,mfh,2070,0.568035488
CPA,rur,perm,mfh,2075,0.568035488
CPA,rur,perm,mfh,2080,0.568035488
CPA,rur,perm,mfh,2085,0.568035488
CPA,rur,perm,mfh,2090,0.568035488
CPA,rur,perm,mfh,2095,0.568035488
CPA,rur,perm,mfh,2100,0.568035488
CPA,rur,sub,inf,2015,1
CPA,rur,sub,inf,2020,1
CPA,rur,sub,inf,2025,1
CPA,rur,sub,inf,2030,1
CPA,rur,sub,inf,2035,1
CPA,rur,sub,inf,2040,1
CPA,rur,sub,inf,2045,1
CPA,rur,sub,inf,2050,1
CPA,rur,sub,inf,2055,1
CPA,rur,sub,inf,2060,1
CPA,rur,sub,inf,2065,1
CPA,rur,sub,inf,2070,1
CPA,rur,sub,inf,2075,1
CPA,rur,sub,inf,2080,1
CPA,rur,sub,inf,2085,1
CPA,rur,sub,inf,2090,1
CPA,rur,sub,inf,2095,1
CPA,rur,sub,inf,2100,1
CPA,urb,perm,sfh,2015,0.095
CPA,urb,perm,sfh,2020,0.095
CPA,urb,perm,sfh,2025,0.095
CPA,urb,perm,sfh,2030,0.095
CPA,urb,perm,sfh,2035,0.095
CPA,urb,perm,sfh,2040,0.095
CPA,urb,perm,sfh,2045,0.095
CPA,urb,perm,sfh,2050,0.095
CPA,urb,perm,sfh,2055,0.095
CPA,urb,perm,sfh,2060,0.095
CPA,urb,perm,sfh,2065,0.095
CPA,urb,perm,sfh,2070,0.095
CPA,urb,perm,sfh,2075,0.095
CPA,urb,perm,sfh,2080,0.095
CPA,urb,perm,sfh,2085,0.095
CPA,urb,perm,sfh,2090,0.095
CPA,urb,perm,sfh,2095,0.095
CPA,urb,perm,sfh,2100,0.095
CPA,urb,perm,mfh,2015,0.905
CPA,urb,perm,mfh,2020,0.905
CPA,urb,perm,mfh,2025,0.905
CPA,urb,perm,mfh,2030,0.905
CPA,urb,perm,mfh,2035,0.905
CPA,urb,perm,mfh,2040,0.905
CPA,urb,perm,mfh,2045,0.905
CPA,urb,perm,mfh,2050,0.905
CPA,urb,perm,mfh,2055,0.905
CPA,urb,perm,mfh,2060,0.905
CPA,urb,perm,mfh,2065,0.905
CPA,urb,perm,mfh,2070,0.905
CPA,urb,perm,mfh,2075,0.905
CPA,urb,perm,mfh,2080,0.905
CPA,urb,perm,mfh,2085,0.905
CPA,urb,perm,mfh,2090,0.905
CPA,urb,perm,mfh,2095,0.905
CPA,urb,perm,mfh,2100,0.905
CPA,urb,sub,inf,2015,1
CPA,urb,sub,inf,2020,1
CPA,urb,sub,inf,2025,1
CPA,urb,sub,inf,2030,1
CPA,urb,sub,inf,2035,1
CPA,urb,sub,inf,2040,1
CPA,urb,sub,inf,2045,1
CPA,urb,sub,inf,2050,1
CPA,urb,sub,inf,2055,1
CPA,urb,sub,inf,2060,1
CPA,urb,sub,inf,2065,1
CPA,urb,sub,inf,2070,1
CPA,urb,sub,inf,2075,1
CPA,urb,sub,inf,2080,1
CPA,urb,sub,inf,2085,1
CPA,urb,sub,inf,2090,1
CPA,urb,sub,inf,2095,1
CPA,urb,sub,inf,2100,1
EEU,rur,perm,sfh,2015,0.78884423
EEU,rur,perm,sfh,2020,0.78884423
EEU,rur,perm,sfh,2025,0.78884423
EEU,rur,perm,sfh,2030,0.78884423
EEU,rur,perm,sfh,2035,0.78884423
EEU,rur,perm,sfh,2040,0.78884423
EEU,rur,perm,sfh,2045,0.78884423
EEU,rur,perm,sfh,2050,0.78884423
EEU,rur,perm,sfh,2055,0.78884423
EEU,rur,perm,sfh,2060,0.78884423
EEU,rur,perm,sfh,2065,0.78884423
EEU,rur,perm,sfh,2070,0.78884423
EEU,rur,perm,sfh,2075,0.78884423
EEU,rur,perm,sfh,2080,0.78884423
EEU,rur,perm,sfh,2085,0.78884423
EEU,rur,perm,sfh,2090,0.78884423
EEU,rur,perm,sfh,2095,0.78884423
EEU,rur,perm,sfh,2100,0.78884423
EEU,rur,perm,mfh,2015,0.21115577
EEU,rur,perm,mfh,2020,0.21115577
EEU,rur,perm,mfh,2025,0.21115577
EEU,rur,perm,mfh,2030,0.21115577
EEU,rur,perm,mfh,2035,0.21115577
EEU,rur,perm,mfh,2040,0.21115577
EEU,rur,perm,mfh,2045,0.21115577
EEU,rur,perm,mfh,2050,0.21115577
EEU,rur,perm,mfh,2055,0.21115577
EEU,rur,perm,mfh,2060,0.21115577
EEU,rur,perm,mfh,2065,0.21115577
EEU,rur,perm,mfh,2070,0.21115577
EEU,rur,perm,mfh,2075,0.21115577
EEU,rur,perm,mfh,2080,0.21115577
EEU,rur,perm,mfh,2085,0.21115577
EEU,rur,perm,mfh,2090,0.21115577
EEU,rur,perm,mfh,2095,0.21115577
EEU,rur,perm,mfh,2100,0.21115577
EEU,rur,sub,inf,2015,1
EEU,rur,sub,inf,2020,1
EEU,rur,sub,inf,2025,1
EEU,rur,sub,inf,2030,1
EEU,rur,sub,inf,2035,1
EEU,rur,sub,inf,2040,1
EEU,rur,sub,inf,2045,1
EEU,rur,sub,inf,2050,1
EEU,rur,sub,inf,2055,1
EEU,rur,sub,inf,2060,1
EEU,rur,sub,inf,2065,1
EEU,rur,sub,inf,2070,1
EEU,rur,sub,inf,2075,1
EEU,rur,sub,inf,2080,1
EEU,rur,sub,inf,2085,1
EEU,rur,sub,inf,2090,1
EEU,rur,sub,inf,2095,1
EEU,rur,sub,inf,2100,1
EEU,urb,perm,sfh,2015,0.292417361
EEU,urb,perm,sfh,2020,0.292417361
EEU,urb,perm,sfh,2025,0.292417361
EEU,urb,perm,sfh,2030,0.292417361
EEU,urb,perm,sfh,2035,0.292417361
EEU,urb,perm,sfh,2040,0.292417361
EEU,urb,perm,sfh,2045,0.292417361
EEU,urb,perm,sfh,2050,0.292417361
EEU,urb,perm,sfh,2055,0.292417361
EEU,urb,perm,sfh,2060,0.292417361
EEU,urb,perm,sfh,2065,0.292417361
EEU,urb,perm,sfh,2070,0.292417361
