region_bld,ssp,clim,urt,inc_cl,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
C-EEU-BGR,SSP2,Zone_4A Mixed Humid,rur,q1,0.027842198,0.035627068,0.045251471,0.057109699,0.073066194,0.086056438,0.10466725,0.121264548,0.144220689,0.160786865,0.189011892,0.222240826,0.237105953,0.258885822,0.274065191,0.30322403,0.309907881,0.330323133
C-EEU-BGR,SSP2,Zone_4A Mixed Humid,rur,q2,0.0764892,0.121830939,0.193924561,0.277710507,0.362210669,0.423354551,0.475715236,0.501154694,0.518278927,0.532873969,0.538370407,0.541446686,0.542664342,0.543587081,0.543923353,0.54425594,0.544320583,0.544399963
C-EEU-BGR,SSP2,Zone_4A Mixed Humid,rur,q3,0.357344997,0.488067126,0.534638274,0.54243179,0.544193709,0.544424072,0.544460162,0.544465804,0.544466501,0.544466636,0.544466643,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644
C-EEU-BGR,SSP2,Zone_4A Mixed Humid,urb,q1,0.053953078,0.081128431,0.113694552,0.160440967,0.208774975,0.273457008,0.309819916,0.359216295,0.39341201,0.428590573,0.463417767,0.485154644,0.50272659,0.514299481,0.521583479,0.524010772,0.528749719,0.531386048
C-EEU-BGR,SSP2,Zone_4A Mixed Humid,urb,q2,0.221376884,0.363805443,0.463852348,0.514771616,0.534447187,0.541503265,0.543311442,0.544103435,0.544343052,0.544423327,0.544456248,0.544462801,0.544465804,0.544466368,0.544466565,0.54446662,0.544466635,0.544466642
C-EEU-BGR,SSP2,Zone_4A Mixed Humid,urb,q3,0.535062586,0.543856726,0.544435706,0.544465522,0.544466611,0.544466643,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644,0.544466644
C-EEU-BGR,SSP2,Zone_5A Cool Humid,rur,q1,0.013890722,0.017774663,0.022576363,0.028492539,0.036453377,0.042934326,0.052219426,0.060499966,0.071952991,0.080218004,0.094299722,0.110877934,0.118294279,0.12916045,0.136733573,0.151281178,0.154615811,0.164801163
C-EEU-BGR,SSP2,Zone_5A Cool Humid,rur,q2,0.038161145,0.060782544,0.096750696,0.138552254,0.180710139,0.211215369,0.237338582,0.250030555,0.258573988,0.265855585,0.268597807,0.27013259,0.27074009,0.271200452,0.271368222,0.271534152,0.271566403,0.271606006
C-EEU-BGR,SSP2,Zone_5A Cool Humid,rur,q3,0.178282612,0.243501051,0.266735813,0.270624067,0.271503105,0.271618035,0.271636041,0.271638855,0.271639203,0.27163927,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274
C-EEU-BGR,SSP2,Zone_5A Cool Humid,urb,q1,0.026917673,0.040475699,0.056723228,0.080045432,0.104159701,0.136430145,0.154571925,0.17921622,0.196276768,0.213827667,0.231203265,0.242047988,0.250814788,0.256588607,0.260222659,0.261433657,0.26379796,0.265113248
C-EEU-BGR,SSP2,Zone_5A Cool Humid,urb,q2,0.110446906,0.181505787,0.231420081,0.25682416,0.266640477,0.270160818,0.271062934,0.271458066,0.271577613,0.271617663,0.271634088,0.271637357,0.271638855,0.271639136,0.271639235,0.271639263,0.27163927,0.271639273
C-EEU-BGR,SSP2,Zone_5A Cool Humid,urb,q3,0.266947506,0.271334981,0.271623839,0.271638714,0.271639258,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274,0.271639274
C-EEU-CZE,SSP2,Zone_5A Cool Humid,rur,q1,0.04382722,0.05999943,0.07820724,0.1013945,0.1233735,0.1473355,0.1652972,0.177372,0.187318,0.1977511,0.2050034,0.2082614,0.2106835,0.2112887,0.2122102,0.2125885,0.2128629,0.2129491
C-EEU-CZE,SSP2,Zone_5A Cool Humid,rur,q2,0.1262747,0.1584363,0.182389,0.1994216,0.2062633,0.2102586,0.211743,0.2124709,0.2127686,0.2129502,0.2130237,0.2130476,0.213056,0.2130578,0.2130587,0.2130589,0.2130591,0.2130591
C-EEU-CZE,SSP2,Zone_5A Cool Humid,rur,q3,0.2060505,0.2112311,0.2126007,0.212974,0.2130426,0.2130558,0.2130585,0.213059,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591
C-EEU-CZE,SSP2,Zone_5A Cool Humid,urb,q1,0.1316314,0.1601651,0.1826848,0.1993419,0.2067047,0.210306,0.2117718,0.2123874,0.2127588,0.212919,0.2130087,0.2130412,0.2130542,0.2130576,0.2130586,0.2130589,0.2130591,0.2130591
C-EEU-CZE,SSP2,Zone_5A Cool Humid,urb,q2,0.2063297,0.2109663,0.2125028,0.2129379,0.2130333,0.2130541,0.2130579,0.2130588,0.213059,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591
C-EEU-CZE,SSP2,Zone_5A Cool Humid,urb,q3,0.2130289,0.2130565,0.213059,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591,0.2130591
C-EEU-EST,SSP2,Zone_6A Cold Humid,rur,q1,0.01007706,0.01373441,0.01840237,0.02585935,0.03430762,0.04680539,0.05736942,0.06855492,0.07789666,0.08603744,0.09325926,0.09729713,0.1001665,0.1016286,0.102466,0.1029223,0.1031543,0.1032537
C-EEU-EST,SSP2,Zone_6A Cold Humid,rur,q2,0.03638649,0.05178573,0.06880345,0.08419848,0.09258167,0.09831535,0.1008869,0.1020321,0.1027078,0.1030512,0.1032011,0.1032697,0.1032988,0.10331,0.1033154,0.1033177,0.1033187,0.1033191
C-EEU-EST,SSP2,Zone_6A Cold Humid,rur,q3,0.09762978,0.1017946,0.1028638,0.1032206,0.1032943,0.1033133,0.1033175,0.1033187,0.1033191,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192
C-EEU-EST,SSP2,Zone_6A Cold Humid,urb,q1,0.02713564,0.04157481,0.05522035,0.07306729,0.08706469,0.09436741,0.09953191,0.1014645,0.1024465,0.1030064,0.1032082,0.1032817,0.1033061,0.1033158,0.1033183,0.103319,0.1033192,0.1033192
C-EEU-EST,SSP2,Zone_6A Cold Humid,urb,q2,0.0881463,0.09786697,0.1014244,0.102837,0.1032127,0.1032879,0.1033121,0.1033169,0.1033186,0.1033191,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192
C-EEU-EST,SSP2,Zone_6A Cold Humid,urb,q3,0.1032887,0.1033161,0.103319,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192,0.1033192
C-EEU-HUN,SSP2,Zone_4A Mixed Humid,rur,q1,0.04541747,0.05206386,0.06235997,0.0781589,0.1002156,0.1230065,0.1559161,0.1956453,0.2319906,0.2779806,0.3185115,0.3592129,0.3861887,0.4128813,0.4268888,0.4345163,0.4399996,0.4429157
C-EEU-HUN,SSP2,Zone_4A Mixed Humid,rur,q2,0.1169565,0.1436501,0.1841038,0.2365048,0.2917421,0.3400274,0.3784543,0.4083559,0.4256531,0.4349962,0.4418717,0.4444218,0.4456848,0.446284,0.4465013,0.4465745,0.4466216,0.4466355
C-EEU-HUN,SSP2,Zone_4A Mixed Humid,rur,q3,0.3294488,0.3664243,0.4054328,0.4288643,0.440023,0.4439772,0.4457798,0.4463526,0.4465606,0.4466179,0.4466376,0.446642,0.4466431,0.4466433,0.4466433,0.4466433,0.4466433,0.4466433
