region_bld,clim,urt,arch,eneff,bld_age,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,avg,ns,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,avg,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,avg,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,avg,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,std,p5,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,adv,p5,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,std,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,adv,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,std,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,adv,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,std,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,adv,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,avg,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,avg,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,avg,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,std,p5,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,adv,p5,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,std,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,adv,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,std,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,adv,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,std,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,adv,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,avg,ns,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,avg,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,avg,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,avg,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,std,p5,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,adv,p5,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,std,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,adv,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,std,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,adv,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,std,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,adv,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,avg,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,avg,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,avg,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,std,p5,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,adv,p5,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,std,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,adv,p1,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,std,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,adv,p2,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,std,p3,1
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,adv,p3,1
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,avg,ns,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,avg,p1,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,avg,p2,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,avg,p3,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,std,p5,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,adv,p5,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,std,p1,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,adv,p1,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,std,p2,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,adv,p2,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,std,p3,1
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,adv,p3,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,avg,p1,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,avg,p2,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,avg,p3,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,std,p5,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,adv,p5,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,std,p1,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,adv,p1,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,std,p2,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,adv,p2,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,std,p3,1
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,adv,p3,1
C-EEU-BGR,Zone_5A Cool Humid,urb,inf,avg,ns,1
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,avg,p1,1
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,avg,p2,1
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,avg,p3,1
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,std,p5,1
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,adv,p5,1
