region_bld,clim,urt,inc_cl,year,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2015,0.027336965
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2020,0.034877494
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2025,0.041807028
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2030,0.047774023
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2035,0.053023652
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2040,0.055881501
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2045,0.06193835
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2050,0.062845017
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2055,0.066335552
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2060,0.070776791
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2065,0.075168069
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2070,0.075873526
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2075,0.077438046
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2080,0.077716809
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2085,0.080625442
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2090,0.083932584
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2095,0.082580139
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2100,0.079255919
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2015,0.076856227
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2020,0.122798406
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2025,0.180072957
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2030,0.232662577
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2035,0.284945975
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2040,0.319881472
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2045,0.366736784
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2050,0.385492021
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2055,0.40328806
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2060,0.440717011
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2065,0.461846587
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2070,0.482055744
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2075,0.494532225
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2080,0.501053723
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2085,0.510939533
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2090,0.519455578
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2095,0.522805634
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2100,0.525721568
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2015,0.367520145
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2020,0.491276568
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2025,0.533030682
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2030,0.541747468
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2035,0.543710124
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2040,0.54411999
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2045,0.544414097
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2050,0.544437759
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2055,0.544455814
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2060,0.544464355
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2065,0.544466091
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2070,0.544466532
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2075,0.544466628
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2080,0.544466641
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2085,0.544466643
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2090,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2095,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,2100,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2015,0.052144719
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2020,0.077134523
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2025,0.098004177
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2030,0.123896874
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2035,0.146136948
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2040,0.165894929
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2045,0.175929583
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2050,0.182774781
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2055,0.195097592
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2060,0.202930638
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2065,0.235740481
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2070,0.223145391
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2075,0.235534107
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2080,0.247280377
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2085,0.24188798
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2090,0.250826674
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2095,0.245205015
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,2100,0.258164017
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2015,0.218830925
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2020,0.354748072
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2025,0.446118912
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2030,0.493799112
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2035,0.520398694
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2040,0.530250167
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2045,0.534529929
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2050,0.537734194
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2055,0.540640285
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2060,0.541740646
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2065,0.543290758
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2070,0.543428239
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2075,0.543984992
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2080,0.54414596
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2085,0.544222499
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2090,0.544298031
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2095,0.544327265
C-EEU-BGR,Zone_4A Mixed Humid,urb,q2,2100,0.54441253
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2015,0.535165737
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2020,0.543718981
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2025,0.544428911
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2030,0.544463432
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2035,0.544466465
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2040,0.544466625
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2045,0.544466642
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2050,0.544466643
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2055,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2060,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2065,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2070,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2075,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2080,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2085,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2090,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2095,0.544466644
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,2100,0.544466644
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2015,0.013638656
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2020,0.017400694
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2025,0.0208579
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2030,0.023834887
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2035,0.026453974
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2040,0.02787978
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2045,0.030901596
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2050,0.03135394
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,2055,0.0330954
