region_gea,urt,mat,tenr,scenario,ssp,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFR,rur,perm,own,nsp,nsp,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749,0.977313749
AFR,rur,perm,rent,nsp,nsp,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251,0.022686251
AFR,urb,perm,own,nsp,nsp,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569,0.698123569
AFR,urb,perm,rent,nsp,nsp,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431,0.301876431
CPA,rur,perm,own,nsp,nsp,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315
CPA,rur,perm,rent,nsp,nsp,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685
CPA,urb,perm,own,nsp,nsp,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212
CPA,urb,perm,rent,nsp,nsp,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788
EEU,rur,perm,own,nsp,nsp,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861,0.967841861
EEU,rur,perm,rent,nsp,nsp,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139,0.032158139
EEU,urb,perm,own,nsp,nsp,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638,0.908997638
EEU,urb,perm,rent,nsp,nsp,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362,0.091002362
