region_bld,fuel_heat,value
C-WEU-AUT,heat_pump,0.064842257
C-WEU-AUT,biomass_solid,0.311778735
C-WEU-AUT,coal,0.004715332
C-WEU-AUT,district_heat,0.157309073
C-WEU-AUT,electricity,0.054813022
C-WEU-AUT,gas,0.245560873
C-WEU-AUT,oil,0.160980709
C-WEU-BEL,heat_pump,0.017843865
C-WEU-BEL,biomass_solid,0.096201345
C-WEU-BEL,coal,0.013851938
C-WEU-BEL,district_heat,0.002598442
C-WEU-BEL,electricity,0.016711886
C-WEU-BEL,gas,0.484201562
C-WEU-BEL,oil,0.368590962
C-EEU-BGR,heat_pump,0
C-EEU-BGR,biomass_solid,0.531832035
C-EEU-BGR,coal,0.107124027
C-EEU-BGR,district_heat,0.235420547
C-EEU-BGR,electricity,0.092078579
C-EEU-BGR,gas,0.033007316
C-EEU-BGR,oil,0.000537496
C-WEU-CYP,heat_pump,0.049179239
C-WEU-CYP,biomass_solid,0.129277831
C-WEU-CYP,coal,0
C-WEU-CYP,district_heat,0
C-WEU-CYP,electricity,0.079760036
C-WEU-CYP,gas,0
C-WEU-CYP,oil,0.741782894
C-EEU-CZE,heat_pump,0.043237803
C-EEU-CZE,biomass_solid,0.296777415
C-EEU-CZE,coal,0.149696146
C-EEU-CZE,district_heat,0.199549673
C-EEU-CZE,electricity,0.021044167
C-EEU-CZE,gas,0.282333582
C-EEU-CZE,oil,0.007361215
C-WEU-DEU,heat_pump,0.044880807
C-WEU-DEU,biomass_solid,0.13275275
C-WEU-DEU,coal,0.015292875
C-WEU-DEU,district_heat,0.118096468
C-WEU-DEU,electricity,0.003298848
C-WEU-DEU,gas,0.449198725
C-WEU-DEU,oil,0.236479528
C-WEU-DNK,heat_pump,0.075638967
C-WEU-DNK,biomass_solid,0.235710262
C-WEU-DNK,coal,0
C-WEU-DNK,district_heat,0.481579606
C-WEU-DNK,electricity,0.008399497
C-WEU-DNK,gas,0.147964641
C-WEU-DNK,oil,0.050707025
C-EEU-EST,heat_pump,0
C-EEU-EST,biomass_solid,0.434907683
C-EEU-EST,coal,0.005604507
C-EEU-EST,district_heat,0.446808799
C-EEU-EST,electricity,0.046321789
C-EEU-EST,gas,0.062324753
C-EEU-EST,oil,0.00403247
C-WEU-GRC,heat_pump,0.042810302
C-WEU-GRC,biomass_solid,0.27156755
C-WEU-GRC,coal,0.001254532
C-WEU-GRC,district_heat,0.018254907
C-WEU-GRC,electricity,0.093413202
C-WEU-GRC,gas,0.124221851
C-WEU-GRC,oil,0.448477655
C-WEU-ESP,heat_pump,0.031224158
C-WEU-ESP,biomass_solid,0.290202991
C-WEU-ESP,coal,0.016099334
C-WEU-ESP,district_heat,0
C-WEU-ESP,electricity,0.119204419
C-WEU-ESP,gas,0.300495845
C-WEU-ESP,oil,0.242773252
C-WEU-FIN,heat_pump,0.194900857
C-WEU-FIN,biomass_solid,0.231626334
C-WEU-FIN,coal,0.000701258
C-WEU-FIN,district_heat,0.347812912
C-WEU-FIN,electricity,0.140785809
C-WEU-FIN,gas,0.004573551
C-WEU-FIN,oil,0.079599279
C-WEU-FRA,heat_pump,0.128811534
C-WEU-FRA,biomass_solid,0.231008665
C-WEU-FRA,coal,0.00123103
C-WEU-FRA,district_heat,0.0436006
C-WEU-FRA,electricity,0.108307309
C-WEU-FRA,gas,0.352262227
C-WEU-FRA,oil,0.134778634
C-WEU-HRV,heat_pump,0.025360405
C-WEU-HRV,biomass_solid,0.622762097
C-WEU-HRV,coal,0.001987364
C-WEU-HRV,district_heat,0.077438726
C-WEU-HRV,electricity,0.005192053
C-WEU-HRV,gas,0.222012923
C-WEU-HRV,oil,0.045246432
C-EEU-HUN,heat_pump,0.001866584
C-EEU-HUN,biomass_solid,0.365225386
C-EEU-HUN,coal,0.024468998
C-EEU-HUN,district_heat,0.10791988
C-EEU-HUN,electricity,0.000589634
C-EEU-HUN,gas,0.497968328
C-EEU-HUN,oil,0.001961191
C-WEU-IRL,heat_pump,0.022360215
C-WEU-IRL,biomass_solid,0.014410504
C-WEU-IRL,coal,0.217416614
C-WEU-IRL,district_heat,0
C-WEU-IRL,electricity,0.077326084
C-WEU-IRL,gas,0.244101646
C-WEU-IRL,oil,0.424384937
C-WEU-ITA,heat_pump,0.00879786
C-WEU-ITA,biomass_solid,0.254148218
C-WEU-ITA,coal,0
C-WEU-ITA,district_heat,0.040864981
C-WEU-ITA,electricity,0.010338289
C-WEU-ITA,gas,0.613294926
C-WEU-ITA,oil,0.072555726
C-EEU-LTU,heat_pump,0.010795045
C-EEU-LTU,biomass_solid,0.384887396
C-EEU-LTU,coal,0.041702705
C-EEU-LTU,district_heat,0.436622702
C-EEU-LTU,electricity,0.015765843
C-EEU-LTU,gas,0.099201843
C-EEU-LTU,oil,0.011024466
C-WEU-LUX,heat_pump,0.008222414
C-WEU-LUX,biomass_solid,0.056915645
C-WEU-LUX,coal,0.001544076
C-WEU-LUX,district_heat,0
C-WEU-LUX,electricity,0.035623431
C-WEU-LUX,gas,0.538452127
C-WEU-LUX,oil,0.359242306
C-EEU-LVA,heat_pump,0
C-EEU-LVA,biomass_solid,0.472946184
C-EEU-LVA,coal,0.012162956
C-EEU-LVA,district_heat,0.390296131
C-EEU-LVA,electricity,0.003286732
C-EEU-LVA,gas,0.09303656
C-EEU-LVA,oil,0.028271437
C-WEU-MLT,heat_pump,0.626337463
C-WEU-MLT,biomass_solid,0.085273739
C-WEU-MLT,coal,0
C-WEU-MLT,district_heat,0
C-WEU-MLT,electricity,0.06439486
C-WEU-MLT,gas,0
C-WEU-MLT,oil,0.223993939
C-WEU-NLD,heat_pump,0.013360632
C-WEU-NLD,biomass_solid,0.058278439
C-WEU-NLD,coal,0.000138405
C-WEU-NLD,district_heat,0.044666279
C-WEU-NLD,electricity,0.005183404
C-WEU-NLD,gas,0.873550604
C-WEU-NLD,oil,0.004822236
C-EEU-POL,heat_pump,0.019548016
C-EEU-POL,biomass_solid,0.14768548
C-EEU-POL,coal,0.37670858
C-EEU-POL,district_heat,0.26820269
C-EEU-POL,electricity,0.000375796
C-EEU-POL,gas,0.182491796
C-EEU-POL,oil,0.004987643
C-WEU-PRT,heat_pump,0.410601042
C-WEU-PRT,biomass_solid,0.424510457
C-WEU-PRT,coal,0
C-WEU-PRT,district_heat,0.000840783
C-WEU-PRT,electricity,0.002187442
C-WEU-PRT,gas,0.1164597
C-WEU-PRT,oil,0.045400576
C-EEU-ROU,heat_pump,0
C-EEU-ROU,biomass_solid,0.47009944
C-EEU-ROU,coal,0.010248963
C-EEU-ROU,district_heat,0.163571358
C-EEU-ROU,electricity,0.00500784
C-EEU-ROU,gas,0.346399465
C-EEU-ROU,oil,0.004672934
C-WEU-SWE,heat_pump,0.359915279
C-WEU-SWE,biomass_solid,0.098803408
C-WEU-SWE,coal,0
C-WEU-SWE,district_heat,0.327500728
C-WEU-SWE,electricity,0.18310951
C-WEU-SWE,gas,0.007560563
C-WEU-SWE,oil,0.023110512
C-EEU-SVN,heat_pump,0.080973954
C-EEU-SVN,biomass_solid,0.563217825
C-EEU-SVN,coal,0
C-EEU-SVN,district_heat,0.098781116
C-EEU-SVN,electricity,0.019173618
C-EEU-SVN,gas,0.106673663
C-EEU-SVN,oil,0.131179824
C-EEU-SVK,heat_pump,0.017817889
C-EEU-SVK,biomass_solid,0.269437755
C-EEU-SVK,coal,0.009536313
C-EEU-SVK,district_heat,0.225707661
C-EEU-SVK,electricity,0.035459322
C-EEU-SVK,gas,0.440052206
C-EEU-SVK,oil,0.001988854
