region_bld,arch,bld_age,value
C-WEU-AUT,sfh,p1,431.9423769
C-WEU-BEL,sfh,p1,1318.82022
C-EEU-BGR,sfh,p1,240.0011464
C-WEU-CYP,sfh,p1,6.511728199
C-EEU-CZE,sfh,p1,410.0434878
C-WEU-DEU,sfh,p1,3908.175952
C-WEU-DNK,sfh,p1,564.689418
C-EEU-EST,sfh,p1,30.65480115
C-WEU-GRC,sfh,p1,129.5693928
C-WEU-ESP,sfh,p1,647.7066511
C-WEU-FIN,sfh,p1,196.0384083
C-WEU-FRA,sfh,p1,4059.142975
C-EEU-HUN,sfh,p1,472.9733403
C-WEU-IRL,sfh,p1,246.5399951
C-WEU-ITA,sfh,p1,1662.273901
C-EEU-LTU,sfh,p1,138.823535
C-WEU-LUX,sfh,p1,33.97440511
C-EEU-LVA,sfh,p1,63.93772741
C-WEU-MLT,sfh,p1,23.24185054
C-WEU-NLD,sfh,p1,1108.741613
C-EEU-POL,sfh,p1,1110.916108
C-WEU-PRT,sfh,p1,303.4113167
C-EEU-ROU,sfh,p1,435.0253653
C-WEU-SWE,sfh,p1,563.2968945
C-EEU-SVN,sfh,p1,87.7471381
C-EEU-SVK,sfh,p1,204.7517548
C-WEU-GBR,sfh,p1,8427.886467
C-WEU-AUT,mfh,p1,426.8805521
C-WEU-BEL,mfh,p1,470.8940664
C-EEU-BGR,mfh,p1,195.8671606
C-WEU-CYP,mfh,p1,2.542674801
C-EEU-CZE,mfh,p1,553.4706242
C-WEU-DEU,mfh,p1,4572.432783
C-WEU-DNK,mfh,p1,394.102431
C-EEU-EST,mfh,p1,91.53788885
C-WEU-GRC,mfh,p1,190.6890272
C-WEU-ESP,mfh,p1,1538.167833
C-WEU-FIN,mfh,p1,156.1978807
C-WEU-FRA,mfh,p1,3136.725401
C-EEU-HUN,mfh,p1,295.5367907
C-WEU-IRL,mfh,p1,31.32702086
C-WEU-ITA,mfh,p1,4829.726099
C-EEU-LTU,mfh,p1,256.670241
C-WEU-LUX,mfh,p1,19.25216289
C-EEU-LVA,mfh,p1,142.8151206
C-WEU-MLT,mfh,p1,7.722949455
C-WEU-NLD,mfh,p1,479.973938
C-EEU-POL,mfh,p1,1636.083892
C-WEU-PRT,mfh,p1,210.8451523
C-EEU-ROU,mfh,p1,329.5183347
C-WEU-SWE,mfh,p1,783.7312085
C-EEU-SVN,mfh,p1,155.7598079
