region_bld,urt,inc_cl,region_gea,clim,arch,mat,year,yr_con,bld_age,value
C-EEU-BGR,rur,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1820,p1,7921.76609
C-EEU-BGR,rur,q1,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1820,p1,29594.45289
C-EEU-BGR,rur,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1820,p1,7921.76609
C-EEU-BGR,rur,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1820,p1,29594.45289
C-EEU-BGR,rur,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1820,p1,7921.76609
C-EEU-BGR,rur,q3,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1820,p1,29594.45289
C-EEU-BGR,rur,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,3877.28971
C-EEU-BGR,rur,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,14484.93503
C-EEU-BGR,rur,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,3877.28971
C-EEU-BGR,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,14484.93503
C-EEU-BGR,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,3877.28971
C-EEU-BGR,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,14484.93503
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1820,p1,6480.79093
C-EEU-BGR,urb,q1,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1820,p1,2678.26777
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1820,p1,6480.79093
C-EEU-BGR,urb,q2,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1820,p1,2678.26777
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1820,p1,6480.79093
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1820,p1,2678.26777
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,2598.54315
C-EEU-BGR,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,1073.88039
C-EEU-BGR,urb,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,2598.54315
C-EEU-BGR,urb,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,1073.88039
C-EEU-BGR,urb,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,2598.54315
C-EEU-BGR,urb,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,1073.88039
C-EEU-CZE,rur,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,16824.20579
C-EEU-CZE,rur,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,62852.54561
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,16824.20579
C-EEU-CZE,rur,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,62852.54561
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,16824.20579
C-EEU-CZE,rur,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,62852.54561
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,80183.62337
C-EEU-CZE,urb,q1,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,33136.8836
C-EEU-CZE,urb,q2,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,80183.62337
C-EEU-CZE,urb,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,33136.8836
C-EEU-CZE,urb,q3,EEU,Zone_5A Cool Humid,mfh,perm,2015,1820,p1,80183.62337
C-EEU-CZE,urb,q3,EEU,Zone_5A Cool Humid,sfh,perm,2015,1820,p1,33136.8836
C-EEU-EST,rur,q1,EEU,Zone_6A Cold Humid,mfh,perm,2015,1820,p1,2229.61751
C-EEU-EST,rur,q1,EEU,Zone_6A Cold Humid,sfh,perm,2015,1820,p1,8329.49486
C-EEU-EST,rur,q2,EEU,Zone_6A Cold Humid,mfh,perm,2015,1820,p1,2229.61751
C-EEU-EST,rur,q2,EEU,Zone_6A Cold Humid,sfh,perm,2015,1820,p1,8329.49486
C-EEU-EST,rur,q3,EEU,Zone_6A Cold Humid,mfh,perm,2015,1820,p1,2229.61751
C-EEU-EST,rur,q3,EEU,Zone_6A Cold Humid,sfh,perm,2015,1820,p1,8329.49486
C-EEU-EST,urb,q1,EEU,Zone_6A Cold Humid,mfh,perm,2015,1820,p1,8025.17475
C-EEU-EST,urb,q1,EEU,Zone_6A Cold Humid,sfh,perm,2015,1820,p1,3316.50368
C-EEU-EST,urb,q2,EEU,Zone_6A Cold Humid,mfh,perm,2015,1820,p1,8025.17475
C-EEU-EST,urb,q2,EEU,Zone_6A Cold Humid,sfh,perm,2015,1820,p1,3316.50368
C-EEU-EST,urb,q3,EEU,Zone_6A Cold Humid,mfh,perm,2015,1820,p1,8025.17475
C-EEU-EST,urb,q3,EEU,Zone_6A Cold Humid,sfh,perm,2015,1820,p1,3316.50368
