region_bld,urt,arch,mat,bld_age,year,value
C-EEU-BGR,rur,mfh,perm,p1,2015,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p2,2015,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p3,2015,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p5,2015,26.774184540478075
C-EEU-BGR,rur,sfh,perm,p1,2015,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p2,2015,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p3,2015,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p5,2015,44.7598921645263
C-EEU-BGR,urb,mfh,perm,p1,2015,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p2,2015,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p3,2015,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p5,2015,25.176699918935206
C-EEU-BGR,urb,sfh,perm,p1,2015,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p2,2015,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p3,2015,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p5,2015,43.980995362967896
C-EEU-BGR,rur,mfh,perm,p1,2020,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p2,2020,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p3,2020,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p5,2020,41.0565057233107
C-EEU-BGR,rur,sfh,perm,p1,2020,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p2,2020,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p3,2020,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p5,2020,68.63644216873806
C-EEU-BGR,urb,mfh,perm,p1,2020,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p2,2020,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p3,2020,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p5,2020,38.60686486093004
C-EEU-BGR,urb,sfh,perm,p1,2020,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p2,2020,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p3,2020,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p5,2020,67.44205356120813
C-EEU-BGR,rur,mfh,perm,p1,2025,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p2,2025,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p3,2025,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p5,2025,41.43066187676634
C-EEU-BGR,rur,sfh,perm,p1,2025,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p2,2025,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p3,2025,44.7598921645263
C-EEU-BGR,rur,sfh,perm,p5,2025,69.26193980270145
C-EEU-BGR,urb,mfh,perm,p1,2025,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p2,2025,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p3,2025,25.176699918935206
C-EEU-BGR,urb,mfh,perm,p5,2025,38.958696946950596
C-EEU-BGR,urb,sfh,perm,p1,2025,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p2,2025,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p3,2025,43.980995362967896
C-EEU-BGR,urb,sfh,perm,p5,2025,68.05666649275344
C-EEU-BGR,rur,mfh,perm,p1,2030,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p2,2030,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p3,2030,26.774184540478075
C-EEU-BGR,rur,mfh,perm,p5,2030,41.84858374780586
