ssp,scenario,mat,fuel_heat_i,fuel_heat_f,value
nsp,LED,perm,biomass_solid,biomass_solid,0
nsp,LED,perm,biomass_solid,coal,99999
nsp,LED,perm,biomass_solid,electricity,0
nsp,LED,perm,biomass_solid,gas,99999
nsp,LED,perm,biomass_solid,oil,99999
nsp,LED,perm,coal,biomass_solid,99999
nsp,LED,perm,coal,coal,0
nsp,LED,perm,coal,electricity,0
nsp,LED,perm,coal,gas,99999
nsp,LED,perm,coal,oil,99999
nsp,LED,perm,electricity,biomass_solid,99999
nsp,LED,perm,electricity,coal,99999
nsp,LED,perm,electricity,electricity,0
nsp,LED,perm,electricity,gas,99999
nsp,LED,perm,electricity,oil,99999
nsp,LED,perm,gas,biomass_solid,99999
nsp,LED,perm,gas,coal,99999
nsp,LED,perm,gas,electricity,0
nsp,LED,perm,gas,gas,0
nsp,LED,perm,gas,oil,99999
nsp,LED,perm,oil,biomass_solid,99999
nsp,LED,perm,oil,coal,99999
nsp,LED,perm,oil,electricity,0
nsp,LED,perm,oil,gas,99999
nsp,LED,perm,oil,oil,0
