ssp,scenario,region_gea,eneff,fuel_heat,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP2,LED,AFR,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,AFR,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,AFR,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,AFR,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,AFR,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,AFR,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,AFR,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,AFR,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,AFR,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,AFR,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,CPA,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,CPA,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,CPA,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,CPA,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,CPA,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,CPA,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,CPA,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,CPA,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,CPA,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,CPA,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,EEU,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,EEU,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,EEU,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,EEU,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,EEU,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,EEU,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,EEU,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,EEU,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,EEU,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,EEU,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,FSU,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,FSU,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,FSU,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,FSU,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,FSU,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,FSU,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,FSU,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,FSU,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,FSU,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,FSU,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,LAC,s51_std,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,LAC,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,LAC,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,MEA,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,MEA,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,NAM,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,NAM,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAO,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAO,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAS,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s52_low,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s52_low,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAS,s52_low,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s52_low,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,SAS,s51_std,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,SAS,s51_std,coal,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,SAS,s51_std,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,SAS,s51_std,gas,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,SAS,s51_std,oil,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,SAS,s52_low,biomass_solid,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
