ssp,scenario,region_gea,eneff,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP3,nsp,AFR,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,AFR,s52_low,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
SSP3,nsp,CPA,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,CPA,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,nsp,EEU,s51_std,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP3,nsp,EEU,s52_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,FSU,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,FSU,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,nsp,LAC,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,LAC,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,nsp,MEA,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,MEA,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,nsp,NAM,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,NAM,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,nsp,PAO,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,PAO,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,nsp,PAS,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,PAS,s52_low,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
SSP3,nsp,SAS,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,nsp,SAS,s52_low,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
SSP3,nsp,WEU,s51_std,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP3,nsp,WEU,s52_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
