region_bld,mat,value
C-EEU-BGR,perm,0.014
C-EEU-CZE,perm,0.017
C-EEU-EST,perm,0.008
C-EEU-HUN,perm,0.01
C-EEU-LTU,perm,0.009
C-EEU-LVA,perm,0.009
C-EEU-POL,perm,0.015
C-EEU-ROU,perm,0.014
C-EEU-SVK,perm,0.011
C-EEU-SVN,perm,0.014
C-WEU-AUT,perm,0.019
C-WEU-BEL,perm,0.012
C-WEU-CHE,perm,0.012
C-WEU-CYP,perm,0.024
C-WEU-DEU,perm,0.01
C-WEU-DNK,perm,0.006
C-WEU-ESP,perm,0.02
C-WEU-FIN,perm,0.003
C-WEU-FRA,perm,0.012
C-WEU-GBR,perm,0.012
C-WEU-GRC,perm,0.013
C-WEU-IRL,perm,0.007
C-WEU-ISL,perm,0.012
C-WEU-ITA,perm,0.018
C-WEU-LUX,perm,0.005
C-WEU-MLT,perm,0.007
C-WEU-NLD,perm,0.009
C-WEU-NOR,perm,0.012
C-WEU-PRT,perm,0.014
C-WEU-SWE,perm,0.008
C-WEU-HRV,perm,0.016
