region_bld,ssp,scenario,urt,arch,mat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-EEU-LTU,SSP2,nsp,urb,sfh,perm,31.15824085,33.6091553,36.04602837,38.43689055,40.7525673,42.96794782,45.06294621,47.02287218,48.83843484,50.50533022,52.02359507,53.39683482,54.63139664,55.73553214,56.71874689,57.59117857,58.36307633,59.04456495
C-EEU-LVA,SSP2,nsp,rur,mfh,perm,19.00055328,20.48484977,21.95948231,23.40515163,24.80429377,26.14183981,27.40578758,28.587415,29.68127189,30.68492115,31.59854051,32.42445042,33.16661054,33.83011196,34.42078389,34.9448186,35.40845819,35.81785438
C-EEU-LVA,SSP2,nsp,rur,sfh,perm,31.76428079,34.24566172,36.71088689,39.12769262,41.4667163,43.70276633,45.81577807,47.79117029,49.61983163,51.29768787,52.82503614,54.20575562,55.44646594,56.55567814,57.54313722,58.41919517,59.19428724,59.8786976
C-EEU-LVA,SSP2,nsp,urb,mfh,perm,17.86688321,19.26261899,20.64926742,22.00868072,23.3243429,24.5820841,25.7706183,26.88174379,27.91033559,28.854102,29.71321017,30.48984207,31.18772113,31.81163466,32.36706409,32.85983221,33.2958087,33.68077822
C-EEU-LVA,SSP2,nsp,urb,sfh,perm,31.21152931,33.64973007,36.07205621,38.44680549,40.74512625,42.94226528,45.01850709,46.95952419,48.75636378,50.40502252,51.90579238,53.26248504,54.48160492,55.57151498,56.54179063,57.4026037,58.16420788,58.83670836
C-EEU-POL,SSP2,nsp,rur,mfh,perm,21.04693461,22.38035222,23.69993325,24.98886277,26.2319787,27.41648552,28.53232887,29.57235608,30.53232282,31.41060527,32.207843,32.92650642,33.57045591,34.14451159,34.65406854,35.1048093,35.50241577,35.85243087
C-EEU-POL,SSP2,nsp,rur,sfh,perm,35.18533019,37.41447851,39.62049544,41.77527056,43.85345653,45.83366241,47.69907974,49.43775103,51.04258077,52.51085434,53.84364097,55.04507054,56.12159669,57.08127747,57.93313214,58.68666051,59.35136134,59.93650104
C-EEU-POL,SSP2,nsp,urb,mfh,perm,19.79116698,21.04502608,22.28587417,23.49789957,24.66684485,25.78067794,26.82994438,27.80791825,28.71060847,29.5364881,30.28615856,30.96194285,31.56747102,32.10727561,32.58642979,33.01027705,33.38416028,33.7132917
C-EEU-POL,SSP2,nsp,urb,sfh,perm,34.57304674,36.76340416,38.93103272,41.04831115,43.09033322,45.03608021,46.86903617,48.57745168,50.15435471,51.59707787,52.90667179,54.08719448,55.14498728,56.08796801,56.92499899,57.6654147,58.31854863,58.89350592
C-EEU-ROU,SSP2,nsp,rur,mfh,perm,18.50469658,20.01037625,21.49582205,22.94190787,24.3316529,25.65084566,26.88851121,28.03704294,29.09212853,30.05244021,30.91919859,31.6956746,32.38667111,32.99800977,33.53613785,34.0077596,34.41953288,34.77793785
