ssp,scenario,region_gea,eneff,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP2,nsp,AFR,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,AFR,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,CPA,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,CPA,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,EEU,s51_std,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,EEU,s52_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,FSU,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,FSU,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,LAC,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,LAC,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,MEA,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,MEA,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,NAM,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,NAM,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,PAO,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,PAO,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,PAS,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,PAS,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,SAS,s51_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,nsp,SAS,s52_low,4000,2500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,WEU,s51_std,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP2,nsp,WEU,s52_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
