region_bld,urt,arch,mat,bld_age,year,value
C-EEU-BGR,rur,mfh,perm,p1,2015,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2020,23.61997792
C-EEU-BGR,rur,mfh,perm,p1,2025,23.44501512
C-EEU-BGR,rur,mfh,perm,p1,2030,23.00760813
C-EEU-BGR,rur,mfh,perm,p1,2035,22.43897903
C-EEU-BGR,rur,mfh,perm,p1,2040,21.87034993
C-EEU-BGR,rur,mfh,perm,p1,2045,21.43294293
C-EEU-BGR,rur,mfh,perm,p1,2050,21.25798013
C-EEU-BGR,rur,mfh,perm,p1,2055,21.25798013
C-EEU-BGR,rur,mfh,perm,p1,2060,21.25798013
C-EEU-BGR,rur,mfh,perm,p1,2070,21.25798013
C-EEU-BGR,rur,mfh,perm,p1,2080,21.25798013
C-EEU-BGR,rur,mfh,perm,p1,2090,21.25798013
C-EEU-BGR,rur,mfh,perm,p1,2100,21.25798013
C-EEU-BGR,rur,mfh,perm,p2,2015,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2020,23.61997792
C-EEU-BGR,rur,mfh,perm,p2,2025,23.44501512
C-EEU-BGR,rur,mfh,perm,p2,2030,23.00760813
C-EEU-BGR,rur,mfh,perm,p2,2035,22.43897903
C-EEU-BGR,rur,mfh,perm,p2,2040,21.87034993
C-EEU-BGR,rur,mfh,perm,p2,2045,21.43294293
C-EEU-BGR,rur,mfh,perm,p2,2050,21.25798013
C-EEU-BGR,rur,mfh,perm,p2,2055,21.25798013
C-EEU-BGR,rur,mfh,perm,p2,2060,21.25798013
C-EEU-BGR,rur,mfh,perm,p2,2070,21.25798013
C-EEU-BGR,rur,mfh,perm,p2,2080,21.25798013
C-EEU-BGR,rur,mfh,perm,p2,2090,21.25798013
C-EEU-BGR,rur,mfh,perm,p2,2100,21.25798013
C-EEU-BGR,rur,mfh,perm,p3,2015,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2020,23.61997792
C-EEU-BGR,rur,mfh,perm,p3,2025,23.44501512
C-EEU-BGR,rur,mfh,perm,p3,2030,23.00760813
C-EEU-BGR,rur,mfh,perm,p3,2035,22.43897903
C-EEU-BGR,rur,mfh,perm,p3,2040,21.87034993
C-EEU-BGR,rur,mfh,perm,p3,2045,21.43294293
C-EEU-BGR,rur,mfh,perm,p3,2050,21.25798013
C-EEU-BGR,rur,mfh,perm,p3,2055,21.25798013
C-EEU-BGR,rur,mfh,perm,p3,2060,21.25798013
C-EEU-BGR,rur,mfh,perm,p3,2070,21.25798013
C-EEU-BGR,rur,mfh,perm,p3,2080,21.25798013
C-EEU-BGR,rur,mfh,perm,p3,2090,21.25798013
C-EEU-BGR,rur,mfh,perm,p3,2100,21.25798013
C-EEU-BGR,rur,mfh,perm,p5,2015,23.61997792
C-EEU-BGR,rur,mfh,perm,p5,2020,55.39140196
C-EEU-BGR,rur,mfh,perm,p5,2025,55.80725079
C-EEU-BGR,rur,mfh,perm,p5,2030,55.67164688
