region_bld,fuel_heat,value
C-WEU-AUT,biomass_solid,0.347300126
C-WEU-AUT,district_heat,0.092524376
C-WEU-AUT,electricity,0.094857732
C-WEU-AUT,gas,0.213357478
C-WEU-AUT,oil,0.251960288
C-WEU-BEL,biomass_solid,0.026816871
C-WEU-BEL,district_heat,0
C-WEU-BEL,electricity,0.205019867
C-WEU-BEL,gas,0.271049613
C-WEU-BEL,oil,0.497113649
C-EEU-BGR,biomass_solid,0.512043664
C-EEU-BGR,district_heat,0.343411419
C-EEU-BGR,electricity,0.090824038
C-EEU-BGR,gas,0.045857092
C-EEU-BGR,oil,0.007863787
C-WEU-CYP,biomass_solid,0.091749482
C-WEU-CYP,district_heat,0
C-WEU-CYP,electricity,0.278753462
C-WEU-CYP,gas,0
C-WEU-CYP,oil,0.629497056
C-EEU-CZE,biomass_solid,0.275471783
C-EEU-CZE,district_heat,0.181236243
C-EEU-CZE,electricity,0.172057649
C-EEU-CZE,gas,0.371234324
C-EEU-CZE,oil,0
C-WEU-DEU,biomass_solid,0.125747097
C-WEU-DEU,district_heat,0.236378435
C-WEU-DEU,electricity,0.046017154
C-WEU-DEU,gas,0.526584274
C-WEU-DEU,oil,0.06527304
C-WEU-DNK,biomass_solid,0.484966341
C-WEU-DNK,district_heat,0.241999039
C-WEU-DNK,electricity,0.048438365
C-WEU-DNK,gas,0.110515651
C-WEU-DNK,oil,0.114080603
C-EEU-EST,biomass_solid,0.50364783
C-EEU-EST,district_heat,0.44617618
C-EEU-EST,electricity,0
C-EEU-EST,gas,0.045993921
C-EEU-EST,oil,0.004182068
C-WEU-GRC,biomass_solid,0
C-WEU-GRC,district_heat,0
C-WEU-GRC,electricity,0.237341443
C-WEU-GRC,gas,0.280069463
C-WEU-GRC,oil,0.482589095
C-WEU-ESP,biomass_solid,0.05350815
C-WEU-ESP,district_heat,0
C-WEU-ESP,electricity,0.106136982
C-WEU-ESP,gas,0
C-WEU-ESP,oil,0.840354867
C-WEU-FIN,biomass_solid,0.109559174
C-WEU-FIN,district_heat,0.377970795
C-WEU-FIN,electricity,0.451754461
C-WEU-FIN,gas,0
C-WEU-FIN,oil,0.06071557
C-WEU-FRA,biomass_solid,0.248560438
C-WEU-FRA,district_heat,0.051893319
C-WEU-FRA,electricity,0.243728281
C-WEU-FRA,gas,0.227528285
C-WEU-FRA,oil,0.228289676
C-EEU-HUN,biomass_solid,0
C-EEU-HUN,district_heat,0
C-EEU-HUN,electricity,0.018856524
C-EEU-HUN,gas,0.981143476
C-EEU-HUN,oil,0
C-WEU-IRL,biomass_solid,0.038191028
C-WEU-IRL,district_heat,0
C-WEU-IRL,electricity,0.165931522
C-WEU-IRL,gas,0.129905337
C-WEU-IRL,oil,0.665972113
C-WEU-ITA,biomass_solid,0.0845857
C-WEU-ITA,district_heat,0.000783512
C-WEU-ITA,electricity,0.004131941
C-WEU-ITA,gas,0.910498847
C-WEU-ITA,oil,0
C-EEU-LTU,biomass_solid,0.324268968
C-EEU-LTU,district_heat,0.506049649
C-EEU-LTU,electricity,0.039216734
C-EEU-LTU,gas,0.130464649
C-EEU-LTU,oil,0
C-WEU-LUX,biomass_solid,0.038315442
C-WEU-LUX,district_heat,0
C-WEU-LUX,electricity,0.083860446
C-WEU-LUX,gas,0.555123865
C-WEU-LUX,oil,0.322700248
C-EEU-LVA,biomass_solid,0.003610753
C-EEU-LVA,district_heat,0.833676991
C-EEU-LVA,electricity,0.005037323
C-EEU-LVA,gas,0.119607546
C-EEU-LVA,oil,0.038067387
C-WEU-NLD,biomass_solid,0.039490538
C-WEU-NLD,district_heat,0.049991657
C-WEU-NLD,electricity,0.035407543
C-WEU-NLD,gas,0.875110262
C-WEU-NLD,oil,0
C-EEU-POL,biomass_solid,0.313378912
C-EEU-POL,district_heat,0.439258538
C-EEU-POL,electricity,0.007020526
C-EEU-POL,gas,0.240342024
C-EEU-POL,oil,0
C-WEU-PRT,biomass_solid,0.920004917
C-WEU-PRT,district_heat,0
C-WEU-PRT,electricity,0.024067152
C-WEU-PRT,gas,0.047800549
C-WEU-PRT,oil,0.008127382
C-EEU-ROU,biomass_solid,0.158604725
C-EEU-ROU,district_heat,0
C-EEU-ROU,electricity,0.090594351
C-EEU-ROU,gas,0.724668319
C-EEU-ROU,oil,0.026132606
C-WEU-SWE,biomass_solid,0
C-WEU-SWE,district_heat,0.105338561
C-WEU-SWE,electricity,0.894567509
C-WEU-SWE,gas,9.39E-05
C-WEU-SWE,oil,0
C-EEU-SVN,biomass_solid,0.311472724
C-EEU-SVN,district_heat,0.238353167
C-EEU-SVN,electricity,0.154967677
C-EEU-SVN,gas,0.295206432
C-EEU-SVN,oil,0
C-EEU-SVK,biomass_solid,0
C-EEU-SVK,district_heat,0.159459556
C-EEU-SVK,electricity,0.356224359
C-EEU-SVK,gas,0.484316085
C-EEU-SVK,oil,0
C-WEU-GBR,biomass_solid,0.056760537
C-WEU-GBR,district_heat,0.00011006
C-WEU-GBR,electricity,0.179188771
C-WEU-GBR,gas,0.692119716
C-WEU-GBR,oil,0.071820916
