region_bld,ssp,scenario,urt,arch,mat,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
C-EEU-BGR,SSP3,nsp,rur,mfh,perm,19.16922803,19.91311963,20.65106765,21.38109457,22.10121291,22.80947179,23.5039976,24.18302852,24.84494293,25.48828168,26.11176461,26.71430128,27.29499656,27.85315142,28.38825953,28.90000023,29.38822852,29.85296276
C-EEU-BGR,SSP3,nsp,rur,sfh,perm,32.04626374,33.28986868,34.52353739,35.74396396,36.9478258,38.13186153,39.29293892,40.42811266,41.53467175,42.6101769,43.65248796,44.65978199,45.63056255,46.56366105,47.45823102,48.31373638,49.12993475,49.90685681
C-EEU-BGR,SSP3,nsp,urb,mfh,perm,18.02549396,18.72500119,19.41891946,20.10538925,20.78254164,21.44854218,22.10162903,22.74014551,23.36256671,23.96752059,24.55380335,25.1203896,25.66643763,26.19129012,26.69447095,27.17567858,27.63477668,28.07178251
C-EEU-BGR,SSP3,nsp,urb,sfh,perm,31.48860529,32.71056943,33.92277024,35.12195936,36.30487199,37.46830352,38.60917623,39.72459605,40.81189916,41.86868873,42.89286184,43.88262727,44.83651463,45.75337566,46.63237862,47.47299676,48.27499192,49.03839424
C-EEU-CZE,SSP3,nsp,rur,mfh,perm,24.39349966,24.93351258,25.46955018,26.00011994,26.52374179,27.03896828,27.54442886,28.03884128,28.52103076,28.98992442,29.44461041,29.88428289,30.30828431,30.71611497,31.10738524,31.48186546,31.83942134,32.18007186
C-EEU-CZE,SSP3,nsp,rur,sfh,perm,40.77996895,41.68273856,42.5788624,43.46584536,44.34121309,45.20254586,46.0475524,46.87408911,47.68019206,48.46406764,49.22419149,49.95921641,50.66804314,51.34983633,52.00394458,52.62998397,53.22773001,53.79721441
C-EEU-CZE,SSP3,nsp,urb,mfh,perm,22.93805886,23.44585185,23.94990671,24.44881997,24.94119986,25.42568531,25.90098753,26.36590078,26.81932037,27.26023743,27.68779454,28.10123392,28.49993724,28.88343465,29.25135973,29.60349655,29.93971882,30.26004439
C-EEU-CZE,SSP3,nsp,urb,sfh,perm,40.07032945,40.95738936,41.83791916,42.70946714,43.56960201,44.41594615,45.24624817,46.05840176,46.85047717,47.62071201,48.36760843,49.0898427,49.78633466,50.4562635,51.09898918,51.71413444,52.3014787,52.86105312
C-EEU-EST,SSP3,nsp,rur,mfh,perm,19.02845945,19.74419101,20.45584113,21.16118749,21.85807227,22.54439054,23.21817335,23.87756652,24.52088061,25.14660063,25.75339532,26.34014221,26.90591247,27.44997162,27.97178006,28.47099353,28.94743957,29.40110182
C-EEU-EST,SSP3,nsp,rur,sfh,perm,31.81093308,33.00746131,34.19716637,35.37633308,36.54135408,37.68871049,38.81511065,39.91745485,40.99291877,42.03896969,43.0533821,44.03427948,44.98010907,45.88964298,46.76197914,47.59654205,48.39304337,49.15145576
