region_bld,mat,year,value
C-EEU-BGR,perm,2020,0.014
C-EEU-CZE,perm,2020,0.017
C-EEU-EST,perm,2020,0.008
C-EEU-HUN,perm,2020,0.01
C-EEU-LTU,perm,2020,0.009
C-EEU-LVA,perm,2020,0.009
C-EEU-POL,perm,2020,0.015
C-EEU-ROU,perm,2020,0.014
C-EEU-SVK,perm,2020,0.011
C-EEU-SVN,perm,2020,0.014
C-WEU-AUT,perm,2020,0.019
C-WEU-BEL,perm,2020,0.012
C-WEU-CHE,perm,2020,0.012
C-WEU-CYP,perm,2020,0.024
C-WEU-DEU,perm,2020,0.01
C-WEU-DNK,perm,2020,0.006
C-WEU-ESP,perm,2020,0.02
C-WEU-FIN,perm,2020,0.003
C-WEU-FRA,perm,2020,0.012
C-WEU-GBR,perm,2020,0.012
C-WEU-GRC,perm,2020,0.013
C-WEU-IRL,perm,2020,0.007
C-WEU-ISL,perm,2020,0.012
C-WEU-ITA,perm,2020,0.018
C-WEU-LUX,perm,2020,0.005
C-WEU-MLT,perm,2020,0.007
C-WEU-NLD,perm,2020,0.009
C-WEU-NOR,perm,2020,0.012
C-WEU-PRT,perm,2020,0.014
C-WEU-SWE,perm,2020,0.008
