region_bld,mat,value
C-EEU-BGR,perm,0.042
C-EEU-CZE,perm,0.051
C-EEU-EST,perm,0.024
C-EEU-HUN,perm,0.03
C-EEU-LTU,perm,0.027
C-EEU-LVA,perm,0.027
C-EEU-POL,perm,0.045
C-EEU-ROU,perm,0.042
C-EEU-SVK,perm,0.033
C-EEU-SVN,perm,0.042
C-WEU-AUT,perm,0.057
C-WEU-BEL,perm,0.036
C-WEU-CHE,perm,0.036
C-WEU-CYP,perm,0.072
C-WEU-DEU,perm,0.03
C-WEU-DNK,perm,0.018
C-WEU-ESP,perm,0.06
C-WEU-FIN,perm,0.009
C-WEU-FRA,perm,0.036
C-WEU-GBR,perm,0.036
C-WEU-GRC,perm,0.039
C-WEU-IRL,perm,0.021
C-WEU-ISL,perm,0.036
C-WEU-ITA,perm,0.054
C-WEU-LUX,perm,0.015
C-WEU-MLT,perm,0.021
C-WEU-NLD,perm,0.027
C-WEU-NOR,perm,0.036
C-WEU-PRT,perm,0.042
C-WEU-SWE,perm,0.024
