region_bld,ssp,scenario,urt,arch,mat,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
C-EEU-BGR,SSP1,FLRD,rur,mfh,perm,19.37370441,21.3614404,23.11147859,24.44246991,25.41369893,26.14340762,26.79929668,27.58525581,28.43523425,29.14512159,29.73200854,30.21346333,30.60622761,30.92546698,31.1844358,31.39441896,31.5648398,31.7034534
C-EEU-BGR,SSP1,FLRD,rur,sfh,perm,32.38809828,35.71110699,38.63674309,40.86183524,42.48549277,43.70538734,44.80187352,46.11580507,47.53676127,48.72351939,49.70465092,50.50952565,51.16613151,51.69982171,52.13275427,52.48379479,52.76869678,53.00042484
C-EEU-BGR,SSP1,FLRD,urb,mfh,perm,18.21777024,20.08690774,21.73252972,22.98410729,23.89738783,24.58355837,25.20031374,25.93937853,26.73864292,27.40617475,27.95804503,28.41077377,28.78010372,29.08029564,29.32381306,29.52126755,29.68152021,29.81186342
C-EEU-BGR,SSP1,FLRD,urb,sfh,perm,31.82449133,35.08967415,37.96439929,40.15077113,41.74617431,42.94484068,44.02224618,45.31331312,46.70954232,47.87564886,48.83970706,49.63057563,50.27575545,50.80015856,51.22555737,51.5704892,51.85043341,52.07812902
C-EEU-CZE,SSP1,FLRD,rur,mfh,perm,24.6568787,26.0421046,27.15225392,27.83293257,28.19690893,28.39408017,28.60534267,29.03420472,29.59369123,30.06066468,30.4467413,30.76368851,31.02258461,31.23340775,31.40484766,31.54427472,31.65783787,31.75057699
C-EEU-CZE,SSP1,FLRD,rur,sfh,perm,41.22027433,43.53603345,45.39193176,46.52986008,47.13833959,47.4679617,47.82114096,48.53809349,49.47341818,50.25408364,50.89950939,51.42936766,51.86217864,52.21462341,52.50122903,52.734317,52.92416682,53.07920397
C-EEU-CZE,SSP1,FLRD,urb,mfh,perm,23.18572336,24.48829961,25.53221175,26.17227763,26.5145373,26.6999443,26.8986018,27.30187575,27.82798044,28.26709186,28.63013318,28.9281697,29.17161874,29.36986309,29.53107402,29.66218215,29.76896954,29.85617537
C-EEU-CZE,SSP1,FLRD,urb,sfh,perm,40.50297278,42.77843383,44.60203641,45.72016288,46.31805383,46.64193997,46.98897332,47.69344968,48.61249816,49.37957874,50.01377301,50.53441085,50.95969021,51.30600184,51.58762005,51.8166519,52.00319802,52.15553726
C-EEU-EST,SSP1,FLRD,rur,mfh,perm,19.18429825,21.11155071,22.82441491,24.13967443,25.11150223,25.85269894,26.52598348,27.33127935,28.20214685,28.93521953,29.54642652,30.05246521,30.4694373,30.81206557,31.09332565,31.32432028,31.5143811,31.67122825
C-EEU-EST,SSP1,FLRD,rur,sfh,perm,32.07145747,35.29335252,38.15684278,40.35563521,41.98029375,43.21939347,44.34496066,45.69121851,47.14709612,48.37261444,49.39440313,50.24037614,50.93745155,51.51024227,51.98044038,52.36660694,52.68434218,52.94655226
C-EEU-EST,SSP1,FLRD,urb,mfh,perm,18.03966501,19.85192775,21.46259372,22.69937814,23.61322173,24.31019485,24.9433078,25.70055561,26.51946271,27.20879652,27.78353578,28.25938162,28.65147502,28.97366034,29.23813901,29.45535132,29.63407214,29.78156098
C-EEU-EST,SSP1,FLRD,urb,sfh,perm,31.5133606,34.6791893,37.49285005,39.65337983,41.2497666,42.46730392,43.57328436,44.89611508,46.32665798,47.53085025,48.53485811,49.36610978,50.05105491,50.61387812,51.075894,51.45534061,51.76754672,52.02519392
C-EEU-HUN,SSP1,FLRD,rur,mfh,perm,25.01030561,26.18522897,27.14005738,27.71510797,28.01711172,28.18756025,28.39834019,28.84489048,29.43589643,29.94522708,30.38043193,30.7498784,31.06194305,31.32458532,31.54504149,31.72974396,31.88429927,32.01352972
C-EEU-HUN,SSP1,FLRD,rur,sfh,perm,41.81111773,43.77530242,45.37154212,46.33288615,46.83776261,47.12271089,47.47508342,48.22160636,49.20962385,50.06110019,50.78865633,51.40628053,51.92797634,52.36705002,52.73559885,53.04437624,53.30275493,53.51879665
C-EEU-HUN,SSP1,FLRD,urb,mfh,perm,23.51806301,24.62288445,25.52074291,26.06148305,26.34546772,26.50574642,26.70395014,27.12385697,27.67960048,28.15854186,28.56778017,28.91518358,29.20862885,29.45560054,29.66290317,29.83658535,29.9819191,30.103439
C-EEU-HUN,SSP1,FLRD,urb,sfh,perm,41.08353453,43.01353912,44.58200159,45.52661662,46.02270739,46.3026971,46.64893776,47.38246996,48.35329429,49.18995352,49.90484898,50.51172548,51.02434292,51.45577598,51.81791145,52.12131559,52.37519807,52.5874803
C-EEU-LTU,SSP1,FLRD,rur,mfh,perm,19.0565669,20.98593283,22.70115002,24.01951463,24.9946385,25.73879791,26.41417605,27.22012607,28.09074723,28.8236519,29.43481548,29.940965,30.35821866,30.70130599,30.98320224,31.21500501,31.4060376,31.56400982
C-EEU-LTU,SSP1,FLRD,rur,sfh,perm,31.85792187,35.08335013,37.95077402,40.1547574,41.78492616,43.0289788,44.15804597,45.50539741,46.96086318,48.18610063,49.20781677,50.05397504,50.75152117,51.32507932,51.79634095,52.18385853,52.50321832,52.76730927
C-EEU-LTU,SSP1,FLRD,urb,mfh,perm,17.91955477,19.73380488,21.34668345,22.58638769,23.50333069,24.20308975,24.83817138,25.5960343,26.41470975,27.10388558,27.67858403,28.15453408,28.54689226,28.86950924,29.13458612,29.35255835,29.53219296,29.68073976
C-EEU-LTU,SSP1,FLRD,urb,sfh,perm,31.30354088,34.4728413,37.29036723,39.45599762,41.05779873,42.28020278,43.3896223,44.71352757,46.14366581,47.34758209,48.35151866,49.18295236,49.86836003,50.43193731,50.8949982,51.27577232,51.58957472,51.84907005
C-EEU-LVA,SSP1,FLRD,rur,mfh,perm,19.09424259,21.02453282,22.74165728,24.06244614,25.04034596,25.78753467,26.46623656,27.27601323,28.15071461,28.88741366,29.50201158,30.01119402,30.43106292,30.77634953,31.06004305,31.29326262,31.48535745,31.64406524
