region_bld,value
C-EEU-BGR,0.89
C-EEU-CZE,0.89
C-EEU-EST,1
C-EEU-HUN,0.64
C-EEU-LTU,1
C-EEU-LVA,1
C-EEU-POL,0.69
C-EEU-ROU,0.64
C-EEU-SVK,0.67
C-EEU-SVN,0.91
C-WEU-BEL,0.58
C-WEU-CYP,0.94
C-WEU-DEU,1
C-WEU-DNK,1
C-WEU-ESP,1
C-WEU-FIN,1
C-WEU-FRA,0.65
C-WEU-GRC,0.82
C-WEU-IRL,1
C-WEU-ITA,1
C-WEU-LUX,0.65
C-WEU-NLD,0.94
C-WEU-PRT,1
C-WEU-SWE,1
C-WEU-MLT,1
C-WEU-AUT,1
C-WEU-GBR,1
C-WEU-HRV,1
