region_gea,bld_age_min,year,value
WEU,20,2020,0.05
WEU,20,2025,0.05
WEU,20,2030,0.05
WEU,20,2035,0.05
WEU,20,2040,0.05
WEU,20,2045,0.05
WEU,20,2050,0.05
WEU,20,2055,0.05
WEU,20,2060,0.05
WEU,20,2065,0.05
WEU,20,2070,0.05
WEU,20,2075,0.05
WEU,20,2080,0.05
WEU,20,2085,0.05
WEU,20,2090,0.05
WEU,20,2095,0.05
WEU,20,2100,0.05
EEU,20,2020,0.05
EEU,20,2025,0.05
EEU,20,2030,0.05
EEU,20,2035,0.05
EEU,20,2040,0.05
EEU,20,2045,0.05
EEU,20,2050,0.05
EEU,20,2055,0.05
EEU,20,2060,0.05
EEU,20,2065,0.05
EEU,20,2070,0.05
EEU,20,2075,0.05
EEU,20,2080,0.05
EEU,20,2085,0.05
EEU,20,2090,0.05
EEU,20,2095,0.05
EEU,20,2100,0.05
NAM,20,2020,0.05
NAM,20,2025,0.05
NAM,20,2030,0.05
NAM,20,2035,0.05
NAM,20,2040,0.05
NAM,20,2045,0.05
NAM,20,2050,0.05
NAM,20,2055,0.05
NAM,20,2060,0.05
NAM,20,2065,0.05
NAM,20,2070,0.05
NAM,20,2075,0.05
NAM,20,2080,0.05
NAM,20,2085,0.05
NAM,20,2090,0.05
NAM,20,2095,0.05
NAM,20,2100,0.05
PAO,20,2020,0.05
PAO,20,2025,0.05
PAO,20,2030,0.05
PAO,20,2035,0.05
PAO,20,2040,0.05
PAO,20,2045,0.05
PAO,20,2050,0.05
PAO,20,2055,0.05
PAO,20,2060,0.05
PAO,20,2065,0.05
PAO,20,2070,0.05
PAO,20,2075,0.05
PAO,20,2080,0.05
PAO,20,2085,0.05
PAO,20,2090,0.05
PAO,20,2095,0.05
PAO,20,2100,0.05
FSU,20,2020,0.05
FSU,20,2025,0.05
FSU,20,2030,0.05
FSU,20,2035,0.05
FSU,20,2040,0.05
FSU,20,2045,0.05
FSU,20,2050,0.05
FSU,20,2055,0.05
FSU,20,2060,0.05
FSU,20,2065,0.05
FSU,20,2070,0.05
FSU,20,2075,0.05
FSU,20,2080,0.05
FSU,20,2085,0.05
FSU,20,2090,0.05
FSU,20,2095,0.05
FSU,20,2100,0.05
AFR,20,2020,0.05
AFR,20,2025,0.05
AFR,20,2030,0.05
AFR,20,2035,0.05
AFR,20,2040,0.05
AFR,20,2045,0.05
AFR,20,2050,0.05
AFR,20,2055,0.05
AFR,20,2060,0.05
AFR,20,2065,0.05
AFR,20,2070,0.05
AFR,20,2075,0.05
AFR,20,2080,0.05
AFR,20,2085,0.05
AFR,20,2090,0.05
AFR,20,2095,0.05
AFR,20,2100,0.05
SAS,20,2020,0.05
SAS,20,2025,0.05
SAS,20,2030,0.05
SAS,20,2035,0.05
SAS,20,2040,0.05
SAS,20,2045,0.05
SAS,20,2050,0.05
SAS,20,2055,0.05
SAS,20,2060,0.05
SAS,20,2065,0.05
SAS,20,2070,0.05
SAS,20,2075,0.05
SAS,20,2080,0.05
SAS,20,2085,0.05
SAS,20,2090,0.05
SAS,20,2095,0.05
SAS,20,2100,0.05
PAS,20,2020,0.05
PAS,20,2025,0.05
PAS,20,2030,0.05
PAS,20,2035,0.05
PAS,20,2040,0.05
PAS,20,2045,0.05
PAS,20,2050,0.05
PAS,20,2055,0.05
PAS,20,2060,0.05
PAS,20,2065,0.05
PAS,20,2070,0.05
PAS,20,2075,0.05
PAS,20,2080,0.05
PAS,20,2085,0.05
PAS,20,2090,0.05
PAS,20,2095,0.05
PAS,20,2100,0.05
LAC,20,2020,0.05
LAC,20,2025,0.05
LAC,20,2030,0.05
LAC,20,2035,0.05
LAC,20,2040,0.05
LAC,20,2045,0.05
LAC,20,2050,0.05
LAC,20,2055,0.05
LAC,20,2060,0.05
LAC,20,2065,0.05
LAC,20,2070,0.05
LAC,20,2075,0.05
LAC,20,2080,0.05
LAC,20,2085,0.05
LAC,20,2090,0.05
LAC,20,2095,0.05
LAC,20,2100,0.05
MEA,20,2020,0.05
MEA,20,2025,0.05
MEA,20,2030,0.05
MEA,20,2035,0.05
MEA,20,2040,0.05
MEA,20,2045,0.05
MEA,20,2050,0.05
MEA,20,2055,0.05
MEA,20,2060,0.05
MEA,20,2065,0.05
MEA,20,2070,0.05
MEA,20,2075,0.05
MEA,20,2080,0.05
MEA,20,2085,0.05
MEA,20,2090,0.05
MEA,20,2095,0.05
MEA,20,2100,0.05
CPA,20,2020,0.05
CPA,20,2025,0.05
CPA,20,2030,0.05
CPA,20,2035,0.05
CPA,20,2040,0.05
CPA,20,2045,0.05
CPA,20,2050,0.05
CPA,20,2055,0.05
CPA,20,2060,0.05
CPA,20,2065,0.05
CPA,20,2070,0.05
CPA,20,2075,0.05
CPA,20,2080,0.05
CPA,20,2085,0.05
CPA,20,2090,0.05
CPA,20,2095,0.05
CPA,20,2100,0.05
