ssp,scenario,region_gea,eneff,mat,eneff_f,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP1,BLDC_R,AFR,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,AFR,s1,perm,sr11_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,AFR,s1,perm,sr12_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,AFR,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,AFR,s2,perm,sr21_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,AFR,s2,perm,sr22_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,AFR,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,AFR,s3,perm,sr31_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,AFR,s3,perm,sr32_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,CPA,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,CPA,s1,perm,sr11_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,CPA,s1,perm,sr12_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,CPA,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,CPA,s2,perm,sr21_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
