region_bld,fuel_heat_f,value
C-WEU-AUT,biomass_solid,0.291251483
C-WEU-AUT,coal,0.003718682
C-WEU-AUT,district_heat,0.201235515
C-WEU-AUT,electricity,0.050061566
C-WEU-AUT,gas,0.215154856
C-WEU-AUT,heat_pump,0.060765956
C-WEU-AUT,oil,0.177811941
C-WEU-BEL,biomass_solid,0.071334945
C-WEU-BEL,coal,0.012049537
C-WEU-BEL,district_heat,0.000221972
C-WEU-BEL,electricity,0.014987031
C-WEU-BEL,gas,0.457794537
C-WEU-BEL,heat_pump,0.061176415
C-WEU-BEL,oil,0.382435563
C-EEU-BGR,biomass_solid,0.491417096
C-EEU-BGR,coal,0.077439204
C-EEU-BGR,district_heat,0.278784852
C-EEU-BGR,electricity,0.083123181
C-EEU-BGR,gas,0.027856385
C-EEU-BGR,heat_pump,0.036380678
C-EEU-BGR,oil,0.004998605
C-WEU-CYP,biomass_solid,0.046051356
C-WEU-CYP,coal,0
C-WEU-CYP,district_heat,0
C-WEU-CYP,electricity,0.069060329
C-WEU-CYP,gas,0
C-WEU-CYP,heat_pump,0.218312959
C-WEU-CYP,oil,0.666575356
C-EEU-CZE,biomass_solid,0.302444525
C-EEU-CZE,coal,0.132061217
C-EEU-CZE,district_heat,0.226694341
C-EEU-CZE,electricity,0.037521089
C-EEU-CZE,gas,0.277243176
C-EEU-CZE,heat_pump,0.024035652
C-EEU-CZE,oil,0
C-WEU-DEU,biomass_solid,0.108111938
C-WEU-DEU,coal,0.010979395
C-WEU-DEU,district_heat,0.126237185
C-WEU-DEU,electricity,0.043470906
C-WEU-DEU,gas,0.432629447
C-WEU-DEU,heat_pump,0.022931429
C-WEU-DEU,oil,0.255639699
C-WEU-DNK,biomass_solid,0.216559768
C-WEU-DNK,coal,0
C-WEU-DNK,district_heat,0.537840525
C-WEU-DNK,electricity,0.007743973
C-WEU-DNK,gas,0.147746111
C-WEU-DNK,heat_pump,0.038698853
C-WEU-DNK,oil,0.05141077
C-EEU-EST,biomass_solid,0.390379372
C-EEU-EST,coal,0.005772312
C-EEU-EST,district_heat,0.463532045
C-EEU-EST,electricity,0.013616234
C-EEU-EST,gas,0.058868038
C-EEU-EST,heat_pump,0.062767452
C-EEU-EST,oil,0.005064547
C-WEU-GRC,biomass_solid,0.285897561
C-WEU-GRC,coal,0
C-WEU-GRC,district_heat,0.022709411
C-WEU-GRC,electricity,0.019665041
C-WEU-GRC,gas,0.11018914
C-WEU-GRC,heat_pump,0.057263104
C-WEU-GRC,oil,0.504275743
C-WEU-ESP,biomass_solid,0.258472957
C-WEU-ESP,coal,0.009190208
C-WEU-ESP,district_heat,0
C-WEU-ESP,electricity,0.124513447
C-WEU-ESP,gas,0.258249343
C-WEU-ESP,heat_pump,0.089656388
C-WEU-ESP,oil,0.259917658
C-WEU-FIN,biomass_solid,0.190231724
C-WEU-FIN,coal,0.000602429
C-WEU-FIN,district_heat,0.392309949
C-WEU-FIN,electricity,0.075494012
C-WEU-FIN,gas,0.004577221
C-WEU-FIN,heat_pump,0.258368091
C-WEU-FIN,oil,0.078416574
C-WEU-FRA,biomass_solid,0.231615753
C-WEU-FRA,coal,0.000817607
C-WEU-FRA,district_heat,0.065760204
C-WEU-FRA,electricity,0.086757929
C-WEU-FRA,gas,0.333208733
C-WEU-FRA,heat_pump,0.066811287
C-WEU-FRA,oil,0.215028486
C-WEU-HRV,biomass_solid,0.605451867
C-WEU-HRV,coal,0.001664397
C-WEU-HRV,district_heat,0.089010405
C-WEU-HRV,electricity,0.005835613
C-WEU-HRV,gas,0.222014948
C-WEU-HRV,heat_pump,0.018159173
C-WEU-HRV,oil,0.057863596
C-EEU-HUN,biomass_solid,0.355299854
C-EEU-HUN,coal,0.015516624
C-EEU-HUN,district_heat,0.12411468
C-EEU-HUN,electricity,0.004010845
C-EEU-HUN,gas,0.49460304
C-EEU-HUN,heat_pump,0.002769248
C-EEU-HUN,oil,0.003685709
C-WEU-IRL,biomass_solid,0.014779524
C-WEU-IRL,coal,0.160988585
C-WEU-IRL,district_heat,0
C-WEU-IRL,electricity,0.0597739
C-WEU-IRL,gas,0.254659849
C-WEU-IRL,heat_pump,0.026893105
C-WEU-IRL,oil,0.482905037
C-WEU-ITA,biomass_solid,0.21895095
C-WEU-ITA,coal,0
C-WEU-ITA,district_heat,0.072670075
C-WEU-ITA,electricity,0.001413207
C-WEU-ITA,gas,0.617955108
C-WEU-ITA,heat_pump,0.029188062
C-WEU-ITA,oil,0.059822597
C-EEU-LTU,biomass_solid,0.362024955
C-EEU-LTU,coal,0.03745628
C-EEU-LTU,district_heat,0.482394831
C-EEU-LTU,electricity,0.012709928
C-EEU-LTU,gas,0.096044559
C-EEU-LTU,heat_pump,0.000817923
C-EEU-LTU,oil,0.008551525
C-WEU-LUX,biomass_solid,0.04053253
C-WEU-LUX,coal,0.00285433
C-WEU-LUX,district_heat,0
C-WEU-LUX,electricity,0.014324237
