ssp,scenario,mat,fuel_heat_i,fuel_heat_f,value
nsp,FUELSWT,perm,biomass_solid,biomass_solid,0
nsp,FUELSWT,perm,biomass_solid,coal,99999
nsp,FUELSWT,perm,biomass_solid,electricity,0
nsp,FUELSWT,perm,biomass_solid,gas,0
nsp,FUELSWT,perm,biomass_solid,oil,99999
nsp,FUELSWT,perm,coal,biomass_solid,99999
nsp,FUELSWT,perm,coal,coal,0
nsp,FUELSWT,perm,coal,electricity,0
nsp,FUELSWT,perm,coal,gas,0
nsp,FUELSWT,perm,coal,oil,99999
nsp,FUELSWT,perm,electricity,biomass_solid,99999
nsp,FUELSWT,perm,electricity,coal,99999
nsp,FUELSWT,perm,electricity,electricity,0
nsp,FUELSWT,perm,electricity,gas,0
nsp,FUELSWT,perm,electricity,oil,99999
nsp,FUELSWT,perm,gas,biomass_solid,99999
nsp,FUELSWT,perm,gas,coal,99999
nsp,FUELSWT,perm,gas,electricity,0
nsp,FUELSWT,perm,gas,gas,0
nsp,FUELSWT,perm,gas,oil,99999
nsp,FUELSWT,perm,oil,biomass_solid,99999
nsp,FUELSWT,perm,oil,coal,99999
nsp,FUELSWT,perm,oil,electricity,0
nsp,FUELSWT,perm,oil,gas,0
nsp,FUELSWT,perm,oil,oil,0
