ssp,scenario,mat,fuel_heat_i,fuel_heat_f,value
nsp,nsp,perm,biomass_solid,biomass_solid,0
nsp,nsp,perm,biomass_solid,coal,99999
nsp,nsp,perm,biomass_solid,electricity,0
nsp,nsp,perm,biomass_solid,gas,0
nsp,nsp,perm,biomass_solid,oil,2000
nsp,nsp,perm,coal,biomass_solid,99999
nsp,nsp,perm,coal,coal,0
nsp,nsp,perm,coal,electricity,0
nsp,nsp,perm,coal,gas,0
nsp,nsp,perm,coal,oil,2000
nsp,nsp,perm,electricity,biomass_solid,99999
nsp,nsp,perm,electricity,coal,99999
nsp,nsp,perm,electricity,electricity,0
nsp,nsp,perm,electricity,gas,0
nsp,nsp,perm,electricity,oil,99999
nsp,nsp,perm,gas,biomass_solid,99999
nsp,nsp,perm,gas,coal,99999
nsp,nsp,perm,gas,electricity,0
nsp,nsp,perm,gas,gas,0
nsp,nsp,perm,gas,oil,99999
nsp,nsp,perm,oil,biomass_solid,99999
nsp,nsp,perm,oil,coal,99999
nsp,nsp,perm,oil,electricity,0
nsp,nsp,perm,oil,gas,0
nsp,nsp,perm,oil,oil,0
