region_bld,ssp,scenario,urt,arch,mat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-EEU-BGR,SSP1,nsp,rur,mfh,perm,19.37370441,21.3614404,23.28395231,25.09302994,26.75126203,28.23488023,29.53391879,30.65028423,31.59470472,32.38346844,33.03556505,33.57051482,34.00691956,34.36162998,34.64937311,34.88268773,35.07204422,35.22605933
C-EEU-BGR,SSP1,nsp,rur,sfh,perm,32.38809828,35.71110699,38.92507699,41.9494126,44.72157134,47.20181832,49.37349327,51.23978341,52.81862364,54.13724377,55.22738991,56.12169517,56.85125723,57.44424635,57.92528252,58.31532755,58.63188531,58.88936094
C-EEU-BGR,SSP1,nsp,urb,mfh,perm,18.21777024,20.08690774,21.89471277,23.59585159,25.15514509,26.55024304,27.77177433,28.8215317,29.70960324,30.45130528,31.06449448,31.56752641,31.97789302,32.3114396,32.58201451,32.80140839,32.9794669,33.12429269
C-EEU-BGR,SSP1,nsp,urb,sfh,perm,31.82449133,35.08967415,38.24771571,41.21942283,43.94334138,46.38042793,48.51431211,50.34812569,51.89949146,53.1951654,54.26634118,55.14508404,55.8619505,56.44462062,56.91728596,57.30054356,57.61159268,57.8645878
C-EEU-CZE,SSP1,nsp,rur,mfh,perm,24.6568787,26.0421046,27.35488268,28.57373306,29.68095677,30.66560658,31.52425518,32.26022747,32.88187914,33.40073853,33.82971256,34.18187612,34.46953845,34.70378639,34.89427518,35.04919414,35.17537541,35.27841888
C-EEU-CZE,SSP1,nsp,rur,sfh,perm,41.22027433,43.53603345,45.73067752,47.76829742,49.61930483,51.26539864,52.70084922,53.93121499,54.97046464,55.83787071,56.55501043,57.14374184,57.62464294,58.01624823,58.33469892,58.59368556,58.8046298,58.9768933
C-EEU-CZE,SSP1,nsp,urb,mfh,perm,23.18572336,24.48829961,25.72275064,26.86887818,27.91003927,28.83593984,29.64335708,30.3354175,30.91997826,31.40787984,31.81125909,32.14241078,32.41290971,32.63318121,32.81230447,32.95798017,33.07663282,33.17352819
C-EEU-CZE,SSP1,nsp,urb,sfh,perm,40.50297278,42.77843383,44.93488743,46.93704935,48.75584614,50.37329517,51.78376652,52.99272187,54.01388685,54.8661986,55.5708589,56.14934539,56.62187801,57.00666872,57.31957783,57.57405767,57.78133113,57.95059696
C-EEU-EST,SSP1,nsp,rur,mfh,perm,19.18429825,21.11155071,22.99474636,24.78217527,26.43316025,27.92091485,29.23271649,30.36808817,31.33571873,32.15024392,32.8293628,33.39162801,33.85493033,34.23562841,34.54813962,34.80480032,35.015979,35.19025361
C-EEU-EST,SSP1,nsp,rur,sfh,perm,32.07145747,35.29335252,38.44159534,41.42973957,44.1897829,46.67694495,48.86995665,50.76802057,52.38566235,53.74734938,54.88267015,55.82264016,56.59716839,57.23360253,57.75604487,58.18511883,58.53815798,58.82950252
