ssp,scenario,mat,fuel_heat_i,fuel_heat_f,value
nsp,ELEC,perm,biomass_solid,biomass_solid,0
nsp,ELEC,perm,biomass_solid,coal,99999
nsp,ELEC,perm,biomass_solid,electricity,0
nsp,ELEC,perm,biomass_solid,gas,99999
nsp,ELEC,perm,biomass_solid,oil,99999
nsp,ELEC,perm,coal,biomass_solid,99999
nsp,ELEC,perm,coal,coal,0
nsp,ELEC,perm,coal,electricity,0
nsp,ELEC,perm,coal,gas,99999
nsp,ELEC,perm,coal,oil,99999
nsp,ELEC,perm,electricity,biomass_solid,99999
nsp,ELEC,perm,electricity,coal,99999
nsp,ELEC,perm,electricity,electricity,0
nsp,ELEC,perm,electricity,gas,99999
nsp,ELEC,perm,electricity,oil,99999
nsp,ELEC,perm,gas,biomass_solid,99999
nsp,ELEC,perm,gas,coal,99999
nsp,ELEC,perm,gas,electricity,0
nsp,ELEC,perm,gas,gas,0
nsp,ELEC,perm,gas,oil,99999
nsp,ELEC,perm,oil,biomass_solid,99999
nsp,ELEC,perm,oil,coal,99999
nsp,ELEC,perm,oil,electricity,0
nsp,ELEC,perm,oil,gas,99999
nsp,ELEC,perm,oil,oil,0
