region_bld,mat,value
C-EEU-BGR,perm,0
C-EEU-CZE,perm,0
C-EEU-EST,perm,0
C-EEU-HUN,perm,0
C-EEU-LTU,perm,0
C-EEU-LVA,perm,0
C-EEU-POL,perm,0
C-EEU-ROU,perm,0
C-EEU-SVK,perm,0
C-EEU-SVN,perm,0
C-WEU-AUT,perm,0
C-WEU-BEL,perm,0
C-WEU-CHE,perm,0
C-WEU-CYP,perm,0
C-WEU-DEU,perm,0
C-WEU-DNK,perm,0
C-WEU-ESP,perm,0
C-WEU-FIN,perm,0
C-WEU-FRA,perm,0
C-WEU-GBR,perm,0
C-WEU-GRC,perm,0
C-WEU-IRL,perm,0
C-WEU-ISL,perm,0
C-WEU-ITA,perm,0
C-WEU-LUX,perm,0
C-WEU-MLT,perm,0
C-WEU-NLD,perm,0
C-WEU-NOR,perm,0
C-WEU-PRT,perm,0
C-WEU-SWE,perm,0
