region_bld,urt,arch,mat,bld_age,year,value
C-EEU-BGR,rur,sfh,perm,p3,2025,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2030,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2035,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2040,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2045,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2050,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2055,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2060,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2070,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2080,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2090,39.48682968
C-EEU-BGR,rur,sfh,perm,p3,2100,39.48682968
C-EEU-BGR,rur,sfh,perm,p5,2015,39.48682968
C-EEU-BGR,rur,sfh,perm,p5,2020,92.60088481
C-EEU-BGR,rur,sfh,perm,p5,2025,93.99232183
C-EEU-BGR,rur,sfh,perm,p5,2030,95.54651775
C-EEU-BGR,rur,sfh,perm,p5,2035,97.18825616
C-EEU-BGR,rur,sfh,perm,p5,2040,98.65902194
C-EEU-BGR,rur,sfh,perm,p5,2045,99.92607242
C-EEU-BGR,rur,sfh,perm,p5,2050,101.0875685
C-EEU-BGR,rur,sfh,perm,p5,2055,102.2604593
C-EEU-BGR,rur,sfh,perm,p5,2060,103.5255545
C-EEU-BGR,rur,sfh,perm,p5,2070,106.5915673
C-EEU-BGR,rur,sfh,perm,p5,2080,110.1508452
C-EEU-BGR,rur,sfh,perm,p5,2090,113.5624036
C-EEU-BGR,rur,sfh,perm,p5,2100,116.8617635
C-EEU-BGR,urb,mfh,perm,p1,2015,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2020,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2025,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2030,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2035,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2040,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2045,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2050,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2055,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2060,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2070,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2080,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2090,18.78262378
C-EEU-BGR,urb,mfh,perm,p1,2100,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2015,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2020,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2025,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2030,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2035,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2040,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2045,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2050,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2055,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2060,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2070,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2080,18.78262378
C-EEU-BGR,urb,mfh,perm,p2,2090,18.78262378
