region_bld,ssp,scenario,urt,arch,mat,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
C-EEU-BGR,SSP2,FLRD,rur,mfh,perm,19.23461899,20.74876032,22.08415956,23.10071309,23.87422688,24.51804951,25.18043556,26.04009162,27.02259963,27.92060946,28.73471974,29.46746472,30.12283932,30.7058501,31.22211936,31.67755637,32.07809903,32.4295221
C-EEU-BGR,SSP2,FLRD,rur,sfh,perm,32.15558145,34.68685565,36.91931677,38.61874579,39.91187178,40.98818585,42.09553344,43.53266823,45.17518148,46.67643441,48.03742781,49.26239831,50.35802445,51.33267596,52.19575197,52.95713134,53.62674077,54.21423423
C-EEU-BGR,SSP2,FLRD,urb,mfh,perm,18.08698336,19.51078329,20.76650578,21.72240654,22.44976854,23.05517742,23.67804215,24.48640673,25.4102933,26.25472327,27.02025957,27.70928524,28.32555685,28.87378222,29.35924822,29.78751154,30.16415578,30.49461115
C-EEU-BGR,SSP2,FLRD,urb,sfh,perm,31.59602068,34.08324649,36.27685906,37.94671519,39.21733863,40.27492303,41.36300092,42.77512717,44.38905795,45.86418657,47.20149642,48.40515039,49.48171081,50.43940176,51.28745881,52.0355889,52.69354601,53.2708161
C-EEU-CZE,SSP2,FLRD,rur,mfh,perm,24.48894429,25.61603207,26.53283916,27.09833055,27.42625285,27.65804719,27.96089246,28.5244391,29.25576458,29.92533713,30.53357411,31.08226489,31.57426071,32.01311287,32.40285871,32.74772155,33.05196943,33.31975865
C-EEU-CZE,SSP2,FLRD,rur,sfh,perm,40.93952905,42.82374431,44.35642168,45.30178507,45.849991,46.23749447,46.74377773,47.68588998,48.90848741,50.02784906,51.04467262,51.9619495,52.78444625,53.51809978,54.16965956,54.74618594,55.25481404,55.70249215
C-EEU-CZE,SSP2,FLRD,urb,mfh,perm,23.02780878,24.08764874,24.94975444,25.48150573,25.7898625,26.00782681,26.29260278,26.82252535,27.51021621,28.13983865,28.7117851,29.22773819,29.69037903,30.10304702,30.46953863,30.7938252,31.0799201,31.33173164
C-EEU-CZE,SSP2,FLRD,urb,sfh,perm,40.22711294,42.07853972,43.58454594,44.51345843,45.05212466,45.43288492,45.93035801,46.85607593,48.05739813,49.15728102,50.15641015,51.05772488,51.86590882,52.58679555,53.22701711,53.79351097,54.29328808,54.73317586
C-EEU-EST,SSP2,FLRD,rur,mfh,perm,19.10440617,20.5975865,21.91659198,22.92252803,23.69049469,24.33259592,24.99556931,25.8565239,26.84143714,27.7441549,28.56493974,29.30599303,29.97099534,30.56464397,31.09229517,31.55962381,31.97233975,32.33606109
C-EEU-EST,SSP2,FLRD,rur,sfh,perm,31.93789745,34.43412998,36.63918475,38.32086394,39.60471648,40.67815279,41.78648225,43.22578788,44.87232208,46.38144552,47.75359715,48.99245712,50.10417843,51.09661383,51.97871766,52.75997692,53.44993709,54.05799028
C-EEU-EST,SSP2,FLRD,urb,mfh,perm,17.96453971,19.36862927,20.60893615,21.55485291,22.27699876,22.88078895,23.50420596,24.3137916,25.23993989,26.08879689,26.86060952,27.55744778,28.18277266,28.74100118,29.23717001,29.67661543,30.06470663,30.4067265
C-EEU-EST,SSP2,FLRD,urb,sfh,perm,31.38212475,33.83491867,36.0016018,37.65401697,38.91552833,39.97028506,41.05932774,42.47358706,44.09146881,45.57433099,46.92260488,48.13990663,49.23228214,50.2074475,51.07420125,51.84186529,52.51981901,53.11729106
C-EEU-HUN,SSP2,FLRD,rur,mfh,perm,24.96969496,25.98849606,26.79864664,27.26208138,27.49713966,27.6471971,27.87905156,28.3800734,29.05579949,29.67726519,30.24465786,30.75936386,31.22373882,31.64081186,32.0140138,32.34699868,32.64345545,32.90700845
C-EEU-HUN,SSP2,FLRD,rur,sfh,perm,41.74322666,43.44641306,44.80078681,45.57553642,45.96849641,46.21935578,46.60695976,47.44454581,48.57419467,49.61313341,50.56167527,51.42213789,52.19845932,52.8957035,53.51960591,54.07627524,54.5718785,55.0124747
C-EEU-HUN,SSP2,FLRD,urb,mfh,perm,23.47987541,24.43788962,25.19970248,25.63548634,25.85651984,25.99762409,26.21564493,26.68677324,27.32218207,27.90656794,28.44010707,28.92410308,29.36077106,29.75295939,30.10389419,30.41701149,30.69578014,30.94360823
C-EEU-HUN,SSP2,FLRD,urb,sfh,perm,41.01682487,42.69037299,44.02117838,44.78244605,45.16856787,45.41506187,45.7959209,46.61893155,47.72892264,48.74978211,49.68181776,50.5273069,51.29011904,51.97523001,52.58827548,53.13525783,53.62223676,54.05516586
C-EEU-LTU,SSP2,FLRD,rur,mfh,perm,18.96811301,20.46014918,21.78109196,22.79247199,23.56838245,24.21988379,24.89276282,25.76338126,26.75811065,27.67138666,28.50322943,29.25561434,29.93201893,30.5369642,31.07565814,31.5536551,31.97657049,32.34995157
C-EEU-LTU,SSP2,FLRD,rur,sfh,perm,31.7100486,34.20436838,36.41266182,38.10344203,39.40057467,40.48972565,41.61461492,43.07007614,44.73302054,46.25979481,47.65043259,48.90823625,50.0390194,51.05034002,51.95090461,52.7499987,53.45700985,54.08121177
C-EEU-LTU,SSP2,FLRD,urb,mfh,perm,17.83637849,19.23939216,20.48152075,21.43255668,22.16217236,22.7748018,23.40753343,24.22620632,25.16158508,26.02037038,26.80258116,27.51007494,28.14612178,28.71497292,29.22152563,29.67100285,30.06868494,30.41978821
C-EEU-LTU,SSP2,FLRD,urb,sfh,perm,31.15824085,33.6091553,35.77902075,37.44037857,38.71493893,39.78513687,40.89045119,42.32058496,43.95459135,45.4547972,46.82123556,48.05715134,49.16825698,50.16197893,51.0468722,51.83206071,52.52676869,53.14010845
