region_gea,urt,arch,tenr,value
AFR,rur,mfh,own,0.112314086
AFR,rur,mfh,rent,0.449256345
AFR,rur,sfh,own,0.07861986
AFR,rur,sfh,rent,0.393099302
AFR,urb,mfh,own,0.112314086
AFR,urb,mfh,rent,0.449256345
AFR,urb,sfh,own,0.07861986
AFR,urb,sfh,rent,0.393099302
CPA,rur,mfh,own,0.117637784
CPA,rur,mfh,rent,0.470551135
CPA,rur,sfh,own,0.082346449
CPA,rur,sfh,rent,0.411732243
CPA,urb,mfh,own,0.117637784
CPA,urb,mfh,rent,0.470551135
CPA,urb,sfh,own,0.082346449
CPA,urb,sfh,rent,0.411732243
EEU,rur,mfh,own,0.1
EEU,rur,mfh,rent,0.4
EEU,rur,sfh,own,0.07
EEU,rur,sfh,rent,0.35
EEU,urb,mfh,own,0.1
EEU,urb,mfh,rent,0.4
EEU,urb,sfh,own,0.07
EEU,urb,sfh,rent,0.35
FSU,rur,mfh,own,0.1
FSU,rur,mfh,rent,0.4
FSU,rur,sfh,own,0.07
FSU,rur,sfh,rent,0.35
FSU,urb,mfh,own,0.1
FSU,urb,mfh,rent,0.4
FSU,urb,sfh,own,0.07
FSU,urb,sfh,rent,0.35
LAC,rur,mfh,own,0.12190203
LAC,rur,mfh,rent,0.487608121
LAC,rur,sfh,own,0.085331421
LAC,rur,sfh,rent,0.426657106
LAC,urb,mfh,own,0.12190203
LAC,urb,mfh,rent,0.487608121
LAC,urb,sfh,own,0.085331421
LAC,urb,sfh,rent,0.426657106
MEA,rur,mfh,own,0.133018871
MEA,rur,mfh,rent,0.532075485
MEA,rur,sfh,own,0.09311321
MEA,rur,sfh,rent,0.465566049
MEA,urb,mfh,own,0.133018871
MEA,urb,mfh,rent,0.532075485
MEA,urb,sfh,own,0.09311321
MEA,urb,sfh,rent,0.465566049
NAM,rur,mfh,own,0.1
NAM,rur,mfh,rent,0.4
NAM,rur,sfh,own,0.07
NAM,rur,sfh,rent,0.35
NAM,urb,mfh,own,0.1
NAM,urb,mfh,rent,0.4
NAM,urb,sfh,own,0.07
NAM,urb,sfh,rent,0.35
PAO,rur,mfh,own,0.1
PAO,rur,mfh,rent,0.4
PAO,rur,sfh,own,0.07
PAO,rur,sfh,rent,0.35
PAO,urb,mfh,own,0.1
PAO,urb,mfh,rent,0.4
PAO,urb,sfh,own,0.07
PAO,urb,sfh,rent,0.35
PAS,rur,mfh,own,0.125634328
PAS,rur,mfh,rent,0.502537311
PAS,rur,sfh,own,0.087944029
PAS,rur,sfh,rent,0.439720147
PAS,urb,mfh,own,0.125634328
PAS,urb,mfh,rent,0.502537311
PAS,urb,sfh,own,0.087944029
PAS,urb,sfh,rent,0.439720147
SAS,rur,mfh,own,0.125634328
SAS,rur,mfh,rent,0.502537311
SAS,rur,sfh,own,0.087944029
SAS,rur,sfh,rent,0.439720147
SAS,urb,mfh,own,0.125634328
SAS,urb,mfh,rent,0.502537311
SAS,urb,sfh,own,0.087944029
SAS,urb,sfh,rent,0.439720147
WEU,rur,mfh,own,0.1
WEU,rur,mfh,rent,0.4
WEU,rur,sfh,own,0.07
WEU,rur,sfh,rent,0.35
WEU,urb,mfh,own,0.1
WEU,urb,mfh,rent,0.4
WEU,urb,sfh,own,0.07
WEU,urb,sfh,rent,0.35
