region_bld,fuel_heat_f,value
C-WEU-AUT,heat_pump,0.238008138
C-WEU-AUT,biomass_solid,0.2990744
C-WEU-AUT,coal,0.002103306
C-WEU-AUT,district_heat,0.134227386
C-WEU-AUT,electricity,0.045954047
C-WEU-AUT,gas,0.153691724
C-WEU-AUT,oil,0.126940999
C-WEU-BEL,heat_pump,0.098917749
C-WEU-BEL,biomass_solid,0.065789122
C-WEU-BEL,coal,0.010703633
C-WEU-BEL,district_heat,0.003066803
C-WEU-BEL,electricity,0.043108724
C-WEU-BEL,gas,0.463809333
C-WEU-BEL,oil,0.314604636
C-EEU-BGR,heat_pump,0
C-EEU-BGR,biomass_solid,0.418173761
C-EEU-BGR,coal,0.082595059
C-EEU-BGR,district_heat,0.231965204
C-EEU-BGR,electricity,0.231129907
C-EEU-BGR,gas,0.022083926
C-EEU-BGR,oil,0.014052143
C-WEU-CYP,heat_pump,0
C-WEU-CYP,biomass_solid,0.392559274
C-WEU-CYP,coal,0
C-WEU-CYP,district_heat,0
C-WEU-CYP,electricity,0.081445033
C-WEU-CYP,gas,0
C-WEU-CYP,oil,0.525995693
C-EEU-CZE,heat_pump,0.081865433
C-EEU-CZE,biomass_solid,0.208435679
C-EEU-CZE,coal,0.091601413
C-EEU-CZE,district_heat,0.267379482
C-EEU-CZE,electricity,0.088740355
C-EEU-CZE,gas,0.261530843
C-EEU-CZE,oil,0.000446795
C-WEU-DEU,heat_pump,0.120725017
C-WEU-DEU,biomass_solid,0.086004508
C-WEU-DEU,coal,0.008841514
C-WEU-DEU,district_heat,0.092897978
C-WEU-DEU,electricity,0.071600164
C-WEU-DEU,gas,0.381929474
C-WEU-DEU,oil,0.238001346
C-WEU-DNK,heat_pump,0.154851136
C-WEU-DNK,biomass_solid,0.199291105
C-WEU-DNK,coal,-3.44E-05
C-WEU-DNK,district_heat,0.435528595
C-WEU-DNK,electricity,0.021300867
C-WEU-DNK,gas,0.1430064
C-WEU-DNK,oil,0.046056286
C-EEU-EST,heat_pump,0.388685698
C-EEU-EST,biomass_solid,0.250493833
C-EEU-EST,coal,0.003687756
C-EEU-EST,district_heat,0.314456949
C-EEU-EST,electricity,-0.002151271
C-EEU-EST,gas,0.041228507
C-EEU-EST,oil,0.003598529
C-WEU-GRC,heat_pump,0
C-WEU-GRC,biomass_solid,0.311037054
C-WEU-GRC,coal,0.001207501
C-WEU-GRC,district_heat,0.028381036
C-WEU-GRC,electricity,0.199042277
C-WEU-GRC,gas,0.102938931
C-WEU-GRC,oil,0.357393201
C-WEU-ESP,heat_pump,0.075067416
C-WEU-ESP,biomass_solid,0.256846255
C-WEU-ESP,coal,0.007178005
C-WEU-ESP,district_heat,0
C-WEU-ESP,electricity,0.118398846
C-WEU-ESP,gas,0.280678798
C-WEU-ESP,oil,0.26183068
C-WEU-FIN,heat_pump,0.359238658
C-WEU-FIN,biomass_solid,0.192004912
C-WEU-FIN,coal,0.000422717
C-WEU-FIN,district_heat,0.268501565
C-WEU-FIN,electricity,0.13506067
C-WEU-FIN,gas,0.003116633
C-WEU-FIN,oil,0.041654845
C-WEU-FRA,heat_pump,0.327634274
C-WEU-FRA,biomass_solid,0.138546792
C-WEU-FRA,coal,0.003503896
C-WEU-FRA,district_heat,0.053347207
C-WEU-FRA,electricity,0.129310605
C-WEU-FRA,gas,0.232297887
C-WEU-FRA,oil,0.11535934
C-EEU-HUN,heat_pump,0.012724218
C-EEU-HUN,biomass_solid,0.153771719
C-EEU-HUN,coal,0.038792366
C-EEU-HUN,district_heat,0.140387446
C-EEU-HUN,electricity,0.111554139
C-EEU-HUN,gas,0.542770113
C-EEU-HUN,oil,0
C-WEU-IRL,heat_pump,0.034609993
C-WEU-IRL,biomass_solid,0.031292285
C-WEU-IRL,coal,0.184309453
C-WEU-IRL,district_heat,0
C-WEU-IRL,electricity,0.159956543
C-WEU-IRL,gas,0.224989293
C-WEU-IRL,oil,0.364842433
C-WEU-ITA,heat_pump,0.206919109
C-WEU-ITA,biomass_solid,0.220610564
C-WEU-ITA,coal,-1.58E-05
C-WEU-ITA,district_heat,0.054241869
C-WEU-ITA,electricity,0.019864121
C-WEU-ITA,gas,0.428170204
C-WEU-ITA,oil,0.070209939
C-EEU-LTU,heat_pump,0.040814154
C-EEU-LTU,biomass_solid,0.395558836
C-EEU-LTU,coal,0.041438714
C-EEU-LTU,district_heat,0.453891979
C-EEU-LTU,electricity,0.007692536
C-EEU-LTU,gas,0.05399604
C-EEU-LTU,oil,0.006607743
C-WEU-LUX,heat_pump,0
C-WEU-LUX,biomass_solid,0
C-WEU-LUX,coal,0
C-WEU-LUX,district_heat,0
C-WEU-LUX,electricity,0.081957237
C-WEU-LUX,gas,0.918042763
C-WEU-LUX,oil,0
C-EEU-LVA,heat_pump,0
C-EEU-LVA,biomass_solid,0.461876106
C-EEU-LVA,coal,0.010722752
C-EEU-LVA,district_heat,0.407131614
C-EEU-LVA,electricity,0.0418567
C-EEU-LVA,gas,0.067008849
C-EEU-LVA,oil,0.011403978
C-WEU-NLD,heat_pump,0.113621302
C-WEU-NLD,biomass_solid,0.024735482
C-WEU-NLD,coal,0.000222697
C-WEU-NLD,district_heat,0.039406348
C-WEU-NLD,electricity,0.018163689
C-WEU-NLD,gas,0.7995669
C-WEU-NLD,oil,0.004283581
C-EEU-POL,heat_pump,0.034495003
C-EEU-POL,biomass_solid,0.153283794
C-EEU-POL,coal,0.410034799
C-EEU-POL,district_heat,0.28007284
C-EEU-POL,electricity,0.014809687
C-EEU-POL,gas,0.102957978
C-EEU-POL,oil,0.0043459
C-WEU-PRT,heat_pump,0.433223621
C-WEU-PRT,biomass_solid,0.280852168
C-WEU-PRT,coal,0
C-WEU-PRT,district_heat,0
C-WEU-PRT,electricity,0.032814261
C-WEU-PRT,gas,0.108895888
C-WEU-PRT,oil,0.144214062
C-EEU-ROU,heat_pump,0
C-EEU-ROU,biomass_solid,0.560460074
C-EEU-ROU,coal,0.003817615
C-EEU-ROU,district_heat,0.208155793
C-EEU-ROU,electricity,0.01822492
C-EEU-ROU,gas,0.196876284
C-EEU-ROU,oil,0.012465315
C-WEU-SWE,heat_pump,0.599752107
C-WEU-SWE,biomass_solid,0.068411072
C-WEU-SWE,coal,0
C-WEU-SWE,district_heat,0.245144319
C-WEU-SWE,electricity,0.07777572
C-WEU-SWE,gas,0.002682489
C-WEU-SWE,oil,0.006234293
C-EEU-SVN,heat_pump,0
C-EEU-SVN,biomass_solid,0.532188561
C-EEU-SVN,coal,0.000455768
C-EEU-SVN,district_heat,0.100785229
C-EEU-SVN,electricity,0.135168121
C-EEU-SVN,gas,0.10110954
C-EEU-SVN,oil,0.13029278
C-EEU-SVK,heat_pump,0.024779743
C-EEU-SVK,biomass_solid,0.021398223
C-EEU-SVK,coal,0.00764719
C-EEU-SVK,district_heat,0.313055687
C-EEU-SVK,electricity,0.043830153
C-EEU-SVK,gas,0.587551864
C-EEU-SVK,oil,0.00173714
C-WEU-GBR,heat_pump,0.030953769
C-WEU-GBR,biomass_solid,0.046613651
C-WEU-GBR,coal,0.014607166
C-WEU-GBR,district_heat,0.002037712
C-WEU-GBR,electricity,0.098208215
C-WEU-GBR,gas,0.739103568
C-WEU-GBR,oil,0.068475918
C-WEU-HRV,heat_pump,0
C-WEU-HRV,biomass_solid,0.529977611
C-WEU-HRV,coal,0.001428932
C-WEU-HRV,district_heat,0.088993842
C-WEU-HRV,electricity,0.088505135
C-WEU-HRV,gas,0.240097043
C-WEU-HRV,oil,0.050997437
C-WEU-MLT,heat_pump,0
C-WEU-MLT,biomass_solid,0.018015119
C-WEU-MLT,coal,0
C-WEU-MLT,district_heat,0
C-WEU-MLT,electricity,0.629808524
C-WEU-MLT,gas,0
C-WEU-MLT,oil,0.352176357
