ssp,scenario,region_gea,eneff,eneff_f,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
nsp,nsp,AFR,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,AFR,s1,sr11_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,AFR,s1,sr12_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,AFR,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,AFR,s2,sr21_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,AFR,s2,sr22_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,AFR,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,AFR,s3,sr31_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,AFR,s3,sr32_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,CPA,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,CPA,s1,sr11_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,CPA,s1,sr12_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,CPA,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,CPA,s2,sr21_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,CPA,s2,sr22_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,CPA,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,CPA,s3,sr31_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,CPA,s3,sr32_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,EEU,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,EEU,s1,sr11_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,EEU,s1,sr12_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,EEU,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,EEU,s2,sr21_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,EEU,s2,sr22_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,EEU,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,EEU,s3,sr31_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,EEU,s3,sr32_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,FSU,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,FSU,s1,sr11_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,FSU,s1,sr12_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,FSU,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,FSU,s2,sr21_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,FSU,s2,sr22_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,FSU,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,FSU,s3,sr31_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,FSU,s3,sr32_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,LAC,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,LAC,s1,sr11_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,LAC,s1,sr12_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,LAC,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,LAC,s2,sr21_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,LAC,s2,sr22_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,LAC,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
