region_gea,mat,year,value
SAS,perm,2020,0.005
SAS,perm,2025,0.005
SAS,perm,2030,0.005
SAS,perm,2035,0.005
SAS,perm,2040,0.005
SAS,perm,2045,0.005
SAS,perm,2050,0.005
SAS,perm,2055,0.005
SAS,perm,2060,0.005
SAS,perm,2065,0.005
SAS,perm,2070,0.005
SAS,perm,2075,0.005
SAS,perm,2080,0.005
SAS,perm,2085,0.005
SAS,perm,2090,0.005
SAS,perm,2095,0.005
SAS,perm,2100,0.005
"NAM",perm,2020,0.015
"NAM",perm,2025,0.015
"NAM",perm,2030,0.015
"NAM",perm,2035,0.015
"NAM",perm,2040,0.015
"NAM",perm,2045,0.015
"NAM",perm,2050,0.015
"NAM",perm,2055,0.015
"NAM",perm,2060,0.015
"NAM",perm,2065,0.015
"NAM",perm,2070,0.015
"NAM",perm,2075,0.015
"NAM",perm,2080,0.015
"NAM",perm,2085,0.015
"NAM",perm,2090,0.015
"NAM",perm,2095,0.015
"NAM",perm,2100,0.015
AFR,perm,2020,0.005
AFR,perm,2025,0.005
AFR,perm,2030,0.005
AFR,perm,2035,0.005
AFR,perm,2040,0.005
AFR,perm,2045,0.005
AFR,perm,2050,0.005
AFR,perm,2055,0.005
AFR,perm,2060,0.005
AFR,perm,2065,0.005
AFR,perm,2070,0.005
AFR,perm,2075,0.005
AFR,perm,2080,0.005
AFR,perm,2085,0.005
AFR,perm,2090,0.005
AFR,perm,2095,0.005
AFR,perm,2100,0.005
LAC,perm,2020,0.005
LAC,perm,2025,0.005
LAC,perm,2030,0.005
LAC,perm,2035,0.005
LAC,perm,2040,0.005
LAC,perm,2045,0.005
LAC,perm,2050,0.005
LAC,perm,2055,0.005
LAC,perm,2060,0.005
LAC,perm,2065,0.005
LAC,perm,2070,0.005
LAC,perm,2075,0.005
LAC,perm,2080,0.005
LAC,perm,2085,0.005
LAC,perm,2090,0.005
LAC,perm,2095,0.005
LAC,perm,2100,0.005
PAO,perm,2020,0.015
PAO,perm,2025,0.015
PAO,perm,2030,0.015
PAO,perm,2035,0.015
PAO,perm,2040,0.015
PAO,perm,2045,0.015
PAO,perm,2050,0.015
PAO,perm,2055,0.015
PAO,perm,2060,0.015
PAO,perm,2065,0.015
PAO,perm,2070,0.015
PAO,perm,2075,0.015
PAO,perm,2080,0.015
PAO,perm,2085,0.015
PAO,perm,2090,0.015
PAO,perm,2095,0.015
PAO,perm,2100,0.015
CPA,perm,2020,0.005
CPA,perm,2025,0.005
CPA,perm,2030,0.005
CPA,perm,2035,0.005
CPA,perm,2040,0.005
CPA,perm,2045,0.005
CPA,perm,2050,0.005
CPA,perm,2055,0.005
CPA,perm,2060,0.005
CPA,perm,2065,0.005
CPA,perm,2070,0.005
CPA,perm,2075,0.005
CPA,perm,2080,0.005
CPA,perm,2085,0.005
CPA,perm,2090,0.005
CPA,perm,2095,0.005
CPA,perm,2100,0.005
FSU,perm,2020,0.015
FSU,perm,2025,0.015
FSU,perm,2030,0.015
FSU,perm,2035,0.015
FSU,perm,2040,0.015
FSU,perm,2045,0.015
FSU,perm,2050,0.015
FSU,perm,2055,0.015
FSU,perm,2060,0.015
FSU,perm,2065,0.015
FSU,perm,2070,0.015
FSU,perm,2075,0.015
FSU,perm,2080,0.015
FSU,perm,2085,0.015
FSU,perm,2090,0.015
FSU,perm,2095,0.015
FSU,perm,2100,0.015
EEU,perm,2020,0.015
EEU,perm,2025,0.015
EEU,perm,2030,0.015
EEU,perm,2035,0.015
EEU,perm,2040,0.015
EEU,perm,2045,0.015
EEU,perm,2050,0.015
EEU,perm,2055,0.015
EEU,perm,2060,0.015
EEU,perm,2065,0.015
EEU,perm,2070,0.015
EEU,perm,2075,0.015
EEU,perm,2080,0.015
EEU,perm,2085,0.015
EEU,perm,2090,0.015
EEU,perm,2095,0.015
EEU,perm,2100,0.015
WEU,perm,2020,0.015
WEU,perm,2025,0.015
WEU,perm,2030,0.015
WEU,perm,2035,0.015
WEU,perm,2040,0.015
WEU,perm,2045,0.015
WEU,perm,2050,0.015
WEU,perm,2055,0.015
WEU,perm,2060,0.015
WEU,perm,2065,0.015
WEU,perm,2070,0.015
WEU,perm,2075,0.015
WEU,perm,2080,0.015
WEU,perm,2085,0.015
WEU,perm,2090,0.015
WEU,perm,2095,0.015
WEU,perm,2100,0.015
PAS,perm,2020,0.005
PAS,perm,2025,0.005
PAS,perm,2030,0.005
PAS,perm,2035,0.005
PAS,perm,2040,0.005
PAS,perm,2045,0.005
PAS,perm,2050,0.005
PAS,perm,2055,0.005
PAS,perm,2060,0.005
PAS,perm,2065,0.005
PAS,perm,2070,0.005
PAS,perm,2075,0.005
PAS,perm,2080,0.005
PAS,perm,2085,0.005
PAS,perm,2090,0.005
PAS,perm,2095,0.005
PAS,perm,2100,0.005
MEA,perm,2020,0.005
MEA,perm,2025,0.005
MEA,perm,2030,0.005
MEA,perm,2035,0.005
MEA,perm,2040,0.005
MEA,perm,2045,0.005
MEA,perm,2050,0.005
MEA,perm,2055,0.005
MEA,perm,2060,0.005
MEA,perm,2065,0.005
MEA,perm,2070,0.005
MEA,perm,2075,0.005
MEA,perm,2080,0.005
MEA,perm,2085,0.005
MEA,perm,2090,0.005
MEA,perm,2095,0.005
MEA,perm,2100,0.005
