region_bld,mat,inc_cl,tenr,arch,value
C-EEU-BGR,perm,q1,own,mfh,0
C-EEU-BGR,perm,q1,own,sfh,0.014
C-EEU-CZE,perm,q1,own,mfh,0
C-EEU-CZE,perm,q1,own,sfh,0.017
C-EEU-EST,perm,q1,own,mfh,0
C-EEU-EST,perm,q1,own,sfh,0.008
C-EEU-HUN,perm,q1,own,mfh,0
C-EEU-HUN,perm,q1,own,sfh,0.01
C-EEU-LTU,perm,q1,own,mfh,0
C-EEU-LTU,perm,q1,own,sfh,0.009
C-EEU-LVA,perm,q1,own,mfh,0
C-EEU-LVA,perm,q1,own,sfh,0.009
C-EEU-POL,perm,q1,own,mfh,0
C-EEU-POL,perm,q1,own,sfh,0.015
C-EEU-ROU,perm,q1,own,mfh,0
C-EEU-ROU,perm,q1,own,sfh,0.014
C-EEU-SVK,perm,q1,own,mfh,0
C-EEU-SVK,perm,q1,own,sfh,0.011
C-EEU-SVN,perm,q1,own,mfh,0
C-EEU-SVN,perm,q1,own,sfh,0.014
C-WEU-AUT,perm,q1,own,mfh,0
C-WEU-AUT,perm,q1,own,sfh,0.019
C-WEU-BEL,perm,q1,own,mfh,0
C-WEU-BEL,perm,q1,own,sfh,0.012
C-WEU-CYP,perm,q1,own,mfh,0
C-WEU-CYP,perm,q1,own,sfh,0.024
C-WEU-DEU,perm,q1,own,mfh,0
C-WEU-DEU,perm,q1,own,sfh,0.01
C-WEU-DNK,perm,q1,own,mfh,0
C-WEU-DNK,perm,q1,own,sfh,0.006
C-WEU-ESP,perm,q1,own,mfh,0
C-WEU-ESP,perm,q1,own,sfh,0.02
C-WEU-FIN,perm,q1,own,mfh,0
C-WEU-FIN,perm,q1,own,sfh,0.003
C-WEU-FRA,perm,q1,own,mfh,0
C-WEU-FRA,perm,q1,own,sfh,0.012
C-WEU-GBR,perm,q1,own,mfh,0
C-WEU-GBR,perm,q1,own,sfh,0.012
C-WEU-GRC,perm,q1,own,mfh,0
C-WEU-GRC,perm,q1,own,sfh,0.013
C-WEU-IRL,perm,q1,own,mfh,0
C-WEU-IRL,perm,q1,own,sfh,0.007
C-WEU-ITA,perm,q1,own,mfh,0
C-WEU-ITA,perm,q1,own,sfh,0.018
C-WEU-LUX,perm,q1,own,mfh,0
C-WEU-LUX,perm,q1,own,sfh,0.005
C-WEU-NLD,perm,q1,own,mfh,0
C-WEU-NLD,perm,q1,own,sfh,0.009
C-WEU-PRT,perm,q1,own,mfh,0
C-WEU-PRT,perm,q1,own,sfh,0.014
C-WEU-SWE,perm,q1,own,mfh,0
C-WEU-SWE,perm,q1,own,sfh,0.008
