ssp,scenario,region_gea,eneff,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP3,BLDC_N,AFR,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,AFR,s52_low,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
SSP3,BLDC_N,CPA,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,CPA,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,BLDC_N,EEU,s51_std,1000,1000,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,EEU,s52_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP3,BLDC_N,FSU,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,FSU,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,BLDC_N,LAC,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,LAC,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,BLDC_N,MEA,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,MEA,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,BLDC_N,NAM,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,NAM,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,BLDC_N,PAO,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,PAO,s52_low,5000,3500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SSP3,BLDC_N,PAS,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,PAS,s52_low,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
SSP3,BLDC_N,SAS,s51_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,SAS,s52_low,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
SSP3,BLDC_N,WEU,s51_std,1000,1000,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP3,BLDC_N,WEU,s52_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
