"region_bld","mat","eneff_f","value","barrier_rent","barrier_mfh","scaling_factor"
"C-EEU-BGR","perm","adv",-4.29634424601191,0.208112855271144,0.600703607073803,0.177106041755121
"C-EEU-BGR","perm","std",-1.47027242834074,0.208112855271144,0.600703607073803,0.177106041755121
"C-EEU-CZE","perm","adv",-4.54274857549219,0.130209588333675,0.436274054079694,0.109947104258071
"C-EEU-CZE","perm","std",-1.50379223245996,0.130209588333675,0.436274054079694,0.109947104258071
"C-EEU-EST","perm","adv",-5.09024861020308,0.241948979976113,0,0.160345015325035
"C-EEU-EST","perm","std",-2.40647130413683,0.241948979976113,0,0.160345015325035
"C-EEU-HUN","perm","adv",-4.05822280400859,0.298323432297396,0.882781301221304,0.104971491053874
"C-EEU-HUN","perm","std",-1.79755999347118,0.298323432297396,0.882781301221304,0.104971491053874
"C-EEU-LTU","perm","adv",-4.50850004324744,0.153937656061436,0,0.129820698437004
"C-EEU-LTU","perm","std",-2.48926251677484,0.153937656061436,0,0.129820698437004
"C-EEU-LVA","perm","adv",-5.39678313314586,0.598487141756467,0,0.191288434085448
"C-EEU-LVA","perm","std",-2.46272624359684,0.598487141756467,0,0.191288434085448
"C-EEU-POL","perm","adv",-5.96983326461421,0.345054664209039,0.729384213869744,0.146667419764614
"C-EEU-POL","perm","std",-1.48359004192313,0.345054664209039,0.729384213869744,0.146667419764614
"C-EEU-ROU","perm","adv",-4.54041301704902,1.72538851007345,0.809457880950164,0.156947645930311
"C-EEU-ROU","perm","std",-1.64581310513367,1.72538851007345,0.809457880950164,0.156947645930311
"C-EEU-SVK","perm","adv",-5.10924160248658,0.38637051999683,0.608843693337266,0.0935392831254695
"C-EEU-SVK","perm","std",-2.12203877962528,0.38637051999683,0.608843693337266,0.0935392831254695
"C-EEU-SVN","perm","adv",-4.61850162624615,0,0.463196754510938,0.114182605532231
"C-EEU-SVN","perm","std",-1.74105394105464,0,0.463196754510938,0.114182605532231
"C-WEU-AUT","perm","adv",-3.41109050093773,1.12683855507496,0,0.0421314422194596
"C-WEU-AUT","perm","std",-1.12618614479441,1.12683855507496,0,0.0421314422194596
"C-WEU-BEL","perm","adv",-2.96039691109406,0.476697438177575,0.891358374502994,0.0653568644914997
"C-WEU-BEL","perm","std",-1.77756514796414,0.476697438177575,0.891358374502994,0.0653568644914997
"C-WEU-CYP","perm","adv",-2.82872742467504,0.288565627006397,0.582588221736099,0.0694918328724491
"C-WEU-CYP","perm","std",-1.02873006986409,0.288565627006397,0.582588221736099,0.0694918328724491
"C-WEU-DEU","perm","adv",-4.05545280503696,1.0938951421574,0,0.0363913109489145
"C-WEU-DEU","perm","std",-1.75174432018693,1.0938951421574,0,0.0363913109489145
"C-WEU-DNK","perm","adv",-7.08548197957973,1.17804423179787,0,0.0273321431953608
"C-WEU-DNK","perm","std",-2.21819649177339,1.17804423179787,0,0.0273321431953608
"C-WEU-ESP","perm","adv",-6.04722903702271,0,0,0.245629815869805
"C-WEU-ESP","perm","std",-2.87582508603807,0,0,0.245629815869805
"C-WEU-FIN","perm","adv",-7.66508844526531,0.989954241705523,0,0.02429051653758
"C-WEU-FIN","perm","std",-2.99427054013072,0.989954241705523,0,0.02429051653758
"C-WEU-FRA","perm","adv",-2.71374858416667,0.8332719528824,0.892955711387549,0.0516372410055863
"C-WEU-FRA","perm","std",-1.52720446889794,0.8332719528824,0.892955711387549,0.0516372410055863
"C-WEU-GBR","perm","adv",-3.90698081794371,0.731391345020953,0,0.0641076764140434
"C-WEU-GBR","perm","std",-2.01447550223169,0.731391345020953,0,0.0641076764140434
"C-WEU-GRC","perm","adv",-3.77981585191892,0.724954945776597,0.55265711739362,0.063007322275632
"C-WEU-GRC","perm","std",-1.88121849013828,0.724954945776597,0.55265711739362,0.063007322275632
"C-WEU-IRL","perm","adv",-4.19701260943558,1.0083780125886,0,0.0285067875996108
"C-WEU-IRL","perm","std",-2.39395989599124,1.0083780125886,0,0.0285067875996108
"C-WEU-ITA","perm","adv",-2.93216414321743,0.101569655425948,0,0.0848561487333959
"C-WEU-ITA","perm","std",-1.74662213260807,0.101569655425948,0,0.0848561487333959
"C-WEU-LUX","perm","adv",-3.46995819078715,0.934368539526931,0.892217380010256,0.0281461484519626
"C-WEU-LUX","perm","std",-2.54562511602138,0.934368539526931,0.892217380010256,0.0281461484519626
"C-WEU-NLD","perm","adv",-4.11652494596258,0.404403897742242,0.422405937219565,0.0440537114382154
"C-WEU-NLD","perm","std",-2.15080779646709,0.404403897742242,0.422405937219565,0.0440537114382154
"C-WEU-PRT","perm","adv",-4.25379056999722,0.373076442122043,0,0.158738060147403
"C-WEU-PRT","perm","std",-2.15277705902323,0.373076442122043,0,0.158738060147403
"C-WEU-SWE","perm","adv",-4.10251337597937,1.48542331160041,0,0.0268404967608846
"C-WEU-SWE","perm","std",-1.98470967144757,1.48542331160041,0,0.0268404967608846
