region_bld,region_gea,R11,R12,R6
C-EEU-BGR,EEU,EEU,EEU,Europe
C-EEU-CZE,EEU,EEU,EEU,Europe
C-EEU-EST,EEU,EEU,EEU,Europe
C-EEU-HRV,EEU,EEU,EEU,Europe
C-EEU-HUN,EEU,EEU,EEU,Europe
C-EEU-LTU,EEU,EEU,EEU,Europe
C-EEU-LVA,EEU,EEU,EEU,Europe
C-EEU-POL,EEU,EEU,EEU,Europe
C-EEU-ROU,EEU,EEU,EEU,Europe
C-EEU-SVK,EEU,EEU,EEU,Europe
C-EEU-SVN,EEU,EEU,EEU,Europe
C-WEU-AUT,WEU,WEU,WEU,Europe
C-WEU-BEL,WEU,WEU,WEU,Europe
C-WEU-CHE,WEU,WEU,WEU,Europe
C-WEU-CYP,WEU,WEU,WEU,Europe
C-WEU-DEU,WEU,WEU,WEU,Europe
C-WEU-DNK,WEU,WEU,WEU,Europe
C-WEU-ESP,WEU,WEU,WEU,Europe
C-WEU-FIN,WEU,WEU,WEU,Europe
C-WEU-FRA,WEU,WEU,WEU,Europe
C-WEU-GBR,WEU,WEU,WEU,Europe
C-WEU-GRC,WEU,WEU,WEU,Europe
C-WEU-IRL,WEU,WEU,WEU,Europe
C-WEU-ISL,WEU,WEU,WEU,Europe
C-WEU-ITA,WEU,WEU,WEU,Europe
C-WEU-LUX,WEU,WEU,WEU,Europe
C-WEU-MLT,WEU,WEU,WEU,Europe
C-WEU-NLD,WEU,WEU,WEU,Europe
C-WEU-NOR,WEU,WEU,WEU,Europe
C-WEU-PRT,WEU,WEU,WEU,Europe
C-WEU-SWE,WEU,WEU,WEU,Europe
R32ANUZ,PAO,PAO,PAO,Australasia
R32BRA,LAC,LAM,LAM,Central and South America
R32CAN,NAM,NAM,NAM,North America
R32CAS-CAU,FSU,FSU,FSU,Asia
R32CAS-OTH,FSU,FSU,FSU,Asia
R32CHN,CPA,CPA,CHN,Asia
R32EEU,EEU,EEU,EEU,Europe
R32EEU-FSU,FSU,FSU,FSU,Europe
R32IDN,PAS,PAS,PAS,Asia
R32IND,SAS,SAS,SAS,Asia
R32JPN,PAO,PAO,PAO,Asia
R32KOR,PAS,PAS,PAS,Asia
R32LAM-L,LAC,LAM,LAM,Central and South America
R32LAM-M,LAC,LAM,LAM,Central and South America
R32MEA-H,MEA,MEA,MEA,Asia
R32MEA-M,MEA,MEA,MEA,Asia
R32MEX,LAC,LAM,LAM,Central and South America
R32NAF,MEA,MEA,MEA,Africa
R32OAS-CPA,CPA,CPA,RCPA,Asia
R32OAS-L-PAS,PAS,PAS,PAS,Asia
R32OAS-L-SAS,SAS,SAS,SAS,Asia
R32OAS-M-PAS,PAS,PAS,PAS,Asia
R32OAS-M-SAS,SAS,SAS,SAS,Asia
R32PAK,SAS,SAS,SAS,Asia
R32RUS,FSU,FSU,FSU,Asia
R32SAF,AFR,AFR,AFR,Africa
R32SSA-L,AFR,AFR,AFR,Africa
R32SSA-M,AFR,AFR,AFR,Africa
R32TUR,WEU,WEU,WEU,Europe
R32USA,NAM,NAM,NAM,North America
