year,region_bld,clim,arch,urt,value,region_gea
2020,C-EEU-SVK,Zone_6A Cold Humid,mfh,urb,21855,EEU
2020,C-EEU-SVK,Zone_6A Cold Humid,sfh,rur,28043,EEU
2020,C-EEU-SVK,Zone_6A Cold Humid,sfh,urb,34702,EEU
2020,C-EEU-SVN,Zone_4A Mixed Humid,mfh,rur,23079,EEU
2020,C-EEU-SVN,Zone_4A Mixed Humid,mfh,urb,8685,EEU
2020,C-EEU-SVN,Zone_4A Mixed Humid,sfh,rur,39951,EEU
2020,C-EEU-SVN,Zone_4A Mixed Humid,sfh,urb,5758,EEU
2020,C-EEU-SVN,Zone_5A Cool Humid,mfh,rur,8504,EEU
2020,C-EEU-SVN,Zone_5A Cool Humid,mfh,urb,32066,EEU
2020,C-EEU-SVN,Zone_5A Cool Humid,sfh,rur,17390,EEU
2020,C-EEU-SVN,Zone_5A Cool Humid,sfh,urb,18919,EEU
2020,C-EEU-SVN,Zone_7A Very cold Humid,mfh,rur,4453,EEU
2020,C-EEU-SVN,Zone_7A Very cold Humid,sfh,rur,6771,EEU
2020,C-WEU-AUT,Zone_4A Mixed Humid,mfh,rur,19596,WEU
2020,C-WEU-AUT,Zone_4A Mixed Humid,mfh,urb,146191,WEU
2020,C-WEU-AUT,Zone_4A Mixed Humid,sfh,rur,21901,WEU
2020,C-WEU-AUT,Zone_4A Mixed Humid,sfh,urb,37068,WEU
2020,C-WEU-AUT,Zone_5A Cool Humid,mfh,rur,100743,WEU
2020,C-WEU-AUT,Zone_5A Cool Humid,mfh,urb,70330,WEU
2020,C-WEU-AUT,Zone_5A Cool Humid,sfh,rur,76030,WEU
2020,C-WEU-AUT,Zone_5A Cool Humid,sfh,urb,42946,WEU
2020,C-WEU-AUT,Zone_6A Cold Humid,mfh,rur,48857,WEU
2020,C-WEU-AUT,Zone_6A Cold Humid,mfh,urb,166393,WEU
2020,C-WEU-AUT,Zone_6A Cold Humid,sfh,rur,19243,WEU
2020,C-WEU-AUT,Zone_6A Cold Humid,sfh,urb,39817,WEU
2020,C-WEU-AUT,Zone_7A Very cold Humid,mfh,rur,58042,WEU
2020,C-WEU-AUT,Zone_7A Very cold Humid,mfh,urb,26254,WEU
2020,C-WEU-AUT,Zone_7A Very cold Humid,sfh,rur,16833,WEU
2020,C-WEU-AUT,Zone_7A Very cold Humid,sfh,urb,3280,WEU
2020,C-WEU-BEL,Zone_4A Mixed Humid,mfh,rur,5666,WEU
2020,C-WEU-BEL,Zone_4A Mixed Humid,mfh,urb,465792,WEU
2020,C-WEU-BEL,Zone_4A Mixed Humid,sfh,rur,14267,WEU
2020,C-WEU-BEL,Zone_4A Mixed Humid,sfh,urb,237826,WEU
2020,C-WEU-BEL,Zone_5A Cool Humid,mfh,rur,13669,WEU
2020,C-WEU-BEL,Zone_5A Cool Humid,mfh,urb,27819,WEU
2020,C-WEU-BEL,Zone_5A Cool Humid,sfh,rur,37351,WEU
2020,C-WEU-BEL,Zone_5A Cool Humid,sfh,urb,28707,WEU
2020,C-WEU-CYP,Zone_3A Warm Humid,mfh,urb,72235,WEU
2020,C-WEU-CYP,Zone_3A Warm Humid,sfh,urb,65875,WEU
2020,C-WEU-DEU,Zone_4A Mixed Humid,mfh,rur,2759,WEU
2020,C-WEU-DEU,Zone_4A Mixed Humid,mfh,urb,386448,WEU
2020,C-WEU-DEU,Zone_4A Mixed Humid,sfh,rur,1829,WEU
2020,C-WEU-DEU,Zone_4A Mixed Humid,sfh,urb,72449,WEU
2020,C-WEU-DEU,Zone_5A Cool Humid,mfh,rur,455307,WEU
2020,C-WEU-DEU,Zone_5A Cool Humid,mfh,urb,1815594,WEU
2020,C-WEU-DEU,Zone_5A Cool Humid,sfh,rur,167259,WEU
2020,C-WEU-DEU,Zone_5A Cool Humid,sfh,urb,385872,WEU
2020,C-WEU-DEU,Zone_6A Cold Humid,mfh,rur,8180,WEU
2020,C-WEU-DEU,Zone_6A Cold Humid,mfh,urb,4881,WEU
2020,C-WEU-DEU,Zone_6A Cold Humid,sfh,rur,2321,WEU
2020,C-WEU-DEU,Zone_6A Cold Humid,sfh,urb,828,WEU
2020,C-WEU-DNK,Zone_5A Cool Humid,mfh,rur,101724,WEU
2020,C-WEU-DNK,Zone_5A Cool Humid,mfh,urb,227183,WEU
2020,C-WEU-DNK,Zone_5A Cool Humid,sfh,rur,23529,WEU
2020,C-WEU-DNK,Zone_5A Cool Humid,sfh,urb,53295,WEU
2020,C-WEU-ESP,Zone_2B Hot Dry,mfh,urb,15043,WEU
2020,C-WEU-ESP,Zone_2B Hot Dry,sfh,urb,6443,WEU
2020,C-WEU-ESP,Zone_3A Warm Humid,mfh,rur,657,WEU
2020,C-WEU-ESP,Zone_3A Warm Humid,mfh,urb,2921764,WEU
2020,C-WEU-ESP,Zone_3A Warm Humid,sfh,rur,1748,WEU
2020,C-WEU-ESP,Zone_3A Warm Humid,sfh,urb,1715039,WEU
2020,C-WEU-ESP,Zone_3B Warm Dry,mfh,rur,2447,WEU
2020,C-WEU-ESP,Zone_3B Warm Dry,mfh,urb,458707,WEU
2020,C-WEU-ESP,Zone_3B Warm Dry,sfh,rur,3343,WEU
2020,C-WEU-ESP,Zone_3B Warm Dry,sfh,urb,277658,WEU
2020,C-WEU-ESP,Zone_3C Warm Marine,mfh,urb,233111,WEU
2020,C-WEU-ESP,Zone_3C Warm Marine,sfh,urb,128948,WEU
2020,C-WEU-ESP,Zone_4A Mixed Humid,mfh,rur,42370,WEU
2020,C-WEU-ESP,Zone_4A Mixed Humid,mfh,urb,502748,WEU
2020,C-WEU-ESP,Zone_4A Mixed Humid,sfh,rur,108203,WEU
2020,C-WEU-ESP,Zone_4A Mixed Humid,sfh,urb,383159,WEU
2020,C-WEU-ESP,Zone_4C Mixed Marine,mfh,rur,154782,WEU
2020,C-WEU-ESP,Zone_4C Mixed Marine,mfh,urb,396252,WEU
2020,C-WEU-ESP,Zone_4C Mixed Marine,sfh,rur,281126,WEU
2020,C-WEU-ESP,Zone_4C Mixed Marine,sfh,urb,398466,WEU
2020,C-WEU-FIN,Zone_6A Cold Humid,mfh,rur,15151,WEU
2020,C-WEU-FIN,Zone_6A Cold Humid,mfh,urb,106894,WEU
