region_bld,year,urt,value
C-EEU-BGR,2020,rur,0.243
C-EEU-BGR,2020,urb,0.757
C-EEU-BGR,2025,rur,0.23990999999999993
C-EEU-BGR,2025,urb,0.76009
C-EEU-BGR,2030,rur,0.2366800000000001
C-EEU-BGR,2030,urb,0.7633199999999999
C-EEU-BGR,2035,rur,0.23329999999999992
C-EEU-BGR,2035,urb,0.7667
C-EEU-BGR,2040,rur,0.22977
C-EEU-BGR,2040,urb,0.7702299999999999
C-EEU-BGR,2045,rur,0.2260899999999999
C-EEU-BGR,2045,urb,0.7739100000000002
C-EEU-BGR,2050,rur,0.22226000000000004
C-EEU-BGR,2050,urb,0.7777399999999999
C-EEU-BGR,2055,rur,0.21826999999999994
C-EEU-BGR,2055,urb,0.7817300000000001
C-EEU-BGR,2060,rur,0.21412999999999993
C-EEU-BGR,2060,urb,0.7858700000000001
C-EEU-BGR,2065,rur,0.20983999999999992
C-EEU-BGR,2065,urb,0.7901600000000002
C-EEU-BGR,2070,rur,0.20540000000000005
C-EEU-BGR,2070,urb,0.7945999999999999
C-EEU-BGR,2075,rur,0.20081000000000007
C-EEU-BGR,2075,urb,0.79919
C-EEU-BGR,2080,rur,0.19608000000000003
C-EEU-BGR,2080,urb,0.80392
C-EEU-BGR,2085,rur,0.19121
C-EEU-BGR,2085,urb,0.80879
C-EEU-BGR,2090,rur,0.18621
C-EEU-BGR,2090,urb,0.81379
C-EEU-BGR,2095,rur,0.18108000000000002
C-EEU-BGR,2095,urb,0.81892
C-EEU-BGR,2100,rur,0.17584
C-EEU-BGR,2100,urb,0.82416
C-EEU-CZE,2020,rur,0.259
C-EEU-CZE,2020,urb,0.741
C-EEU-CZE,2025,rur,0.25583
C-EEU-CZE,2025,urb,0.7441699999999999
C-EEU-CZE,2030,rur,0.25254999999999994
C-EEU-CZE,2030,urb,0.7474500000000001
C-EEU-CZE,2035,rur,0.2491500000000001
C-EEU-CZE,2035,urb,0.7508499999999999
C-EEU-CZE,2040,rur,0.24564
C-EEU-CZE,2040,urb,0.75436
C-EEU-CZE,2045,rur,0.24202
C-EEU-CZE,2045,urb,0.75798
