region_gea,urt,value
AFR,urb,0
AFR,rur,0
CPA,urb,0.5423
CPA,rur,0.0478
EEU,urb,0.451320146
EEU,rur,0
FSU,urb,0.7
FSU,rur,0
LAC,urb,0
LAC,rur,0
MEA,urb,0
MEA,rur,0
NAM,urb,0.005
NAM,rur,0
PAO,urb,0.104928475
PAO,rur,0
PAS,urb,0
PAS,rur,0
SAS,urb,0
SAS,rur,0
WEU,urb,0.130396351
WEU,rur,0
