region_gea,urt,fuel_heat,value
AFR,urb,coal,0.236079161
AFR,urb,oil,0.19502765
AFR,urb,gas,9.46e-5
AFR,urb,biomass_solid,0.425186006
AFR,urb,electricity,0.143612585
AFR,rur,coal,0.236079161
AFR,rur,oil,0.19502765
AFR,rur,gas,9.46e-5
AFR,rur,biomass_solid,0.425186006
AFR,rur,electricity,0.143612585
CPA,urb,coal,0.08808
CPA,urb,oil,0.05
CPA,urb,gas,0.4
CPA,urb,biomass_solid,0
CPA,urb,electricity,0.557165
CPA,rur,coal,0.08808
CPA,rur,oil,0.05
CPA,rur,gas,0.35
CPA,rur,biomass_solid,0.06252
CPA,rur,electricity,0.25470400000000004
EEU,urb,coal,0.25
EEU,urb,oil,0.07
EEU,urb,gas,0.5
EEU,urb,biomass_solid,0
EEU,urb,electricity,0.18
EEU,rur,coal,0.15
EEU,rur,oil,0.05
EEU,rur,gas,0.3
EEU,rur,biomass_solid,0.4
EEU,rur,electricity,0.1
FSU,urb,coal,0.08804427
FSU,urb,oil,0.017962373099999998
FSU,urb,gas,1.6627316134156
FSU,urb,biomass_solid,0
FSU,urb,electricity,0.09415809
FSU,rur,coal,0.075822197
FSU,rur,oil,0.011304363
FSU,rur,gas,1.4623693540959999
FSU,rur,biomass_solid,0.13881736
FSU,rur,electricity,0.081087313
LAC,urb,coal,0.005185651
LAC,urb,oil,0.631132792
LAC,urb,gas,0.168355488
LAC,urb,biomass_solid,0
LAC,urb,electricity,0.195326069
LAC,rur,coal,0.004777782
LAC,rur,oil,0.581492049
LAC,rur,gas,0.155113755
LAC,rur,biomass_solid,0.1422210887292
LAC,rur,electricity,0.179963009
MEA,urb,coal,0.001
MEA,urb,oil,0.0947
MEA,urb,gas,2.36467
MEA,urb,biomass_solid,0
MEA,urb,electricity,0.099
MEA,rur,coal,0.001
MEA,rur,oil,0.089965
MEA,rur,gas,2.36467
MEA,rur,biomass_solid,0.01
MEA,rur,electricity,0.099
NAM,urb,coal,0
NAM,urb,oil,0.035231310576
NAM,urb,gas,0.632847507
NAM,urb,biomass_solid,0
NAM,urb,electricity,0.233700559
NAM,rur,coal,0
NAM,rur,oil,0.036878330016
NAM,rur,gas,0.583580785
NAM,rur,biomass_solid,0.145371728
NAM,rur,electricity,0.131356843
PAO,urb,coal,0.001
PAO,urb,oil,0.0818
PAO,urb,gas,0.35
PAO,urb,biomass_solid,0
PAO,urb,electricity,0.449
PAO,rur,coal,0.001
PAO,rur,oil,0.0818
PAO,rur,gas,0.35
PAO,rur,biomass_solid,0.075
PAO,rur,electricity,0.374
PAS,urb,coal,0.05
PAS,urb,oil,0.05
PAS,urb,gas,0.05
PAS,urb,biomass_solid,0.38065441848400006
PAS,urb,electricity,0.11627907
PAS,rur,coal,0.05
PAS,rur,oil,0.05
PAS,rur,gas,0.05
PAS,rur,biomass_solid,0.38065441848400006
PAS,rur,electricity,0.11627907
SAS,urb,coal,0.05
SAS,urb,oil,0.05
SAS,urb,gas,0.05
SAS,urb,biomass_solid,0.5488966277330001
SAS,urb,electricity,0.11627907
SAS,rur,coal,0.05
SAS,rur,oil,0.05
SAS,rur,gas,0.05
SAS,rur,biomass_solid,0.5488966277330001
SAS,rur,electricity,0.11627907
WEU,urb,coal,0.0015389999999999998
WEU,urb,oil,0.099374
WEU,urb,gas,0.51072
WEU,urb,biomass_solid,0
WEU,urb,electricity,0.0906
WEU,rur,coal,0.0015389999999999998
WEU,rur,oil,0.09034
WEU,rur,gas,0.400064
WEU,rur,biomass_solid,0.15
WEU,rur,electricity,0.0906
