region_bld,region_gea,urt,arch,material,year,value
C-EEU-BGR,EEU,rur,mfh,aluminum,2020,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2025,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2030,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2035,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2040,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2045,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2050,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2055,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2060,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2065,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2070,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2075,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2080,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2085,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2090,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2095,0.49
C-EEU-BGR,EEU,rur,mfh,aluminum,2100,0.49
C-EEU-BGR,EEU,rur,mfh,brick,2020,257.375
C-EEU-BGR,EEU,rur,mfh,brick,2025,257.375
C-EEU-BGR,EEU,rur,mfh,brick,2030,255.61350000000002
C-EEU-BGR,EEU,rur,mfh,brick,2035,251.413
C-EEU-BGR,EEU,rur,mfh,brick,2040,246.39950000000002
C-EEU-BGR,EEU,rur,mfh,brick,2045,242.199
C-EEU-BGR,EEU,rur,mfh,brick,2050,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2055,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2060,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2065,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2070,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2075,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2080,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2085,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2090,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2095,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,brick,2100,240.43750000000003
C-EEU-BGR,EEU,rur,mfh,concrete,2020,961.2234494
C-EEU-BGR,EEU,rur,mfh,concrete,2025,961.2234494
C-EEU-BGR,EEU,rur,mfh,concrete,2030,952.3572055262401
C-EEU-BGR,EEU,rur,mfh,concrete,2035,931.21462398112
C-EEU-BGR,EEU,rur,mfh,concrete,2040,905.9799298788801
C-EEU-BGR,EEU,rur,mfh,concrete,2045,884.83734833376
C-EEU-BGR,EEU,rur,mfh,concrete,2050,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2055,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2060,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2065,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2070,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2075,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2080,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2085,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2090,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2095,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,concrete,2100,875.9711044600001
C-EEU-BGR,EEU,rur,mfh,copper,2020,0.182895495
C-EEU-BGR,EEU,rur,mfh,copper,2025,0.182895495
C-EEU-BGR,EEU,rur,mfh,copper,2030,0.18289549500000002
C-EEU-BGR,EEU,rur,mfh,copper,2035,0.18289549499999996
C-EEU-BGR,EEU,rur,mfh,copper,2040,0.18289549500000002
C-EEU-BGR,EEU,rur,mfh,copper,2045,0.182895495
C-EEU-BGR,EEU,rur,mfh,copper,2050,0.182895495
C-EEU-BGR,EEU,rur,mfh,copper,2055,0.182895495
C-EEU-BGR,EEU,rur,mfh,copper,2060,0.182895495
