region_gea,year,value
WEU,2020,0
WEU,2025,0
WEU,2030,0.001
WEU,2035,0.002
WEU,2040,0.003
WEU,2045,0.004
WEU,2050,0.005
WEU,2055,0.005
WEU,2060,0.005
WEU,2065,0.005
WEU,2070,0.005
WEU,2075,0.005
WEU,2080,0.005
WEU,2085,0.005
WEU,2090,0.005
WEU,2095,0.005
WEU,2100,0.005
EEU,2020,0
EEU,2025,0
EEU,2030,0.001
EEU,2035,0.002
EEU,2040,0.003
EEU,2045,0.004
EEU,2050,0.005
EEU,2055,0.005
EEU,2060,0.005
EEU,2065,0.005
EEU,2070,0.005
EEU,2075,0.005
EEU,2080,0.005
EEU,2085,0.005
EEU,2090,0.005
EEU,2095,0.005
EEU,2100,0.005
NAM,2020,0
NAM,2025,0
NAM,2030,0.001
NAM,2035,0.002
NAM,2040,0.003
NAM,2045,0.004
NAM,2050,0.005
NAM,2055,0.005
NAM,2060,0.005
NAM,2065,0.005
NAM,2070,0.005
NAM,2075,0.005
NAM,2080,0.005
NAM,2085,0.005
NAM,2090,0.005
NAM,2095,0.005
NAM,2100,0.005
PAO,2020,0
PAO,2025,0
PAO,2030,0.001
PAO,2035,0.002
PAO,2040,0.003
PAO,2045,0.004
PAO,2050,0.005
PAO,2055,0.005
PAO,2060,0.005
PAO,2065,0.005
PAO,2070,0.005
PAO,2075,0.005
PAO,2080,0.005
PAO,2085,0.005
PAO,2090,0.005
PAO,2095,0.005
PAO,2100,0.005
FSU,2020,0
FSU,2025,0
FSU,2030,0.001
FSU,2035,0.002
FSU,2040,0.003
FSU,2045,0.004
FSU,2050,0.005
FSU,2055,0.005
FSU,2060,0.005
FSU,2065,0.005
FSU,2070,0.005
FSU,2075,0.005
FSU,2080,0.005
FSU,2085,0.005
FSU,2090,0.005
FSU,2095,0.005
FSU,2100,0.005
AFR,2020,0
AFR,2025,0
AFR,2030,0.001
AFR,2035,0.002
AFR,2040,0.003
AFR,2045,0.004
AFR,2050,0.005
AFR,2055,0.005
AFR,2060,0.005
AFR,2065,0.005
AFR,2070,0.005
AFR,2075,0.005
AFR,2080,0.005
AFR,2085,0.005
AFR,2090,0.005
AFR,2095,0.005
AFR,2100,0.005
SAS,2020,0
SAS,2025,0
SAS,2030,0.001
SAS,2035,0.002
SAS,2040,0.003
SAS,2045,0.004
SAS,2050,0.005
SAS,2055,0.005
SAS,2060,0.005
SAS,2065,0.005
SAS,2070,0.005
SAS,2075,0.005
SAS,2080,0.005
SAS,2085,0.005
SAS,2090,0.005
SAS,2095,0.005
SAS,2100,0.005
PAS,2020,0
PAS,2025,0
PAS,2030,0.001
PAS,2035,0.002
PAS,2040,0.003
PAS,2045,0.004
PAS,2050,0.005
PAS,2055,0.005
PAS,2060,0.005
PAS,2065,0.005
PAS,2070,0.005
PAS,2075,0.005
PAS,2080,0.005
PAS,2085,0.005
PAS,2090,0.005
PAS,2095,0.005
PAS,2100,0.005
LAC,2020,0
LAC,2025,0
LAC,2030,0.001
LAC,2035,0.002
LAC,2040,0.003
LAC,2045,0.004
LAC,2050,0.005
LAC,2055,0.005
LAC,2060,0.005
LAC,2065,0.005
LAC,2070,0.005
LAC,2075,0.005
LAC,2080,0.005
LAC,2085,0.005
LAC,2090,0.005
LAC,2095,0.005
LAC,2100,0.005
MEA,2020,0
MEA,2025,0
MEA,2030,0.001
MEA,2035,0.002
MEA,2040,0.003
MEA,2045,0.004
MEA,2050,0.005
MEA,2055,0.005
MEA,2060,0.005
MEA,2065,0.005
MEA,2070,0.005
MEA,2075,0.005
MEA,2080,0.005
MEA,2085,0.005
MEA,2090,0.005
MEA,2095,0.005
MEA,2100,0.005
CPA,2020,0
CPA,2025,0
CPA,2030,0.001
CPA,2035,0.002
CPA,2040,0.003
CPA,2045,0.004
CPA,2050,0.005
CPA,2055,0.005
CPA,2060,0.005
CPA,2065,0.005
CPA,2070,0.005
CPA,2075,0.005
CPA,2080,0.005
CPA,2085,0.005
CPA,2090,0.005
CPA,2095,0.005
CPA,2100,0.005
