region_bld,year,value
C-EEU-BGR,2020,7.02023900000001
C-EEU-BGR,2025,6.678009
C-EEU-BGR,2030,6.423876
C-EEU-BGR,2035,6.18287100000001
C-EEU-BGR,2040,5.957062
C-EEU-BGR,2045,5.747942
C-EEU-BGR,2050,5.558138
C-EEU-BGR,2055,5.380608
C-EEU-BGR,2060,5.209718
C-EEU-BGR,2065,5.042848
C-EEU-BGR,2070,4.881818
C-EEU-BGR,2075,4.729388
C-EEU-BGR,2080,4.592736
C-EEU-BGR,2085,4.473836
C-EEU-BGR,2090,4.373131000000001
C-EEU-BGR,2095,4.28454300000001
C-EEU-BGR,2100,4.196335
C-EEU-CZE,2020,10.537908
C-EEU-CZE,2025,10.850736000000001
C-EEU-CZE,2030,10.712527
C-EEU-CZE,2035,10.556370999999999
C-EEU-CZE,2040,10.419177
C-EEU-CZE,2045,10.318603999999999
C-EEU-CZE,2050,10.246019
C-EEU-CZE,2055,10.176889
C-EEU-CZE,2060,10.085363
C-EEU-CZE,2065,9.951602999999999
C-EEU-CZE,2070,9.78497500000001
C-EEU-CZE,2075,9.61517500000001
C-EEU-CZE,2080,9.464674
C-EEU-CZE,2085,9.339462
C-EEU-CZE,2090,9.230338
C-EEU-CZE,2095,9.128555
C-EEU-CZE,2100,9.02137700000001
C-EEU-EST,2020,1.329091
C-EEU-EST,2025,1.347619
C-EEU-EST,2030,1.312066
C-EEU-EST,2035,1.279828
C-EEU-EST,2040,1.25315
C-EEU-EST,2045,1.2319689999999999
C-EEU-EST,2050,1.214035
C-EEU-EST,2055,1.196167
C-EEU-EST,2060,1.177536
C-EEU-EST,2065,1.158096
C-EEU-EST,2070,1.138542999999999
C-EEU-EST,2075,1.119557
C-EEU-EST,2080,1.101276
C-EEU-EST,2085,1.083918
C-EEU-EST,2090,1.0675270000000001
C-EEU-EST,2095,1.051895
C-EEU-EST,2100,1.035654
C-EEU-HRV,2020,4.114644
C-EEU-HRV,2025,3.980382
C-EEU-HRV,2030,3.8479389999999993
