clim,region_gea,year,value
Zone_0A Extremely hot Humid,AFR,2015,0
Zone_0A Extremely hot Humid,AFR,2020,0
Zone_0A Extremely hot Humid,AFR,2025,0
Zone_0A Extremely hot Humid,AFR,2030,0
Zone_0A Extremely hot Humid,AFR,2035,0
Zone_0A Extremely hot Humid,AFR,2040,0
Zone_0A Extremely hot Humid,AFR,2045,0
Zone_0A Extremely hot Humid,AFR,2050,0
Zone_0A Extremely hot Humid,AFR,2055,0
Zone_0A Extremely hot Humid,AFR,2060,0
Zone_0A Extremely hot Humid,AFR,2065,0
Zone_0A Extremely hot Humid,AFR,2070,0
Zone_0A Extremely hot Humid,AFR,2075,0
Zone_0A Extremely hot Humid,AFR,2080,0
Zone_0A Extremely hot Humid,AFR,2085,0
Zone_0A Extremely hot Humid,AFR,2090,0
Zone_0A Extremely hot Humid,AFR,2095,0
Zone_0A Extremely hot Humid,AFR,2100,0
Zone_0B Extremely hot Dry,AFR,2015,0
Zone_0B Extremely hot Dry,AFR,2020,0
Zone_0B Extremely hot Dry,AFR,2025,0
Zone_0B Extremely hot Dry,AFR,2030,0
Zone_0B Extremely hot Dry,AFR,2035,0
Zone_0B Extremely hot Dry,AFR,2040,0
Zone_0B Extremely hot Dry,AFR,2045,0
Zone_0B Extremely hot Dry,AFR,2050,0
Zone_0B Extremely hot Dry,AFR,2055,0
Zone_0B Extremely hot Dry,AFR,2060,0
Zone_0B Extremely hot Dry,AFR,2065,0
Zone_0B Extremely hot Dry,AFR,2070,0
Zone_0B Extremely hot Dry,AFR,2075,0
Zone_0B Extremely hot Dry,AFR,2080,0
Zone_0B Extremely hot Dry,AFR,2085,0
Zone_0B Extremely hot Dry,AFR,2090,0
Zone_0B Extremely hot Dry,AFR,2095,0
Zone_0B Extremely hot Dry,AFR,2100,0
Zone_0C Extremely hot Marine,AFR,2015,0
Zone_0C Extremely hot Marine,AFR,2020,0
Zone_0C Extremely hot Marine,AFR,2025,0
Zone_0C Extremely hot Marine,AFR,2030,0
Zone_0C Extremely hot Marine,AFR,2035,0
Zone_0C Extremely hot Marine,AFR,2040,0
Zone_0C Extremely hot Marine,AFR,2045,0
Zone_0C Extremely hot Marine,AFR,2050,0
Zone_0C Extremely hot Marine,AFR,2055,0
Zone_0C Extremely hot Marine,AFR,2060,0
Zone_0C Extremely hot Marine,AFR,2065,0
Zone_0C Extremely hot Marine,AFR,2070,0
Zone_0C Extremely hot Marine,AFR,2075,0
Zone_0C Extremely hot Marine,AFR,2080,0
Zone_0C Extremely hot Marine,AFR,2085,0
Zone_0C Extremely hot Marine,AFR,2090,0
Zone_0C Extremely hot Marine,AFR,2095,0
Zone_0C Extremely hot Marine,AFR,2100,0
Zone_1A Very hot Humid,AFR,2015,0
Zone_1A Very hot Humid,AFR,2020,0
Zone_1A Very hot Humid,AFR,2025,0
Zone_1A Very hot Humid,AFR,2030,0
Zone_1A Very hot Humid,AFR,2035,0
Zone_1A Very hot Humid,AFR,2040,0
Zone_1A Very hot Humid,AFR,2045,0
Zone_1A Very hot Humid,AFR,2050,0
Zone_1A Very hot Humid,AFR,2055,0
Zone_1A Very hot Humid,AFR,2060,0
Zone_1A Very hot Humid,AFR,2065,0
Zone_1A Very hot Humid,AFR,2070,0
Zone_1A Very hot Humid,AFR,2075,0
Zone_1A Very hot Humid,AFR,2080,0
Zone_1A Very hot Humid,AFR,2085,0
Zone_1A Very hot Humid,AFR,2090,0
Zone_1A Very hot Humid,AFR,2095,0
Zone_1A Very hot Humid,AFR,2100,0
Zone_1B Very hot Dry,AFR,2015,0
Zone_1B Very hot Dry,AFR,2020,0
Zone_1B Very hot Dry,AFR,2025,0
Zone_1B Very hot Dry,AFR,2030,0
Zone_1B Very hot Dry,AFR,2035,0
Zone_1B Very hot Dry,AFR,2040,0
Zone_1B Very hot Dry,AFR,2045,0
Zone_1B Very hot Dry,AFR,2050,0
Zone_1B Very hot Dry,AFR,2055,0
Zone_1B Very hot Dry,AFR,2060,0
