region_bld,clim,urt,mat,arch,year,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,mfh,2015,0.279
C-EEU-BGR,Zone_4A Mixed Humid,rur,perm,sfh,2015,0.721
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,mfh,2015,0.466
C-EEU-BGR,Zone_4A Mixed Humid,urb,perm,sfh,2015,0.534
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,mfh,2015,0.648
C-EEU-BGR,Zone_5A Cool Humid,rur,perm,sfh,2015,0.352
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,mfh,2015,0.525
C-EEU-BGR,Zone_5A Cool Humid,urb,perm,sfh,2015,0.475
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,mfh,2015,0.517
C-EEU-CZE,Zone_5A Cool Humid,rur,perm,sfh,2015,0.483
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,mfh,2015,0.647
C-EEU-CZE,Zone_5A Cool Humid,urb,perm,sfh,2015,0.353
C-EEU-EST,Zone_6A Cold Humid,rur,perm,mfh,2015,0.56
C-EEU-EST,Zone_6A Cold Humid,rur,perm,sfh,2015,0.43999999999999995
C-EEU-EST,Zone_6A Cold Humid,urb,perm,mfh,2015,0.755
C-EEU-EST,Zone_6A Cold Humid,urb,perm,sfh,2015,0.245
C-EEU-HRV,Zone_4A Mixed Humid,rur,perm,mfh,2015,0.276
C-EEU-HRV,Zone_4A Mixed Humid,rur,perm,sfh,2015,0.724
C-EEU-HRV,Zone_4A Mixed Humid,urb,perm,mfh,2015,0.617
C-EEU-HRV,Zone_4A Mixed Humid,urb,perm,sfh,2015,0.383
C-EEU-HRV,Zone_5A Cool Humid,rur,perm,mfh,2015,0.488
C-EEU-HRV,Zone_5A Cool Humid,rur,perm,sfh,2015,0.512
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,mfh,2015,0.613
C-EEU-HRV,Zone_3A Warm Humid,rur,perm,sfh,2015,0.387
C-EEU-HRV,Zone_4C Mixed Marine,rur,perm,mfh,2015,0.652
C-EEU-HRV,Zone_4C Mixed Marine,rur,perm,sfh,2015,0.348
